,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in abbeville alabama,"('jobs in abbeville alabama', 'jobs hiring in abbeville al')",jobs in abbeville alabama,jobs hiring in abbeville al,1,0,google,2025-10-28 17:27:31.669783,,
1,jobs in abbeville alabama,"('jobs in abbeville alabama', 'jobs in abbeville al')",jobs in abbeville alabama,jobs in abbeville al,2,0,google,2025-10-28 17:27:31.669783,,
2,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'job openings in abbeville al')",jobs hiring in abbeville al,job openings in abbeville al,1,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
3,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'jobs near abbeville al')",jobs hiring in abbeville al,jobs near abbeville al,2,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
4,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'hiring jobs near abbeville al')",jobs hiring in abbeville al,hiring jobs near abbeville al,3,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
5,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'jobs hiring in abbeville louisiana')",jobs hiring in abbeville al,jobs hiring in abbeville louisiana,4,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
6,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'jobs hiring in abbeville la')",jobs hiring in abbeville al,jobs hiring in abbeville la,5,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
7,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'jobs hiring in abbeville sc')",jobs hiring in abbeville al,jobs hiring in abbeville sc,6,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
8,jobs in abbeville alabama,"('jobs hiring in abbeville al', 'jobs in abbeville alabama')",jobs hiring in abbeville al,jobs in abbeville alabama,7,1,google,2025-10-28 17:27:33.098627,,jobs in abbeville alabama
9,jobs in abbeville alabama,"('jobs in abbeville al', 'jobs hiring in abbeville al')",jobs in abbeville al,jobs hiring in abbeville al,1,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
10,jobs in abbeville alabama,"('jobs in abbeville al', 'full time jobs in abbeville al')",jobs in abbeville al,full time jobs in abbeville al,2,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
11,jobs in abbeville alabama,"('jobs in abbeville al', 'jobs abbeville al in the last week')",jobs in abbeville al,jobs abbeville al in the last week,3,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
12,jobs in abbeville alabama,"('jobs in abbeville al', 'jobs in abbeville alabama')",jobs in abbeville al,jobs in abbeville alabama,4,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
13,jobs in abbeville alabama,"('jobs in abbeville al', 'jobs in abbeville sc')",jobs in abbeville al,jobs in abbeville sc,5,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
14,jobs in abbeville alabama,"('jobs in abbeville al', 'jobs in abbeville ga')",jobs in abbeville al,jobs in abbeville ga,6,1,google,2025-10-28 17:27:34.486773,,jobs in abbeville alabama
15,jobs in abbeville alabama,"('job openings in abbeville al', 'jobs hiring in abbeville al')",job openings in abbeville al,jobs hiring in abbeville al,1,2,google,2025-10-28 17:27:35.560675,jobs in abbeville alabama,jobs hiring in abbeville al
16,jobs in abbeville alabama,"('job openings in abbeville al', 'job openings in abbeville la')",job openings in abbeville al,job openings in abbeville la,2,2,google,2025-10-28 17:27:35.560675,jobs in abbeville alabama,jobs hiring in abbeville al
17,jobs in abbeville alabama,"('job openings in abbeville al', 'jobs in abbeville al')",job openings in abbeville al,jobs in abbeville al,3,2,google,2025-10-28 17:27:35.560675,jobs in abbeville alabama,jobs hiring in abbeville al
18,jobs in abbeville alabama,"('job openings in abbeville al', 'jobs in abbeville alabama')",job openings in abbeville al,jobs in abbeville alabama,4,2,google,2025-10-28 17:27:35.560675,jobs in abbeville alabama,jobs hiring in abbeville al
19,jobs in abbeville alabama,"('jobs near abbeville al', 'hiring jobs near abbeville al')",jobs near abbeville al,hiring jobs near abbeville al,1,2,google,2025-10-28 17:27:36.558813,jobs in abbeville alabama,jobs hiring in abbeville al
20,jobs in abbeville alabama,"('jobs near abbeville al', 'jobs near abbeville la')",jobs near abbeville al,jobs near abbeville la,2,2,google,2025-10-28 17:27:36.558813,jobs in abbeville alabama,jobs hiring in abbeville al
21,jobs in abbeville alabama,"('jobs near abbeville al', 'jobs near abbeville sc')",jobs near abbeville al,jobs near abbeville sc,3,2,google,2025-10-28 17:27:36.558813,jobs in abbeville alabama,jobs hiring in abbeville al
22,jobs in abbeville alabama,"('jobs near abbeville al', 'jobs in abbeville alabama')",jobs near abbeville al,jobs in abbeville alabama,4,2,google,2025-10-28 17:27:36.558813,jobs in abbeville alabama,jobs hiring in abbeville al
23,jobs in abbeville alabama,"('hiring jobs near abbeville al', 'abbeville al jobs')",hiring jobs near abbeville al,abbeville al jobs,1,2,google,2025-10-28 17:27:37.707462,jobs in abbeville alabama,jobs hiring in abbeville al
24,jobs in abbeville alabama,"('hiring jobs near abbeville al', 'abbeville hiring')",hiring jobs near abbeville al,abbeville hiring,2,2,google,2025-10-28 17:27:37.707462,jobs in abbeville alabama,jobs hiring in abbeville al
25,jobs in abbeville alabama,"('hiring jobs near abbeville al', 'abbeville alabama jobs')",hiring jobs near abbeville al,abbeville alabama jobs,3,2,google,2025-10-28 17:27:37.707462,jobs in abbeville alabama,jobs hiring in abbeville al
26,jobs in abbeville alabama,"('hiring jobs near abbeville al', 'hiring abbeville sc')",hiring jobs near abbeville al,hiring abbeville sc,4,2,google,2025-10-28 17:27:37.707462,jobs in abbeville alabama,jobs hiring in abbeville al
