,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in adamsville alabama,"('jobs in adamsville alabama', 'jobs hiring in adamsville al')",jobs in adamsville alabama,jobs hiring in adamsville al,1,0,google,2025-10-28 17:28:12.773975,,
1,jobs in adamsville alabama,"('jobs in adamsville alabama', 'what kind of jobs are in alabama')",jobs in adamsville alabama,what kind of jobs are in alabama,2,0,google,2025-10-28 17:28:12.773975,,
2,jobs in adamsville alabama,"('jobs in adamsville alabama', 'jobs in adamsville al')",jobs in adamsville alabama,jobs in adamsville al,3,0,google,2025-10-28 17:28:12.773975,,
3,jobs in adamsville alabama,"('jobs in adamsville alabama', 'jobs hiring in adamsville alabama')",jobs in adamsville alabama,jobs hiring in adamsville alabama,4,0,google,2025-10-28 17:28:12.773975,,
4,jobs in adamsville alabama,"('jobs in adamsville alabama', 'jobs in adamsville tn')",jobs in adamsville alabama,jobs in adamsville tn,5,0,google,2025-10-28 17:28:12.773975,,
5,jobs in adamsville alabama,"('jobs hiring in adamsville al', 'jobs near adamsville al')",jobs hiring in adamsville al,jobs near adamsville al,1,1,google,2025-10-28 17:28:13.714569,,jobs in adamsville alabama
6,jobs in adamsville alabama,"('jobs hiring in adamsville al', 'jobs hiring in adamsville alabama')",jobs hiring in adamsville al,jobs hiring in adamsville alabama,2,1,google,2025-10-28 17:28:13.714569,,jobs in adamsville alabama
7,jobs in adamsville alabama,"('jobs hiring in adamsville al', 'jobs hiring in adamsville tn')",jobs hiring in adamsville al,jobs hiring in adamsville tn,3,1,google,2025-10-28 17:28:13.714569,,jobs in adamsville alabama
8,jobs in adamsville alabama,"('jobs hiring in adamsville al', 'jobs hiring in adams wi')",jobs hiring in adamsville al,jobs hiring in adams wi,4,1,google,2025-10-28 17:28:13.714569,,jobs in adamsville alabama
9,jobs in adamsville alabama,"('what kind of jobs are in alabama', 'what jobs are in demand in alabama')",what kind of jobs are in alabama,what jobs are in demand in alabama,1,1,google,2025-10-28 17:28:14.891152,,jobs in adamsville alabama
10,jobs in adamsville alabama,"('what kind of jobs are in alabama', 'what jobs are in high demand in alabama')",what kind of jobs are in alabama,what jobs are in high demand in alabama,2,1,google,2025-10-28 17:28:14.891152,,jobs in adamsville alabama
11,jobs in adamsville alabama,"('what kind of jobs are in alabama', 'whats the highest paying job in alabama')",what kind of jobs are in alabama,whats the highest paying job in alabama,3,1,google,2025-10-28 17:28:14.891152,,jobs in adamsville alabama
12,jobs in adamsville alabama,"('what kind of jobs are in alabama', 'what jobs are in alabama')",what kind of jobs are in alabama,what jobs are in alabama,4,1,google,2025-10-28 17:28:14.891152,,jobs in adamsville alabama
13,jobs in adamsville alabama,"('what kind of jobs are in alabama', 'what are the best jobs in alabama')",what kind of jobs are in alabama,what are the best jobs in alabama,5,1,google,2025-10-28 17:28:14.891152,,jobs in adamsville alabama
14,jobs in adamsville alabama,"('jobs in adamsville al', 'jobs hiring in adamsville al')",jobs in adamsville al,jobs hiring in adamsville al,1,1,google,2025-10-28 17:28:15.683407,,jobs in adamsville alabama
15,jobs in adamsville alabama,"('jobs in adamsville al', 'jobs in adamsville tn')",jobs in adamsville al,jobs in adamsville tn,2,1,google,2025-10-28 17:28:15.683407,,jobs in adamsville alabama
16,jobs in adamsville alabama,"('jobs in adamsville al', 'jobs hiring in adamsville alabama')",jobs in adamsville al,jobs hiring in adamsville alabama,3,1,google,2025-10-28 17:28:15.683407,,jobs in adamsville alabama
17,jobs in adamsville alabama,"('jobs hiring in adamsville alabama', 'jobs hiring in adamsville al')",jobs hiring in adamsville alabama,jobs hiring in adamsville al,1,1,google,2025-10-28 17:28:17.050604,,jobs in adamsville alabama
18,jobs in adamsville alabama,"('jobs hiring in adamsville alabama', 'jobs hiring in adamsville tn')",jobs hiring in adamsville alabama,jobs hiring in adamsville tn,2,1,google,2025-10-28 17:28:17.050604,,jobs in adamsville alabama
19,jobs in adamsville alabama,"('jobs hiring in adamsville alabama', 'jobs in adamsville al')",jobs hiring in adamsville alabama,jobs in adamsville al,3,1,google,2025-10-28 17:28:17.050604,,jobs in adamsville alabama
20,jobs in adamsville alabama,"('jobs in adamsville tn', 'jobs hiring in adamsville tn')",jobs in adamsville tn,jobs hiring in adamsville tn,1,1,google,2025-10-28 17:28:17.956141,,jobs in adamsville alabama
21,jobs in adamsville alabama,"('jobs in adamsville tn', 'adamsville tennessee jobs')",jobs in adamsville tn,adamsville tennessee jobs,2,1,google,2025-10-28 17:28:17.956141,,jobs in adamsville alabama
22,jobs in adamsville alabama,"('jobs near adamsville al', 'jobs near forestdale al')",jobs near adamsville al,jobs near forestdale al,1,2,google,2025-10-28 17:28:19.187383,jobs in adamsville alabama,jobs hiring in adamsville al
23,jobs in adamsville alabama,"('jobs near adamsville al', 'jobs hiring near forestdale al')",jobs near adamsville al,jobs hiring near forestdale al,2,2,google,2025-10-28 17:28:19.187383,jobs in adamsville alabama,jobs hiring in adamsville al
24,jobs in adamsville alabama,"('jobs near adamsville al', 'jobs near adamsville tn')",jobs near adamsville al,jobs near adamsville tn,3,2,google,2025-10-28 17:28:19.187383,jobs in adamsville alabama,jobs hiring in adamsville al
25,jobs in adamsville alabama,"('jobs near adamsville al', 'jobs near adams wi')",jobs near adamsville al,jobs near adams wi,4,2,google,2025-10-28 17:28:19.187383,jobs in adamsville alabama,jobs hiring in adamsville al
26,jobs in adamsville alabama,"('jobs near adamsville al', 'jobs near ashville al')",jobs near adamsville al,jobs near ashville al,5,2,google,2025-10-28 17:28:19.187383,jobs in adamsville alabama,jobs hiring in adamsville al
27,jobs in adamsville alabama,"('jobs hiring in adamsville tn', 'jobs near adamsville tn')",jobs hiring in adamsville tn,jobs near adamsville tn,1,2,google,2025-10-28 17:28:20.314661,jobs in adamsville alabama jobs in adamsville alabama jobs in adamsville alabama,jobs hiring in adamsville al jobs hiring in adamsville alabama jobs in adamsville tn
