,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in addison alabama,"('jobs in addison alabama', 'addison county jobs')",jobs in addison alabama,addison county jobs,1,0,google,2025-10-28 17:29:10.242937,,
1,jobs in addison alabama,"('jobs in addison alabama', 'jobs in addison al')",jobs in addison alabama,jobs in addison al,2,0,google,2025-10-28 17:29:10.242937,,
2,jobs in addison alabama,"('jobs in addison alabama', 'jobs in addis louisiana')",jobs in addison alabama,jobs in addis louisiana,3,0,google,2025-10-28 17:29:10.242937,,
3,jobs in addison alabama,"('addison county jobs', 'addison independent jobs')",addison county jobs,addison independent jobs,1,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
4,jobs in addison alabama,"('addison county jobs', 'addison county vt jobs')",addison county jobs,addison county vt jobs,2,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
5,jobs in addison alabama,"('addison county jobs', 'addison county school district jobs')",addison county jobs,addison county school district jobs,3,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
6,jobs in addison alabama,"('addison county jobs', 'addison county home health jobs')",addison county jobs,addison county home health jobs,4,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
7,jobs in addison alabama,"('addison county jobs', 'counseling service of addison county jobs')",addison county jobs,counseling service of addison county jobs,5,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
8,jobs in addison alabama,"('addison county jobs', 'addison government jobs')",addison county jobs,addison government jobs,6,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
9,jobs in addison alabama,"('addison county jobs', 'addison gilbert jobs')",addison county jobs,addison gilbert jobs,7,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
10,jobs in addison alabama,"('addison county jobs', 'addison job openings')",addison county jobs,addison job openings,8,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
11,jobs in addison alabama,"('addison county jobs', 'addison jobs')",addison county jobs,addison jobs,9,1,google,2025-10-28 17:29:11.555693,,jobs in addison alabama
12,jobs in addison alabama,"('jobs in addison al', 'jobs hiring addison al')",jobs in addison al,jobs hiring addison al,1,1,google,2025-10-28 17:29:12.793895,,jobs in addison alabama
13,jobs in addison alabama,"('jobs in addison al', 'addison airport jobs')",jobs in addison al,addison airport jobs,2,1,google,2025-10-28 17:29:12.793895,,jobs in addison alabama
14,jobs in addison alabama,"('jobs in addison al', 'addison group jobs')",jobs in addison al,addison group jobs,3,1,google,2025-10-28 17:29:12.793895,,jobs in addison alabama
15,jobs in addison alabama,"('jobs in addison al', 'addison county jobs')",jobs in addison al,addison county jobs,4,1,google,2025-10-28 17:29:12.793895,,jobs in addison alabama
16,jobs in addison alabama,"('jobs in addison al', 'jobs in addison alabama')",jobs in addison al,jobs in addison alabama,5,1,google,2025-10-28 17:29:12.793895,,jobs in addison alabama
