,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in alexander arkansas,"('jobs in alexander arkansas', 'jobs hiring in alexander arkansas')",jobs in alexander arkansas,jobs hiring in alexander arkansas,1,0,google,2025-10-29 15:44:34.921280,,
1,jobs in alexander arkansas,"('jobs in alexander arkansas', 'jobs in alexander ar')",jobs in alexander arkansas,jobs in alexander ar,2,0,google,2025-10-29 15:44:34.921280,,
2,jobs in alexander arkansas,"('jobs in alexander arkansas', 'jobs in alexander city')",jobs in alexander arkansas,jobs in alexander city,3,0,google,2025-10-29 15:44:34.921280,,
3,jobs in alexander arkansas,"('jobs in alexander arkansas', 'jobs in alexander county')",jobs in alexander arkansas,jobs in alexander county,4,0,google,2025-10-29 15:44:34.921280,,
4,jobs in alexander arkansas,"('jobs hiring in alexander arkansas', 'jobs in alexander arkansas')",jobs hiring in alexander arkansas,jobs in alexander arkansas,1,1,google,2025-10-29 15:44:36.285371,,jobs in alexander arkansas
5,jobs in alexander arkansas,"('jobs hiring in alexander arkansas', 'jobs in alexander ar')",jobs hiring in alexander arkansas,jobs in alexander ar,2,1,google,2025-10-29 15:44:36.285371,,jobs in alexander arkansas
6,jobs in alexander arkansas,"('jobs hiring in alexander arkansas', 'jobs hiring in alexander city')",jobs hiring in alexander arkansas,jobs hiring in alexander city,3,1,google,2025-10-29 15:44:36.285371,,jobs in alexander arkansas
7,jobs in alexander arkansas,"('jobs hiring in alexander arkansas', 'jobs hiring in alexandria ky')",jobs hiring in alexander arkansas,jobs hiring in alexandria ky,4,1,google,2025-10-29 15:44:36.285371,,jobs in alexander arkansas
8,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexandria area')",jobs in alexander ar,jobs in alexandria area,1,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
9,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs hiring in alexander ar')",jobs in alexander ar,jobs hiring in alexander ar,2,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
10,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs around alexandra')",jobs in alexander ar,jobs around alexandra,3,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
11,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexandria mn area')",jobs in alexander ar,jobs in alexandria mn area,4,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
12,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexandria')",jobs in alexander ar,jobs in alexandria,5,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
13,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexander arkansas')",jobs in alexander ar,jobs in alexander arkansas,6,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
14,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexander city')",jobs in alexander ar,jobs in alexander city,7,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
15,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexander nd')",jobs in alexander ar,jobs in alexander nd,8,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
16,jobs in alexander arkansas,"('jobs in alexander ar', 'jobs in alexander county')",jobs in alexander ar,jobs in alexander county,9,1,google,2025-10-29 15:44:37.136221,,jobs in alexander arkansas
17,jobs in alexander arkansas,"('jobs in alexander city', 'jobs in alexander city al')",jobs in alexander city,jobs in alexander city al,1,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
18,jobs in alexander arkansas,"('jobs in alexander city', 'jobs in alexander city al no degree')",jobs in alexander city,jobs in alexander city al no degree,2,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
19,jobs in alexander arkansas,"('jobs in alexander city', 'jobs in alex city al')",jobs in alexander city,jobs in alex city al,3,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
20,jobs in alexander arkansas,"('jobs in alexander city', 'city of alexander city jobs')",jobs in alexander city,city of alexander city jobs,4,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
21,jobs in alexander arkansas,"('jobs in alexander city', 'jobs hiring in alexander city al')",jobs in alexander city,jobs hiring in alexander city al,5,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
22,jobs in alexander arkansas,"('jobs in alexander city', 'jobs hiring in alexander city')",jobs in alexander city,jobs hiring in alexander city,6,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
23,jobs in alexander arkansas,"('jobs in alexander city', 'indeed jobs in alexander city al')",jobs in alexander city,indeed jobs in alexander city al,7,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
24,jobs in alexander arkansas,"('jobs in alexander city', 'jobs hiring in alexander city alabama')",jobs in alexander city,jobs hiring in alexander city alabama,8,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
25,jobs in alexander arkansas,"('jobs in alexander city', 'office jobs in alexander city al')",jobs in alexander city,office jobs in alexander city al,9,1,google,2025-10-29 15:44:38.443252,,jobs in alexander arkansas
26,jobs in alexander arkansas,"('jobs in alexander county', 'jobs in alexander county nc')",jobs in alexander county,jobs in alexander county nc,1,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
27,jobs in alexander arkansas,"('jobs in alexander county', 'jobs in alexandria county')",jobs in alexander county,jobs in alexandria county,2,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
28,jobs in alexander arkansas,"('jobs in alexander county', 'jobs alexander county schools')",jobs in alexander county,jobs alexander county schools,3,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
29,jobs in alexander arkansas,"('jobs in alexander county', 'part time jobs in alexander county nc')",jobs in alexander county,part time jobs in alexander county nc,4,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
30,jobs in alexander arkansas,"('jobs in alexander county', 'part time jobs in alexander county')",jobs in alexander county,part time jobs in alexander county,5,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
31,jobs in alexander arkansas,"('jobs in alexander county', 'jobs at alexander county school district')",jobs in alexander county,jobs at alexander county school district,6,1,google,2025-10-29 15:44:39.233732,,jobs in alexander arkansas
