,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in alma arkansas,"('jobs in alma arkansas', 'jobs hiring in alma arkansas')",jobs in alma arkansas,jobs hiring in alma arkansas,1,0,google,2025-10-29 15:46:36.684267,,
1,jobs in alma arkansas,"('jobs in alma arkansas', 'part time jobs in alma arkansas')",jobs in alma arkansas,part time jobs in alma arkansas,2,0,google,2025-10-29 15:46:36.684267,,
2,jobs in alma arkansas,"('jobs in alma arkansas', 'full time jobs in alma arkansas')",jobs in alma arkansas,full time jobs in alma arkansas,3,0,google,2025-10-29 15:46:36.684267,,
3,jobs in alma arkansas,"('jobs in alma arkansas', 'highest paying jobs in alma arkansas')",jobs in alma arkansas,highest paying jobs in alma arkansas,4,0,google,2025-10-29 15:46:36.684267,,
4,jobs in alma arkansas,"('jobs in alma arkansas', 'jobs plus alma arkansas')",jobs in alma arkansas,jobs plus alma arkansas,5,0,google,2025-10-29 15:46:36.684267,,
5,jobs in alma arkansas,"('jobs in alma arkansas', 'jobs hiring in alma ar')",jobs in alma arkansas,jobs hiring in alma ar,6,0,google,2025-10-29 15:46:36.684267,,
6,jobs in alma arkansas,"('jobs in alma arkansas', 'jobs in alma ar')",jobs in alma arkansas,jobs in alma ar,7,0,google,2025-10-29 15:46:36.684267,,
7,jobs in alma arkansas,"('jobs hiring in alma arkansas', 'jobs hiring in alma ar')",jobs hiring in alma arkansas,jobs hiring in alma ar,1,1,google,2025-10-29 15:46:37.897149,,jobs in alma arkansas
8,jobs in alma arkansas,"('jobs hiring in alma arkansas', 'jobs near alma arkansas')",jobs hiring in alma arkansas,jobs near alma arkansas,2,1,google,2025-10-29 15:46:37.897149,,jobs in alma arkansas
9,jobs in alma arkansas,"('jobs hiring in alma arkansas', 'jobs hiring near me alma arkansas')",jobs hiring in alma arkansas,jobs hiring near me alma arkansas,3,1,google,2025-10-29 15:46:37.897149,,jobs in alma arkansas
10,jobs in alma arkansas,"('jobs hiring in alma arkansas', 'jobs hiring in alma')",jobs hiring in alma arkansas,jobs hiring in alma,4,1,google,2025-10-29 15:46:37.897149,,jobs in alma arkansas
11,jobs in alma arkansas,"('part time jobs in alma arkansas', 'full time jobs in alma arkansas')",part time jobs in alma arkansas,full time jobs in alma arkansas,1,1,google,2025-10-29 15:46:38.733391,,jobs in alma arkansas
12,jobs in alma arkansas,"('part time jobs in alma arkansas', 'full time jobs in alma ar')",part time jobs in alma arkansas,full time jobs in alma ar,2,1,google,2025-10-29 15:46:38.733391,,jobs in alma arkansas
13,jobs in alma arkansas,"('part time jobs in alma arkansas', 'part time jobs near alma ar')",part time jobs in alma arkansas,part time jobs near alma ar,3,1,google,2025-10-29 15:46:38.733391,,jobs in alma arkansas
14,jobs in alma arkansas,"('part time jobs in alma arkansas', 'part time jobs hiring near alma ar')",part time jobs in alma arkansas,part time jobs hiring near alma ar,4,1,google,2025-10-29 15:46:38.733391,,jobs in alma arkansas
15,jobs in alma arkansas,"('part time jobs in alma arkansas', 'part time jobs in alma mi')",part time jobs in alma arkansas,part time jobs in alma mi,5,1,google,2025-10-29 15:46:38.733391,,jobs in alma arkansas
16,jobs in alma arkansas,"('full time jobs in alma arkansas', 'part time jobs in alma arkansas')",full time jobs in alma arkansas,part time jobs in alma arkansas,1,1,google,2025-10-29 15:46:39.544754,,jobs in alma arkansas
17,jobs in alma arkansas,"('full time jobs in alma arkansas', 'full time jobs in alma ar')",full time jobs in alma arkansas,full time jobs in alma ar,2,1,google,2025-10-29 15:46:39.544754,,jobs in alma arkansas
18,jobs in alma arkansas,"('full time jobs in alma arkansas', 'part time jobs near alma ar')",full time jobs in alma arkansas,part time jobs near alma ar,3,1,google,2025-10-29 15:46:39.544754,,jobs in alma arkansas
19,jobs in alma arkansas,"('full time jobs in alma arkansas', 'alma arkansas jobs')",full time jobs in alma arkansas,alma arkansas jobs,4,1,google,2025-10-29 15:46:39.544754,,jobs in alma arkansas
20,jobs in alma arkansas,"('full time jobs in alma arkansas', 'alma ar jobs')",full time jobs in alma arkansas,alma ar jobs,5,1,google,2025-10-29 15:46:39.544754,,jobs in alma arkansas
21,jobs in alma arkansas,"('highest paying jobs in alma arkansas', 'highest paying jobs in arkansas')",highest paying jobs in alma arkansas,highest paying jobs in arkansas,1,1,google,2025-10-29 15:46:40.839957,,jobs in alma arkansas
22,jobs in alma arkansas,"('highest paying jobs in alma arkansas', 'highest paying jobs without a degree in arkansas')",highest paying jobs in alma arkansas,highest paying jobs without a degree in arkansas,2,1,google,2025-10-29 15:46:40.839957,,jobs in alma arkansas
23,jobs in alma arkansas,"('highest paying jobs in alma arkansas', 'jobs alma arkansas')",highest paying jobs in alma arkansas,jobs alma arkansas,3,1,google,2025-10-29 15:46:40.839957,,jobs in alma arkansas
24,jobs in alma arkansas,"('jobs plus alma arkansas', 'jobs in alma arkansas')",jobs plus alma arkansas,jobs in alma arkansas,1,1,google,2025-10-29 15:46:42.233352,,jobs in alma arkansas
25,jobs in alma arkansas,"('jobs plus alma arkansas', 'jobs hiring in alma arkansas')",jobs plus alma arkansas,jobs hiring in alma arkansas,2,1,google,2025-10-29 15:46:42.233352,,jobs in alma arkansas
26,jobs in alma arkansas,"('jobs plus alma arkansas', 'jobs plus alma ar')",jobs plus alma arkansas,jobs plus alma ar,3,1,google,2025-10-29 15:46:42.233352,,jobs in alma arkansas
27,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs hiring in alma arkansas')",jobs hiring in alma ar,jobs hiring in alma arkansas,1,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
28,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs near alma ar')",jobs hiring in alma ar,jobs near alma ar,2,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
29,jobs in alma arkansas,"('jobs hiring in alma ar', 'job openings alma ar')",jobs hiring in alma ar,job openings alma ar,3,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
30,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs hiring near me alma arkansas')",jobs hiring in alma ar,jobs hiring near me alma arkansas,4,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
31,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs near me alma ar')",jobs hiring in alma ar,jobs near me alma ar,5,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
32,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs hiring in alma')",jobs hiring in alma ar,jobs hiring in alma,6,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
33,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs hiring in alma mi')",jobs hiring in alma ar,jobs hiring in alma mi,7,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
34,jobs in alma arkansas,"('jobs hiring in alma ar', 'jobs hiring in alma ga')",jobs hiring in alma ar,jobs hiring in alma ga,8,1,google,2025-10-29 15:46:43.158368,,jobs in alma arkansas
35,jobs in alma arkansas,"('jobs in alma ar', 'jobs in alma arkansas')",jobs in alma ar,jobs in alma arkansas,1,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
36,jobs in alma arkansas,"('jobs in alma ar', 'hiring in alma ar')",jobs in alma ar,hiring in alma ar,2,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
37,jobs in alma arkansas,"('jobs in alma ar', 'jobs hiring in alma arkansas')",jobs in alma ar,jobs hiring in alma arkansas,3,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
38,jobs in alma arkansas,"('jobs in alma ar', 'jobs hiring in alma ar')",jobs in alma ar,jobs hiring in alma ar,4,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
39,jobs in alma arkansas,"('jobs in alma ar', 'jobs alma ar last 24 hours')",jobs in alma ar,jobs alma ar last 24 hours,5,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
40,jobs in alma arkansas,"('jobs in alma ar', 'part time jobs in alma ar')",jobs in alma ar,part time jobs in alma ar,6,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
41,jobs in alma arkansas,"('jobs in alma ar', 'full time jobs in alma arkansas')",jobs in alma ar,full time jobs in alma arkansas,7,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
42,jobs in alma arkansas,"('jobs in alma ar', 'highest paying jobs in alma arkansas')",jobs in alma ar,highest paying jobs in alma arkansas,8,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
43,jobs in alma arkansas,"('jobs in alma ar', 'full time jobs in alma ar')",jobs in alma ar,full time jobs in alma ar,9,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
44,jobs in alma arkansas,"('jobs in alma ar', 'jobs near alma ar')",jobs in alma ar,jobs near alma ar,10,1,google,2025-10-29 15:46:44.250027,,jobs in alma arkansas
45,jobs in alma arkansas,"('jobs near alma arkansas', 'hiring near alma ar')",jobs near alma arkansas,hiring near alma ar,1,2,google,2025-10-29 15:46:45.199208,jobs in alma arkansas,jobs hiring in alma arkansas
46,jobs in alma arkansas,"('jobs near alma arkansas', 'jobs hiring in alma arkansas')",jobs near alma arkansas,jobs hiring in alma arkansas,2,2,google,2025-10-29 15:46:45.199208,jobs in alma arkansas,jobs hiring in alma arkansas
47,jobs in alma arkansas,"('jobs near alma arkansas', 'jobs near me alma ar')",jobs near alma arkansas,jobs near me alma ar,3,2,google,2025-10-29 15:46:45.199208,jobs in alma arkansas,jobs hiring in alma arkansas
48,jobs in alma arkansas,"('jobs near alma arkansas', 'cna jobs near alma ar')",jobs near alma arkansas,cna jobs near alma ar,4,2,google,2025-10-29 15:46:45.199208,jobs in alma arkansas,jobs hiring in alma arkansas
49,jobs in alma arkansas,"('jobs near alma arkansas', 'jobs hiring near me alma arkansas')",jobs near alma arkansas,jobs hiring near me alma arkansas,5,2,google,2025-10-29 15:46:45.199208,jobs in alma arkansas,jobs hiring in alma arkansas
50,jobs in alma arkansas,"('jobs hiring near me alma arkansas', 'jobs hiring near alma ar')",jobs hiring near me alma arkansas,jobs hiring near alma ar,1,2,google,2025-10-29 15:46:46.276442,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
51,jobs in alma arkansas,"('jobs hiring near me alma arkansas', 'entry level jobs arkansas')",jobs hiring near me alma arkansas,entry level jobs arkansas,2,2,google,2025-10-29 15:46:46.276442,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
52,jobs in alma arkansas,"('jobs hiring near me alma arkansas', 'jobs alma arkansas')",jobs hiring near me alma arkansas,jobs alma arkansas,3,2,google,2025-10-29 15:46:46.276442,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
53,jobs in alma arkansas,"('jobs hiring near me alma arkansas', 'alma ar jobs')",jobs hiring near me alma arkansas,alma ar jobs,4,2,google,2025-10-29 15:46:46.276442,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
54,jobs in alma arkansas,"('jobs hiring in alma', 'jobs hiring in alma ga')",jobs hiring in alma,jobs hiring in alma ga,1,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
55,jobs in alma arkansas,"('jobs hiring in alma', 'jobs hiring in alma mi')",jobs hiring in alma,jobs hiring in alma mi,2,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
56,jobs in alma arkansas,"('jobs hiring in alma', 'jobs hiring in alma arkansas')",jobs hiring in alma,jobs hiring in alma arkansas,3,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
57,jobs in alma arkansas,"('jobs hiring in alma', 'jobs hiring in alma ar')",jobs hiring in alma,jobs hiring in alma ar,4,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
58,jobs in alma arkansas,"('jobs hiring in alma', 'jobs available in alma mi')",jobs hiring in alma,jobs available in alma mi,5,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
59,jobs in alma arkansas,"('jobs hiring in alma', 'job openings in alma ga')",jobs hiring in alma,job openings in alma ga,6,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
60,jobs in alma arkansas,"('jobs hiring in alma', 'job hiring almarai dairy farm')",jobs hiring in alma,job hiring almarai dairy farm,7,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
61,jobs in alma arkansas,"('jobs hiring in alma', 'jobs near alma mi')",jobs hiring in alma,jobs near alma mi,8,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
62,jobs in alma arkansas,"('jobs hiring in alma', 'jobs near alma ar')",jobs hiring in alma,jobs near alma ar,9,2,google,2025-10-29 15:46:47.074861,jobs in alma arkansas jobs in alma arkansas,jobs hiring in alma arkansas jobs hiring in alma ar
63,jobs in alma arkansas,"('full time jobs in alma ar', 'full time jobs in alma arkansas')",full time jobs in alma ar,full time jobs in alma arkansas,1,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
64,jobs in alma arkansas,"('full time jobs in alma ar', 'part time jobs in alma ar')",full time jobs in alma ar,part time jobs in alma ar,2,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
65,jobs in alma arkansas,"('full time jobs in alma ar', 'part time jobs hiring near alma ar')",full time jobs in alma ar,part time jobs hiring near alma ar,3,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
66,jobs in alma arkansas,"('full time jobs in alma ar', 'alma ar jobs')",full time jobs in alma ar,alma ar jobs,4,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
67,jobs in alma arkansas,"('full time jobs in alma ar', 'part time jobs in alma arkansas')",full time jobs in alma ar,part time jobs in alma arkansas,5,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
68,jobs in alma arkansas,"('full time jobs in alma ar', 'full time jobs in alhambra ca')",full time jobs in alma ar,full time jobs in alhambra ca,6,2,google,2025-10-29 15:46:48.121166,jobs in alma arkansas jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas jobs in alma ar
69,jobs in alma arkansas,"('part time jobs near alma ar', 'full time jobs near alma ar')",part time jobs near alma ar,full time jobs near alma ar,1,2,google,2025-10-29 15:46:49.001219,jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas
70,jobs in alma arkansas,"('part time jobs near alma ar', 'full time jobs in alma arkansas')",part time jobs near alma ar,full time jobs in alma arkansas,2,2,google,2025-10-29 15:46:49.001219,jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas
71,jobs in alma arkansas,"('part time jobs near alma ar', 'part time jobs hiring near alma ar')",part time jobs near alma ar,part time jobs hiring near alma ar,3,2,google,2025-10-29 15:46:49.001219,jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas
72,jobs in alma arkansas,"('part time jobs near alma ar', 'part time jobs near alma mi')",part time jobs near alma ar,part time jobs near alma mi,4,2,google,2025-10-29 15:46:49.001219,jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas
73,jobs in alma arkansas,"('part time jobs near alma ar', 'part time jobs in alma arkansas')",part time jobs near alma ar,part time jobs in alma arkansas,5,2,google,2025-10-29 15:46:49.001219,jobs in alma arkansas jobs in alma arkansas,part time jobs in alma arkansas full time jobs in alma arkansas
74,jobs in alma arkansas,"('part time jobs hiring near alma ar', 'part time jobs near alma mi')",part time jobs hiring near alma ar,part time jobs near alma mi,1,2,google,2025-10-29 15:46:50.300569,jobs in alma arkansas,part time jobs in alma arkansas
75,jobs in alma arkansas,"('part time jobs hiring near alma ar', 'part time jobs alma ar')",part time jobs hiring near alma ar,part time jobs alma ar,2,2,google,2025-10-29 15:46:50.300569,jobs in alma arkansas,part time jobs in alma arkansas
76,jobs in alma arkansas,"('part time jobs hiring near alma ar', 'part time jobs in alma arkansas')",part time jobs hiring near alma ar,part time jobs in alma arkansas,3,2,google,2025-10-29 15:46:50.300569,jobs in alma arkansas,part time jobs in alma arkansas
77,jobs in alma arkansas,"('part time jobs in alma mi', 'full time jobs in alma mi')",part time jobs in alma mi,full time jobs in alma mi,1,2,google,2025-10-29 15:46:51.076205,jobs in alma arkansas,part time jobs in alma arkansas
78,jobs in alma arkansas,"('part time jobs in alma mi', 'part time jobs in alma ar')",part time jobs in alma mi,part time jobs in alma ar,2,2,google,2025-10-29 15:46:51.076205,jobs in alma arkansas,part time jobs in alma arkansas
79,jobs in alma arkansas,"('part time jobs in alma mi', 'part time jobs in alma arkansas')",part time jobs in alma mi,part time jobs in alma arkansas,3,2,google,2025-10-29 15:46:51.076205,jobs in alma arkansas,part time jobs in alma arkansas
80,jobs in alma arkansas,"('alma arkansas jobs', 'alma arkansas school jobs')",alma arkansas jobs,alma arkansas school jobs,1,2,google,2025-10-29 15:46:51.866250,jobs in alma arkansas,full time jobs in alma arkansas
