,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in alpine alabama,"('jobs in alpine alabama', 'jobs in alpine alabama area')",jobs in alpine alabama,jobs in alpine alabama area,1,0,google,2025-10-28 17:53:38.824057,,
1,jobs in alpine alabama,"('jobs in alpine alabama', 'jobs in alpine alabama hiring')",jobs in alpine alabama,jobs in alpine alabama hiring,2,0,google,2025-10-28 17:53:38.824057,,
2,jobs in alpine alabama,"('jobs in alpine alabama', 'jobs in alpine alabama hiring now')",jobs in alpine alabama,jobs in alpine alabama hiring now,3,0,google,2025-10-28 17:53:38.824057,,
3,jobs in alpine alabama,"('jobs in alpine alabama', 'jobs in alpine alabama part time')",jobs in alpine alabama,jobs in alpine alabama part time,4,0,google,2025-10-28 17:53:38.824057,,
4,jobs in alpine alabama,"('jobs in alpine alabama', 'jobs in alpine alabama for 16 year olds')",jobs in alpine alabama,jobs in alpine alabama for 16 year olds,5,0,google,2025-10-28 17:53:38.824057,,
5,jobs in alpine alabama,"('jobs in alpine alabama area', 'jobs in alpine alabama area hiring')",jobs in alpine alabama area,jobs in alpine alabama area hiring,1,1,google,2025-10-28 17:53:39.826976,,jobs in alpine alabama
6,jobs in alpine alabama,"('jobs in alpine alabama area', 'jobs in alpine alabama area area')",jobs in alpine alabama area,jobs in alpine alabama area area,2,1,google,2025-10-28 17:53:39.826976,,jobs in alpine alabama
7,jobs in alpine alabama,"('jobs in alpine alabama area', 'jobs in alpine alabama areas')",jobs in alpine alabama area,jobs in alpine alabama areas,3,1,google,2025-10-28 17:53:39.826976,,jobs in alpine alabama
8,jobs in alpine alabama,"('jobs in alpine alabama area', 'jobs in alpine alabama area hiring now')",jobs in alpine alabama area,jobs in alpine alabama area hiring now,4,1,google,2025-10-28 17:53:39.826976,,jobs in alpine alabama
9,jobs in alpine alabama,"('jobs in alpine alabama area', 'jobs in alpine alabama area for 16 year olds')",jobs in alpine alabama area,jobs in alpine alabama area for 16 year olds,5,1,google,2025-10-28 17:53:39.826976,,jobs in alpine alabama
10,jobs in alpine alabama,"('jobs in alpine alabama hiring', 'jobs in alpine alabama hiring now')",jobs in alpine alabama hiring,jobs in alpine alabama hiring now,1,1,google,2025-10-28 17:53:40.599480,,jobs in alpine alabama
11,jobs in alpine alabama,"('jobs in alpine alabama hiring', 'jobs in alpine alabama hiring immediately')",jobs in alpine alabama hiring,jobs in alpine alabama hiring immediately,2,1,google,2025-10-28 17:53:40.599480,,jobs in alpine alabama
12,jobs in alpine alabama,"('jobs in alpine alabama hiring', 'jobs in alpine alabama hiring 16 year olds')",jobs in alpine alabama hiring,jobs in alpine alabama hiring 16 year olds,3,1,google,2025-10-28 17:53:40.599480,,jobs in alpine alabama
13,jobs in alpine alabama,"('jobs in alpine alabama hiring', 'jobs in alpine alabama hiring right now')",jobs in alpine alabama hiring,jobs in alpine alabama hiring right now,4,1,google,2025-10-28 17:53:40.599480,,jobs in alpine alabama
14,jobs in alpine alabama,"('jobs in alpine alabama hiring', 'jobs in alpine alabama hiring 15 year olds')",jobs in alpine alabama hiring,jobs in alpine alabama hiring 15 year olds,5,1,google,2025-10-28 17:53:40.599480,,jobs in alpine alabama
15,jobs in alpine alabama,"('jobs in alpine alabama hiring now', 'jobs in alpine alabama hiring now part time')",jobs in alpine alabama hiring now,jobs in alpine alabama hiring now part time,1,1,google,2025-10-28 17:53:41.830570,,jobs in alpine alabama
16,jobs in alpine alabama,"('jobs in alpine alabama hiring now', 'jobs in alpine alabama hiring now 2024')",jobs in alpine alabama hiring now,jobs in alpine alabama hiring now 2024,2,1,google,2025-10-28 17:53:41.830570,,jobs in alpine alabama
17,jobs in alpine alabama,"('jobs in alpine alabama hiring now', 'jobs in alpine alabama hiring now full time')",jobs in alpine alabama hiring now,jobs in alpine alabama hiring now full time,3,1,google,2025-10-28 17:53:41.830570,,jobs in alpine alabama
18,jobs in alpine alabama,"('jobs in alpine alabama hiring now', 'jobs in alpine alabama hiring now no experience')",jobs in alpine alabama hiring now,jobs in alpine alabama hiring now no experience,4,1,google,2025-10-28 17:53:41.830570,,jobs in alpine alabama
19,jobs in alpine alabama,"('jobs in alpine alabama hiring now', 'jobs in alpine alabama hiring now no experience needed')",jobs in alpine alabama hiring now,jobs in alpine alabama hiring now no experience needed,5,1,google,2025-10-28 17:53:41.830570,,jobs in alpine alabama
20,jobs in alpine alabama,"('jobs in alpine alabama part time', 'jobs in alpine alabama part time jobs')",jobs in alpine alabama part time,jobs in alpine alabama part time jobs,1,1,google,2025-10-28 17:53:42.690332,,jobs in alpine alabama
21,jobs in alpine alabama,"('jobs in alpine alabama part time', 'jobs in alpine alabama part time work from home')",jobs in alpine alabama part time,jobs in alpine alabama part time work from home,2,1,google,2025-10-28 17:53:42.690332,,jobs in alpine alabama
22,jobs in alpine alabama,"('jobs in alpine alabama part time', 'jobs in alpine alabama part time no experience needed')",jobs in alpine alabama part time,jobs in alpine alabama part time no experience needed,3,1,google,2025-10-28 17:53:42.690332,,jobs in alpine alabama
23,jobs in alpine alabama,"('jobs in alpine alabama part time', 'jobs in alpine alabama part time no experience')",jobs in alpine alabama part time,jobs in alpine alabama part time no experience,4,1,google,2025-10-28 17:53:42.690332,,jobs in alpine alabama
24,jobs in alpine alabama,"('jobs in alpine alabama part time', 'jobs in alpine alabama part time student')",jobs in alpine alabama part time,jobs in alpine alabama part time student,5,1,google,2025-10-28 17:53:42.690332,,jobs in alpine alabama
25,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds hiring')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds hiring,1,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
26,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds part time')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds part time,2,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
27,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds hiring now')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds hiring now,3,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
28,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds no experience')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds no experience,4,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
29,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds phoenix')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds phoenix,5,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
30,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds downtown phoenix')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds downtown phoenix,6,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
31,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds tempe')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds tempe,7,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
32,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds sun city az')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds sun city az,8,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
33,jobs in alpine alabama,"('jobs in alpine alabama for 16 year olds', 'jobs in alpine alabama for 16 year olds avondale')",jobs in alpine alabama for 16 year olds,jobs in alpine alabama for 16 year olds avondale,9,1,google,2025-10-28 17:53:43.974159,,jobs in alpine alabama
34,jobs in alpine alabama,"('jobs in alpine alabama area hiring', 'jobs in alpine alabama area hiring now')",jobs in alpine alabama area hiring,jobs in alpine alabama area hiring now,1,2,google,2025-10-28 17:53:45.429824,jobs in alpine alabama,jobs in alpine alabama area
35,jobs in alpine alabama,"('jobs in alpine alabama area hiring', 'jobs in alpine alabama area hiring immediately')",jobs in alpine alabama area hiring,jobs in alpine alabama area hiring immediately,2,2,google,2025-10-28 17:53:45.429824,jobs in alpine alabama,jobs in alpine alabama area
36,jobs in alpine alabama,"('jobs in alpine alabama area hiring', 'jobs in alpine alabama area hiring right now')",jobs in alpine alabama area hiring,jobs in alpine alabama area hiring right now,3,2,google,2025-10-28 17:53:45.429824,jobs in alpine alabama,jobs in alpine alabama area
37,jobs in alpine alabama,"('jobs in alpine alabama area area', 'jobs in alpine alabama area area jobs')",jobs in alpine alabama area area,jobs in alpine alabama area area jobs,1,2,google,2025-10-28 17:53:46.545115,jobs in alpine alabama,jobs in alpine alabama area
38,jobs in alpine alabama,"('jobs in alpine alabama area area', 'jobs in alpine alabama area area manager')",jobs in alpine alabama area area,jobs in alpine alabama area area manager,2,2,google,2025-10-28 17:53:46.545115,jobs in alpine alabama,jobs in alpine alabama area
39,jobs in alpine alabama,"('jobs in alpine alabama area area', 'jobs in alpine alabama area areas')",jobs in alpine alabama area area,jobs in alpine alabama area areas,3,2,google,2025-10-28 17:53:46.545115,jobs in alpine alabama,jobs in alpine alabama area
40,jobs in alpine alabama,"('jobs in alpine alabama area area', 'jobs in alpine alabama area area code')",jobs in alpine alabama area area,jobs in alpine alabama area area code,4,2,google,2025-10-28 17:53:46.545115,jobs in alpine alabama,jobs in alpine alabama area
41,jobs in alpine alabama,"('jobs in alpine alabama areas', 'jobs in alpine alabama areas hiring')",jobs in alpine alabama areas,jobs in alpine alabama areas hiring,1,2,google,2025-10-28 17:53:47.436577,jobs in alpine alabama,jobs in alpine alabama area
42,jobs in alpine alabama,"('jobs in alpine alabama areas', 'jobs in alpine alabama areas hiring now')",jobs in alpine alabama areas,jobs in alpine alabama areas hiring now,2,2,google,2025-10-28 17:53:47.436577,jobs in alpine alabama,jobs in alpine alabama area
43,jobs in alpine alabama,"('jobs in alpine alabama area hiring now', 'jobs in alpine alabama area hiring now part time')",jobs in alpine alabama area hiring now,jobs in alpine alabama area hiring now part time,1,2,google,2025-10-28 17:53:48.367735,jobs in alpine alabama,jobs in alpine alabama area
44,jobs in alpine alabama,"('jobs in alpine alabama area hiring now', 'jobs in alpine alabama area hiring now 2024')",jobs in alpine alabama area hiring now,jobs in alpine alabama area hiring now 2024,2,2,google,2025-10-28 17:53:48.367735,jobs in alpine alabama,jobs in alpine alabama area
45,jobs in alpine alabama,"('jobs in alpine alabama area hiring now', 'jobs in alpine alabama area hiring now full time')",jobs in alpine alabama area hiring now,jobs in alpine alabama area hiring now full time,3,2,google,2025-10-28 17:53:48.367735,jobs in alpine alabama,jobs in alpine alabama area
46,jobs in alpine alabama,"('jobs in alpine alabama area hiring now', 'jobs in alpine alabama area hiring now no experience')",jobs in alpine alabama area hiring now,jobs in alpine alabama area hiring now no experience,4,2,google,2025-10-28 17:53:48.367735,jobs in alpine alabama,jobs in alpine alabama area
47,jobs in alpine alabama,"('jobs in alpine alabama area hiring now', 'jobs in alpine alabama area hiring now no experience needed')",jobs in alpine alabama area hiring now,jobs in alpine alabama area hiring now no experience needed,5,2,google,2025-10-28 17:53:48.367735,jobs in alpine alabama,jobs in alpine alabama area
48,jobs in alpine alabama,"('jobs in alpine alabama area for 16 year olds', 'jobs in alpine alabama area for 16 year olds hiring')",jobs in alpine alabama area for 16 year olds,jobs in alpine alabama area for 16 year olds hiring,1,2,google,2025-10-28 17:53:49.554201,jobs in alpine alabama,jobs in alpine alabama area
49,jobs in alpine alabama,"('jobs in alpine alabama area for 16 year olds', 'jobs in alpine alabama area for 16 year olds part time')",jobs in alpine alabama area for 16 year olds,jobs in alpine alabama area for 16 year olds part time,2,2,google,2025-10-28 17:53:49.554201,jobs in alpine alabama,jobs in alpine alabama area
50,jobs in alpine alabama,"('jobs in alpine alabama area for 16 year olds', 'jobs in alpine alabama area for 16 year olds hiring now')",jobs in alpine alabama area for 16 year olds,jobs in alpine alabama area for 16 year olds hiring now,3,2,google,2025-10-28 17:53:49.554201,jobs in alpine alabama,jobs in alpine alabama area
51,jobs in alpine alabama,"('jobs in alpine alabama area for 16 year olds', 'jobs in alpine alabama area for 16 year olds no experience')",jobs in alpine alabama area for 16 year olds,jobs in alpine alabama area for 16 year olds no experience,4,2,google,2025-10-28 17:53:49.554201,jobs in alpine alabama,jobs in alpine alabama area
52,jobs in alpine alabama,"('jobs in alpine alabama area for 16 year olds', 'jobs in alpine alabama area for 16 year olds phoenix')",jobs in alpine alabama area for 16 year olds,jobs in alpine alabama area for 16 year olds phoenix,5,2,google,2025-10-28 17:53:49.554201,jobs in alpine alabama,jobs in alpine alabama area
