,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas area')",jobs in altheimer arkansas,jobs in altheimer arkansas area,1,0,google,2025-10-29 15:48:10.440454,,
1,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas hiring')",jobs in altheimer arkansas,jobs in altheimer arkansas hiring,2,0,google,2025-10-29 15:48:10.440454,,
2,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas school district')",jobs in altheimer arkansas,jobs in altheimer arkansas school district,3,0,google,2025-10-29 15:48:10.440454,,
3,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas for 16 year olds')",jobs in altheimer arkansas,jobs in altheimer arkansas for 16 year olds,4,0,google,2025-10-29 15:48:10.440454,,
4,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas 2024')",jobs in altheimer arkansas,jobs in altheimer arkansas 2024,5,0,google,2025-10-29 15:48:10.440454,,
5,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas history')",jobs in altheimer arkansas,jobs in altheimer arkansas history,6,0,google,2025-10-29 15:48:10.440454,,
6,jobs in altheimer arkansas,"('jobs in altheimer arkansas', 'jobs in altheimer arkansas weather')",jobs in altheimer arkansas,jobs in altheimer arkansas weather,7,0,google,2025-10-29 15:48:10.440454,,
7,jobs in altheimer arkansas,"('jobs in altheimer arkansas area', 'jobs in altheimer arkansas area area')",jobs in altheimer arkansas area,jobs in altheimer arkansas area area,1,1,google,2025-10-29 15:48:11.411301,,jobs in altheimer arkansas
8,jobs in altheimer arkansas,"('jobs in altheimer arkansas area', 'jobs in altheimer arkansas area hiring')",jobs in altheimer arkansas area,jobs in altheimer arkansas area hiring,2,1,google,2025-10-29 15:48:11.411301,,jobs in altheimer arkansas
9,jobs in altheimer arkansas,"('jobs in altheimer arkansas area', 'jobs in altheimer arkansas areas')",jobs in altheimer arkansas area,jobs in altheimer arkansas areas,3,1,google,2025-10-29 15:48:11.411301,,jobs in altheimer arkansas
10,jobs in altheimer arkansas,"('jobs in altheimer arkansas area', 'jobs in altheimer arkansas area for 16 year olds')",jobs in altheimer arkansas area,jobs in altheimer arkansas area for 16 year olds,4,1,google,2025-10-29 15:48:11.411301,,jobs in altheimer arkansas
11,jobs in altheimer arkansas,"('jobs in altheimer arkansas area', 'jobs in altheimer arkansas area for teens')",jobs in altheimer arkansas area,jobs in altheimer arkansas area for teens,5,1,google,2025-10-29 15:48:11.411301,,jobs in altheimer arkansas
12,jobs in altheimer arkansas,"('jobs in altheimer arkansas hiring', 'jobs in altheimer arkansas hiring now')",jobs in altheimer arkansas hiring,jobs in altheimer arkansas hiring now,1,1,google,2025-10-29 15:48:12.639147,,jobs in altheimer arkansas
13,jobs in altheimer arkansas,"('jobs in altheimer arkansas hiring', 'jobs in altheimer arkansas hiring immediately')",jobs in altheimer arkansas hiring,jobs in altheimer arkansas hiring immediately,2,1,google,2025-10-29 15:48:12.639147,,jobs in altheimer arkansas
14,jobs in altheimer arkansas,"('jobs in altheimer arkansas hiring', 'jobs in altheimer arkansas hiring right now')",jobs in altheimer arkansas hiring,jobs in altheimer arkansas hiring right now,3,1,google,2025-10-29 15:48:12.639147,,jobs in altheimer arkansas
15,jobs in altheimer arkansas,"('jobs in altheimer arkansas hiring', 'jobs in altheimer arkansas hiring 16 year olds')",jobs in altheimer arkansas hiring,jobs in altheimer arkansas hiring 16 year olds,4,1,google,2025-10-29 15:48:12.639147,,jobs in altheimer arkansas
