,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in amity arkansas,"('jobs in amity arkansas', 'directions to amity arkansas')",jobs in amity arkansas,directions to amity arkansas,1,0,google,2025-10-29 15:52:46.374952,,
1,jobs in amity arkansas,"('jobs in amity arkansas', 'jobs in amity oregon')",jobs in amity arkansas,jobs in amity oregon,2,0,google,2025-10-29 15:52:46.374952,,
2,jobs in amity arkansas,"('jobs in amity arkansas', 'amity ar jobs')",jobs in amity arkansas,amity ar jobs,3,0,google,2025-10-29 15:52:46.374952,,
3,jobs in amity arkansas,"('directions to amity arkansas', 'directions to amity arkansas from my location')",directions to amity arkansas,directions to amity arkansas from my location,1,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
4,jobs in amity arkansas,"('directions to amity arkansas', 'driving directions to amity arkansas')",directions to amity arkansas,driving directions to amity arkansas,2,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
5,jobs in amity arkansas,"('directions to amity arkansas', 'directions to 750 amity road conway arkansas')",directions to amity arkansas,directions to 750 amity road conway arkansas,3,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
6,jobs in amity arkansas,"('directions to amity arkansas', 'directions to amity oregon')",directions to amity arkansas,directions to amity oregon,4,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
7,jobs in amity arkansas,"('directions to amity arkansas', 'directions to arkansas')",directions to amity arkansas,directions to arkansas,5,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
8,jobs in amity arkansas,"('directions to amity arkansas', 'directions to fox arkansas')",directions to amity arkansas,directions to fox arkansas,6,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
9,jobs in amity arkansas,"('directions to amity arkansas', 'directions to amity ar')",directions to amity arkansas,directions to amity ar,7,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
10,jobs in amity arkansas,"('directions to amity arkansas', 'directions to amity')",directions to amity arkansas,directions to amity,8,1,google,2025-10-29 15:52:47.833149,,jobs in amity arkansas
