,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska full time')",jobs in anchorage alaska,jobs in anchorage alaska full time,1,0,google,2025-10-28 14:15:20.119485,,
1,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska part time')",jobs in anchorage alaska,jobs in anchorage alaska part time,2,0,google,2025-10-28 14:15:20.119485,,
2,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska no experience')",jobs in anchorage alaska,jobs in anchorage alaska no experience,3,0,google,2025-10-28 14:15:20.119485,,
3,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska for 14 year olds')",jobs in anchorage alaska,jobs in anchorage alaska for 14 year olds,4,0,google,2025-10-28 14:15:20.119485,,
4,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska remote')",jobs in anchorage alaska,jobs in anchorage alaska remote,5,0,google,2025-10-28 14:15:20.119485,,
5,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska with housing')",jobs in anchorage alaska,jobs in anchorage alaska with housing,6,0,google,2025-10-28 14:15:20.119485,,
6,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska no degree')",jobs in anchorage alaska,jobs in anchorage alaska no degree,7,0,google,2025-10-28 14:15:20.119485,,
7,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska for 16 year olds')",jobs in anchorage alaska,jobs in anchorage alaska for 16 year olds,8,0,google,2025-10-28 14:15:20.119485,,
8,jobs in anchorage alaska,"('jobs in anchorage alaska', 'jobs in anchorage alaska entry level')",jobs in anchorage alaska,jobs in anchorage alaska entry level,9,0,google,2025-10-28 14:15:20.119485,,
9,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'jobs in anchorage alaska full time no experience needed')",jobs in anchorage alaska full time,jobs in anchorage alaska full time no experience needed,1,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
10,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'jobs in anchorage alaska part time')",jobs in anchorage alaska full time,jobs in anchorage alaska part time,2,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
11,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'jobs near anchorage ak full time')",jobs in anchorage alaska full time,jobs near anchorage ak full time,3,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
12,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'what jobs are available in alaska')",jobs in anchorage alaska full time,what jobs are available in alaska,4,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
13,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'average salary in anchorage alaska')",jobs in anchorage alaska full time,average salary in anchorage alaska,5,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
14,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'jobs in anchorage alaska no experience')",jobs in anchorage alaska full time,jobs in anchorage alaska no experience,6,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
15,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'anchorage jobs full-time')",jobs in anchorage alaska full time,anchorage jobs full-time,7,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
16,jobs in anchorage alaska,"('jobs in anchorage alaska full time', 'jobs in anchorage alaska hiring')",jobs in anchorage alaska full time,jobs in anchorage alaska hiring,8,1,google,2025-10-28 14:15:21.160503,,jobs in anchorage alaska
17,jobs in anchorage alaska,"('jobs in anchorage alaska part time', 'jobs in anchorage alaska full time')",jobs in anchorage alaska part time,jobs in anchorage alaska full time,1,1,google,2025-10-28 14:15:22.032540,,jobs in anchorage alaska
18,jobs in anchorage alaska,"('jobs in anchorage alaska part time', 'jobs in anchorage alaska full time no experience needed')",jobs in anchorage alaska part time,jobs in anchorage alaska full time no experience needed,2,1,google,2025-10-28 14:15:22.032540,,jobs in anchorage alaska
19,jobs in anchorage alaska,"('jobs in anchorage alaska part time', 'jobs near anchorage ak full time')",jobs in anchorage alaska part time,jobs near anchorage ak full time,3,1,google,2025-10-28 14:15:22.032540,,jobs in anchorage alaska
20,jobs in anchorage alaska,"('jobs in anchorage alaska part time', 'part time jobs in anchorage alaska no experience')",jobs in anchorage alaska part time,part time jobs in anchorage alaska no experience,4,1,google,2025-10-28 14:15:22.032540,,jobs in anchorage alaska
