,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in anderson alaska,"('jobs in anderson alaska', 'jobs in anderson alaska area')",jobs in anderson alaska,jobs in anderson alaska area,1,0,google,2025-10-28 14:19:17.985566,,
1,jobs in anderson alaska,"('jobs in anderson alaska', 'jobs in anderson alaska indeed')",jobs in anderson alaska,jobs in anderson alaska indeed,2,0,google,2025-10-28 14:19:17.985566,,
2,jobs in anderson alaska,"('jobs in anderson alaska', 'jobs in anderson alaska hiring')",jobs in anderson alaska,jobs in anderson alaska hiring,3,0,google,2025-10-28 14:19:17.985566,,
3,jobs in anderson alaska,"('jobs in anderson alaska', 'jobs in anderson alaska for 16 year olds')",jobs in anderson alaska,jobs in anderson alaska for 16 year olds,4,0,google,2025-10-28 14:19:17.985566,,
4,jobs in anderson alaska,"('jobs in anderson alaska', 'jobs in anderson alaska hiring now')",jobs in anderson alaska,jobs in anderson alaska hiring now,5,0,google,2025-10-28 14:19:17.985566,,
5,jobs in anderson alaska,"('jobs in anderson alaska area', 'jobs in anderson alaska area hiring')",jobs in anderson alaska area,jobs in anderson alaska area hiring,1,1,google,2025-10-28 14:19:18.908085,,jobs in anderson alaska
6,jobs in anderson alaska,"('jobs in anderson alaska area', 'jobs in anderson alaska area area')",jobs in anderson alaska area,jobs in anderson alaska area area,2,1,google,2025-10-28 14:19:18.908085,,jobs in anderson alaska
7,jobs in anderson alaska,"('jobs in anderson alaska area', 'jobs in anderson alaska area 2024')",jobs in anderson alaska area,jobs in anderson alaska area 2024,3,1,google,2025-10-28 14:19:18.908085,,jobs in anderson alaska
8,jobs in anderson alaska,"('jobs in anderson alaska area', 'jobs in anderson alaska area indeed')",jobs in anderson alaska area,jobs in anderson alaska area indeed,4,1,google,2025-10-28 14:19:18.908085,,jobs in anderson alaska
9,jobs in anderson alaska,"('jobs in anderson alaska area', 'jobs in anderson alaska area for 16 year olds')",jobs in anderson alaska area,jobs in anderson alaska area for 16 year olds,5,1,google,2025-10-28 14:19:18.908085,,jobs in anderson alaska
10,jobs in anderson alaska,"('jobs in anderson alaska indeed', 'jobs in anderson alaska indeed.com')",jobs in anderson alaska indeed,jobs in anderson alaska indeed.com,1,1,google,2025-10-28 14:19:20.029203,,jobs in anderson alaska
11,jobs in anderson alaska,"('jobs in anderson alaska indeed', 'jobs in anderson alaska indeed jobs')",jobs in anderson alaska indeed,jobs in anderson alaska indeed jobs,2,1,google,2025-10-28 14:19:20.029203,,jobs in anderson alaska
12,jobs in anderson alaska,"('jobs in anderson alaska indeed', 'jobs in anderson alaska indeed part time')",jobs in anderson alaska indeed,jobs in anderson alaska indeed part time,3,1,google,2025-10-28 14:19:20.029203,,jobs in anderson alaska
13,jobs in anderson alaska,"('jobs in anderson alaska indeed', 'jobs in anderson alaska indeed full time')",jobs in anderson alaska indeed,jobs in anderson alaska indeed full time,4,1,google,2025-10-28 14:19:20.029203,,jobs in anderson alaska
14,jobs in anderson alaska,"('jobs in anderson alaska hiring', 'jobs in anderson alaska hiring now')",jobs in anderson alaska hiring,jobs in anderson alaska hiring now,1,1,google,2025-10-28 14:19:21.310715,,jobs in anderson alaska
15,jobs in anderson alaska,"('jobs in anderson alaska hiring', 'jobs in anderson alaska hiring immediately')",jobs in anderson alaska hiring,jobs in anderson alaska hiring immediately,2,1,google,2025-10-28 14:19:21.310715,,jobs in anderson alaska
16,jobs in anderson alaska,"('jobs in anderson alaska hiring', 'jobs in anderson alaska hiring 16 year olds')",jobs in anderson alaska hiring,jobs in anderson alaska hiring 16 year olds,3,1,google,2025-10-28 14:19:21.310715,,jobs in anderson alaska
17,jobs in anderson alaska,"('jobs in anderson alaska hiring', 'jobs in anderson alaska hiring 15 year olds')",jobs in anderson alaska hiring,jobs in anderson alaska hiring 15 year olds,4,1,google,2025-10-28 14:19:21.310715,,jobs in anderson alaska
