,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in anniston alabama,"('jobs in anniston alabama', 'jobs in anniston al no degree')",jobs in anniston alabama,jobs in anniston al no degree,1,0,google,2025-10-28 18:00:38.382485,,
1,jobs in anniston alabama,"('jobs in anniston alabama', 'jobs in anniston al no experience')",jobs in anniston alabama,jobs in anniston al no experience,2,0,google,2025-10-28 18:00:38.382485,,
2,jobs in anniston alabama,"('jobs in anniston alabama', 'jobs in anniston al remote')",jobs in anniston alabama,jobs in anniston al remote,3,0,google,2025-10-28 18:00:38.382485,,
3,jobs in anniston alabama,"('jobs in anniston alabama', 'jobs in anniston oxford alabama')",jobs in anniston alabama,jobs in anniston oxford alabama,4,0,google,2025-10-28 18:00:38.382485,,
4,jobs in anniston alabama,"('jobs in anniston alabama', 'jobs hiring in anniston alabama')",jobs in anniston alabama,jobs hiring in anniston alabama,5,0,google,2025-10-28 18:00:38.382485,,
5,jobs in anniston alabama,"('jobs in anniston alabama', 'nursing jobs in anniston alabama')",jobs in anniston alabama,nursing jobs in anniston alabama,6,0,google,2025-10-28 18:00:38.382485,,
6,jobs in anniston alabama,"('jobs in anniston alabama', 'warehouse jobs in anniston alabama')",jobs in anniston alabama,warehouse jobs in anniston alabama,7,0,google,2025-10-28 18:00:38.382485,,
7,jobs in anniston alabama,"('jobs in anniston alabama', 'caregiver jobs in anniston alabama')",jobs in anniston alabama,caregiver jobs in anniston alabama,8,0,google,2025-10-28 18:00:38.382485,,
8,jobs in anniston alabama,"('jobs in anniston alabama', 'production jobs in anniston alabama')",jobs in anniston alabama,production jobs in anniston alabama,9,0,google,2025-10-28 18:00:38.382485,,
9,jobs in anniston alabama,"('jobs in anniston al no degree', 'jobs in oxford al no degree')",jobs in anniston al no degree,jobs in oxford al no degree,1,1,google,2025-10-28 18:00:39.246794,,jobs in anniston alabama
10,jobs in anniston alabama,"('jobs in anniston al no degree', 'jobs in anniston alabama area')",jobs in anniston al no degree,jobs in anniston alabama area,2,1,google,2025-10-28 18:00:39.246794,,jobs in anniston alabama
11,jobs in anniston alabama,"('jobs in anniston al no degree', 'jobs in anniston alabama')",jobs in anniston al no degree,jobs in anniston alabama,3,1,google,2025-10-28 18:00:39.246794,,jobs in anniston alabama
12,jobs in anniston alabama,"('jobs in anniston al no degree', 'jobs in anniston al')",jobs in anniston al no degree,jobs in anniston al,4,1,google,2025-10-28 18:00:39.246794,,jobs in anniston alabama
13,jobs in anniston alabama,"('jobs in anniston al no experience', 'jobs in oxford al no experience')",jobs in anniston al no experience,jobs in oxford al no experience,1,1,google,2025-10-28 18:00:40.106762,,jobs in anniston alabama
14,jobs in anniston alabama,"('jobs in anniston al no experience', 'work from home jobs anniston al no experience needed')",jobs in anniston al no experience,work from home jobs anniston al no experience needed,2,1,google,2025-10-28 18:00:40.106762,,jobs in anniston alabama
15,jobs in anniston alabama,"('jobs in anniston al no experience', 'jobs in anniston alabama')",jobs in anniston al no experience,jobs in anniston alabama,3,1,google,2025-10-28 18:00:40.106762,,jobs in anniston alabama
16,jobs in anniston alabama,"('jobs in anniston al no experience', 'jobs in anniston alabama area')",jobs in anniston al no experience,jobs in anniston alabama area,4,1,google,2025-10-28 18:00:40.106762,,jobs in anniston alabama
17,jobs in anniston alabama,"('jobs in anniston al no experience', 'jobs in anniston')",jobs in anniston al no experience,jobs in anniston,5,1,google,2025-10-28 18:00:40.106762,,jobs in anniston alabama
18,jobs in anniston alabama,"('jobs in anniston al remote', 'jobs in oxford al remote')",jobs in anniston al remote,jobs in oxford al remote,1,1,google,2025-10-28 18:00:40.878878,,jobs in anniston alabama
19,jobs in anniston alabama,"('jobs in anniston al remote', 'jobs in anniston alabama area')",jobs in anniston al remote,jobs in anniston alabama area,2,1,google,2025-10-28 18:00:40.878878,,jobs in anniston alabama
20,jobs in anniston alabama,"('jobs in anniston al remote', 'jobs in anniston alabama')",jobs in anniston al remote,jobs in anniston alabama,3,1,google,2025-10-28 18:00:40.878878,,jobs in anniston alabama
21,jobs in anniston alabama,"('jobs in anniston al remote', 'jobs in anniston')",jobs in anniston al remote,jobs in anniston,4,1,google,2025-10-28 18:00:40.878878,,jobs in anniston alabama
22,jobs in anniston alabama,"('jobs in anniston oxford alabama', 'jobs oxford anniston al')",jobs in anniston oxford alabama,jobs oxford anniston al,1,1,google,2025-10-28 18:00:41.998893,,jobs in anniston alabama
23,jobs in anniston alabama,"('jobs in anniston oxford alabama', 'jobs in oxford alabama')",jobs in anniston oxford alabama,jobs in oxford alabama,2,1,google,2025-10-28 18:00:41.998893,,jobs in anniston alabama
24,jobs in anniston alabama,"('jobs in anniston oxford alabama', 'jobs in oxford al')",jobs in anniston oxford alabama,jobs in oxford al,3,1,google,2025-10-28 18:00:41.998893,,jobs in anniston alabama
25,jobs in anniston alabama,"('jobs in anniston oxford alabama', 'jobs in anniston alabama area')",jobs in anniston oxford alabama,jobs in anniston alabama area,4,1,google,2025-10-28 18:00:41.998893,,jobs in anniston alabama
26,jobs in anniston alabama,"('jobs hiring in anniston alabama', 'job openings in anniston alabama')",jobs hiring in anniston alabama,job openings in anniston alabama,1,1,google,2025-10-28 18:00:42.924907,,jobs in anniston alabama
