,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'hiring in arkadelphia arkansas')",jobs in arkadelphia arkansas,hiring in arkadelphia arkansas,1,0,google,2025-10-29 15:54:33.274397,,
1,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'jobs in arkadelphia ar remote')",jobs in arkadelphia arkansas,jobs in arkadelphia ar remote,2,0,google,2025-10-29 15:54:33.274397,,
2,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'jobs in arkadelphia ar no degree')",jobs in arkadelphia arkansas,jobs in arkadelphia ar no degree,3,0,google,2025-10-29 15:54:33.274397,,
3,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'jobs in arkadelphia ar no experience needed')",jobs in arkadelphia arkansas,jobs in arkadelphia ar no experience needed,4,0,google,2025-10-29 15:54:33.274397,,
4,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'jobs hiring in arkadelphia arkansas')",jobs in arkadelphia arkansas,jobs hiring in arkadelphia arkansas,5,0,google,2025-10-29 15:54:33.274397,,
5,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'welding jobs in arkadelphia arkansas')",jobs in arkadelphia arkansas,welding jobs in arkadelphia arkansas,6,0,google,2025-10-29 15:54:33.274397,,
6,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'indeed jobs in arkadelphia arkansas')",jobs in arkadelphia arkansas,indeed jobs in arkadelphia arkansas,7,0,google,2025-10-29 15:54:33.274397,,
7,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'job openings in arkadelphia arkansas')",jobs in arkadelphia arkansas,job openings in arkadelphia arkansas,8,0,google,2025-10-29 15:54:33.274397,,
8,jobs in arkadelphia arkansas,"('jobs in arkadelphia arkansas', 'part time jobs in arkadelphia arkansas')",jobs in arkadelphia arkansas,part time jobs in arkadelphia arkansas,9,0,google,2025-10-29 15:54:33.274397,,
9,jobs in arkadelphia arkansas,"('hiring in arkadelphia arkansas', 'jobs in arkadelphia arkansas')",hiring in arkadelphia arkansas,jobs in arkadelphia arkansas,1,1,google,2025-10-29 15:54:34.764917,,jobs in arkadelphia arkansas
10,jobs in arkadelphia arkansas,"('hiring in arkadelphia arkansas', 'jobs hiring in arkadelphia arkansas')",hiring in arkadelphia arkansas,jobs hiring in arkadelphia arkansas,2,1,google,2025-10-29 15:54:34.764917,,jobs in arkadelphia arkansas
