,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas', 'jobs in arkansas state university arkansas city ks')",jobs in arkansas state university arkansas,jobs in arkansas state university arkansas city ks,1,0,google,2025-11-01 18:48:02.685857,,
1,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas', 'jobs in arkansas state university arkansas city')",jobs in arkansas state university arkansas,jobs in arkansas state university arkansas city,2,0,google,2025-11-01 18:48:02.685857,,
2,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas', 'jobs in arkansas state university arkansas city kansas')",jobs in arkansas state university arkansas,jobs in arkansas state university arkansas city kansas,3,0,google,2025-11-01 18:48:02.685857,,
3,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas', 'jobs in arkansas state university arkansas university')",jobs in arkansas state university arkansas,jobs in arkansas state university arkansas university,4,0,google,2025-11-01 18:48:02.685857,,
4,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas', 'jobs in arkansas state university arkansas state university')",jobs in arkansas state university arkansas,jobs in arkansas state university arkansas state university,5,0,google,2025-11-01 18:48:02.685857,,
5,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas city ks', 'jobs in arkansas state university arkansas city ks 67005')",jobs in arkansas state university arkansas city ks,jobs in arkansas state university arkansas city ks 67005,1,1,google,2025-11-01 18:48:04.072689,,jobs in arkansas state university arkansas
6,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas city ks', 'jobs in arkansas state university arkansas city ks jobs')",jobs in arkansas state university arkansas city ks,jobs in arkansas state university arkansas city ks jobs,2,1,google,2025-11-01 18:48:04.072689,,jobs in arkansas state university arkansas
7,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas city ks', 'jobs in arkansas state university arkansas city ks area')",jobs in arkansas state university arkansas city ks,jobs in arkansas state university arkansas city ks area,3,1,google,2025-11-01 18:48:04.072689,,jobs in arkansas state university arkansas
8,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas city ks', 'jobs in arkansas state university arkansas city ks usa')",jobs in arkansas state university arkansas city ks,jobs in arkansas state university arkansas city ks usa,4,1,google,2025-11-01 18:48:04.072689,,jobs in arkansas state university arkansas
9,jobs in arkansas state university arkansas,"('jobs in arkansas state university arkansas city ks', 'jobs in arkansas state university arkansas city ks 67001')",jobs in arkansas state university arkansas city ks,jobs in arkansas state university arkansas city ks 67001,5,1,google,2025-11-01 18:48:04.072689,,jobs in arkansas state university arkansas
