,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in irvington alabama')",jobs in arlington alabama,jobs in irvington alabama,1,0,google,2025-10-28 18:12:25.972802,,
1,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in arlington ga')",jobs in arlington alabama,jobs in arlington ga,2,0,google,2025-10-28 18:12:25.972802,,
2,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in arley alabama')",jobs in arlington alabama,jobs in arley alabama,3,0,google,2025-10-28 18:12:25.972802,,
3,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in arlington tennessee')",jobs in arlington alabama,jobs in arlington tennessee,4,0,google,2025-10-28 18:12:25.972802,,
4,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in arlington virginia')",jobs in arlington alabama,jobs in arlington virginia,5,0,google,2025-10-28 18:12:25.972802,,
5,jobs in arlington alabama,"('jobs in arlington alabama', 'jobs in arlington hiring')",jobs in arlington alabama,jobs in arlington hiring,6,0,google,2025-10-28 18:12:25.972802,,
6,jobs in arlington alabama,"('jobs in irvington alabama', 'jobs hiring in irvington al')",jobs in irvington alabama,jobs hiring in irvington al,1,1,google,2025-10-28 18:12:26.895623,,jobs in arlington alabama
7,jobs in arlington alabama,"('jobs in irvington alabama', 'walmart distribution center jobs in irvington alabama')",jobs in irvington alabama,walmart distribution center jobs in irvington alabama,2,1,google,2025-10-28 18:12:26.895623,,jobs in arlington alabama
8,jobs in arlington alabama,"('jobs in irvington alabama', 'jobs in irvington al')",jobs in irvington alabama,jobs in irvington al,3,1,google,2025-10-28 18:12:26.895623,,jobs in arlington alabama
9,jobs in arlington alabama,"('jobs in irvington alabama', 'jobs in irondale alabama')",jobs in irvington alabama,jobs in irondale alabama,4,1,google,2025-10-28 18:12:26.895623,,jobs in arlington alabama
10,jobs in arlington alabama,"('jobs in arlington ga', 'jobs in arlington tn')",jobs in arlington ga,jobs in arlington tn,1,1,google,2025-10-28 18:12:28.147140,,jobs in arlington alabama
11,jobs in arlington alabama,"('jobs in arlington ga', 'jobs in arlington tennessee')",jobs in arlington ga,jobs in arlington tennessee,2,1,google,2025-10-28 18:12:28.147140,,jobs in arlington alabama
12,jobs in arlington alabama,"('jobs in arlington ga', 'jobs in arlington va part-time')",jobs in arlington ga,jobs in arlington va part-time,3,1,google,2025-10-28 18:12:28.147140,,jobs in arlington alabama
13,jobs in arlington alabama,"('jobs in arley alabama', 'what kind of jobs are in alabama')",jobs in arley alabama,what kind of jobs are in alabama,1,1,google,2025-10-28 18:12:29.404876,,jobs in arlington alabama
14,jobs in arlington alabama,"('jobs in arley alabama', 'jobs in arley al')",jobs in arley alabama,jobs in arley al,2,1,google,2025-10-28 18:12:29.404876,,jobs in arlington alabama
15,jobs in arlington alabama,"('jobs in arley alabama', 'jobs in arab al 35016')",jobs in arley alabama,jobs in arab al 35016,3,1,google,2025-10-28 18:12:29.404876,,jobs in arlington alabama
