,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'jobs hiring in ash flat arkansas')",jobs in ash flat arkansas,jobs hiring in ash flat arkansas,1,0,google,2025-10-29 16:04:21.916880,,
1,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'walmart jobs ash flat arkansas')",jobs in ash flat arkansas,walmart jobs ash flat arkansas,2,0,google,2025-10-29 16:04:21.916880,,
2,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'part time jobs in ash flat ar')",jobs in ash flat arkansas,part time jobs in ash flat ar,3,0,google,2025-10-29 16:04:21.916880,,
3,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'jobs in ash flat ar')",jobs in ash flat arkansas,jobs in ash flat ar,4,0,google,2025-10-29 16:04:21.916880,,
4,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'walmart ash flat ar jobs')",jobs in ash flat arkansas,walmart ash flat ar jobs,5,0,google,2025-10-29 16:04:21.916880,,
5,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'grocery stores in ash flat arkansas')",jobs in ash flat arkansas,grocery stores in ash flat arkansas,6,0,google,2025-10-29 16:04:21.916880,,
6,jobs in ash flat arkansas,"('jobs in ash flat arkansas', 'jobs in ash flat')",jobs in ash flat arkansas,jobs in ash flat,7,0,google,2025-10-29 16:04:21.916880,,
7,jobs in ash flat arkansas,"('jobs hiring in ash flat arkansas', 'jobs near ash flat arkansas')",jobs hiring in ash flat arkansas,jobs near ash flat arkansas,1,1,google,2025-10-29 16:04:22.813915,,jobs in ash flat arkansas
8,jobs in ash flat arkansas,"('jobs hiring in ash flat arkansas', 'jobs hiring near ash flat ar')",jobs hiring in ash flat arkansas,jobs hiring near ash flat ar,2,1,google,2025-10-29 16:04:22.813915,,jobs in ash flat arkansas
9,jobs in ash flat arkansas,"('jobs hiring in ash flat arkansas', 'jobs ash flat ar')",jobs hiring in ash flat arkansas,jobs ash flat ar,3,1,google,2025-10-29 16:04:22.813915,,jobs in ash flat arkansas
10,jobs in ash flat arkansas,"('walmart jobs ash flat arkansas', 'walmart ash flat ar jobs')",walmart jobs ash flat arkansas,walmart ash flat ar jobs,1,1,google,2025-10-29 16:04:23.906406,,jobs in ash flat arkansas
11,jobs in ash flat arkansas,"('walmart jobs ash flat arkansas', 'walmart ash flat arkansas phone number')",walmart jobs ash flat arkansas,walmart ash flat arkansas phone number,2,1,google,2025-10-29 16:04:23.906406,,jobs in ash flat arkansas
12,jobs in ash flat arkansas,"('walmart jobs ash flat arkansas', 'walmart careers ash flat ar')",walmart jobs ash flat arkansas,walmart careers ash flat ar,3,1,google,2025-10-29 16:04:23.906406,,jobs in ash flat arkansas
13,jobs in ash flat arkansas,"('walmart jobs ash flat arkansas', 'walmart ash flat arkansas')",walmart jobs ash flat arkansas,walmart ash flat arkansas,4,1,google,2025-10-29 16:04:23.906406,,jobs in ash flat arkansas
14,jobs in ash flat arkansas,"('part time jobs in ash flat ar', 'ash flat ar jobs')",part time jobs in ash flat ar,ash flat ar jobs,1,1,google,2025-10-29 16:04:25.186729,,jobs in ash flat arkansas
15,jobs in ash flat arkansas,"('part time jobs in ash flat ar', 'ash flat jobs')",part time jobs in ash flat ar,ash flat jobs,2,1,google,2025-10-29 16:04:25.186729,,jobs in ash flat arkansas
16,jobs in ash flat arkansas,"('part time jobs in ash flat ar', 'part time jobs in ashland city')",part time jobs in ash flat ar,part time jobs in ashland city,3,1,google,2025-10-29 16:04:25.186729,,jobs in ash flat arkansas
17,jobs in ash flat arkansas,"('part time jobs in ash flat ar', 'ash flat arkansas jobs')",part time jobs in ash flat ar,ash flat arkansas jobs,4,1,google,2025-10-29 16:04:25.186729,,jobs in ash flat arkansas
