,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ashdown arkansas,"('jobs in ashdown arkansas', 'jobs hiring in ashdown arkansas')",jobs in ashdown arkansas,jobs hiring in ashdown arkansas,1,0,google,2025-10-29 16:06:18.947811,,
1,jobs in ashdown arkansas,"('jobs in ashdown arkansas', 'part time jobs in ashdown arkansas')",jobs in ashdown arkansas,part time jobs in ashdown arkansas,2,0,google,2025-10-29 16:06:18.947811,,
2,jobs in ashdown arkansas,"('jobs in ashdown arkansas', 'places hiring in ashdown arkansas')",jobs in ashdown arkansas,places hiring in ashdown arkansas,3,0,google,2025-10-29 16:06:18.947811,,
3,jobs in ashdown arkansas,"('jobs in ashdown arkansas', 'jobs in ashdown ar')",jobs in ashdown arkansas,jobs in ashdown ar,4,0,google,2025-10-29 16:06:18.947811,,
4,jobs in ashdown arkansas,"('jobs in ashdown arkansas', 'jobs in ashdown')",jobs in ashdown arkansas,jobs in ashdown,5,0,google,2025-10-29 16:06:18.947811,,
5,jobs in ashdown arkansas,"('jobs hiring in ashdown arkansas', 'jobs near ashdown arkansas')",jobs hiring in ashdown arkansas,jobs near ashdown arkansas,1,1,google,2025-10-29 16:06:19.978140,,jobs in ashdown arkansas
6,jobs in ashdown arkansas,"('jobs hiring in ashdown arkansas', 'jobs hiring near ashdown ar')",jobs hiring in ashdown arkansas,jobs hiring near ashdown ar,2,1,google,2025-10-29 16:06:19.978140,,jobs in ashdown arkansas
7,jobs in ashdown arkansas,"('jobs hiring in ashdown arkansas', 'jobs hiring in ashdown')",jobs hiring in ashdown arkansas,jobs hiring in ashdown,3,1,google,2025-10-29 16:06:19.978140,,jobs in ashdown arkansas
8,jobs in ashdown arkansas,"('part time jobs in ashdown arkansas', 'part time jobs ashdown ar')",part time jobs in ashdown arkansas,part time jobs ashdown ar,1,1,google,2025-10-29 16:06:20.899734,,jobs in ashdown arkansas
9,jobs in ashdown arkansas,"('part time jobs in ashdown arkansas', 'ashdown arkansas jobs')",part time jobs in ashdown arkansas,ashdown arkansas jobs,2,1,google,2025-10-29 16:06:20.899734,,jobs in ashdown arkansas
10,jobs in ashdown arkansas,"('part time jobs in ashdown arkansas', 'ashdown ar jobs')",part time jobs in ashdown arkansas,ashdown ar jobs,3,1,google,2025-10-29 16:06:20.899734,,jobs in ashdown arkansas
11,jobs in ashdown arkansas,"('part time jobs in ashdown arkansas', 'ashdown arkansas businesses hiring')",part time jobs in ashdown arkansas,ashdown arkansas businesses hiring,4,1,google,2025-10-29 16:06:20.899734,,jobs in ashdown arkansas
12,jobs in ashdown arkansas,"('places hiring in ashdown arkansas', 'jobs hiring in ashdown arkansas')",places hiring in ashdown arkansas,jobs hiring in ashdown arkansas,1,1,google,2025-10-29 16:06:22.278313,,jobs in ashdown arkansas
13,jobs in ashdown arkansas,"('places hiring in ashdown arkansas', 'places hiring in ashdown ar')",places hiring in ashdown arkansas,places hiring in ashdown ar,2,1,google,2025-10-29 16:06:22.278313,,jobs in ashdown arkansas
14,jobs in ashdown arkansas,"('places hiring in ashdown arkansas', 'ashdown arkansas jobs')",places hiring in ashdown arkansas,ashdown arkansas jobs,3,1,google,2025-10-29 16:06:22.278313,,jobs in ashdown arkansas
15,jobs in ashdown arkansas,"('places hiring in ashdown arkansas', 'ashdown arkansas businesses hiring')",places hiring in ashdown arkansas,ashdown arkansas businesses hiring,4,1,google,2025-10-29 16:06:22.278313,,jobs in ashdown arkansas
16,jobs in ashdown arkansas,"('places hiring in ashdown arkansas', 'jobs hiring in ashdown ar')",places hiring in ashdown arkansas,jobs hiring in ashdown ar,5,1,google,2025-10-29 16:06:22.278313,,jobs in ashdown arkansas
17,jobs in ashdown arkansas,"('jobs in ashdown ar', 'jobs in ashdown arkansas')",jobs in ashdown ar,jobs in ashdown arkansas,1,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
18,jobs in ashdown arkansas,"('jobs in ashdown ar', 'jobs hiring in ashdown arkansas')",jobs in ashdown ar,jobs hiring in ashdown arkansas,2,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
19,jobs in ashdown arkansas,"('jobs in ashdown ar', 'part time jobs in ashdown arkansas')",jobs in ashdown ar,part time jobs in ashdown arkansas,3,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
20,jobs in ashdown arkansas,"('jobs in ashdown ar', 'jobs near ashdown ar')",jobs in ashdown ar,jobs near ashdown ar,4,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
21,jobs in ashdown arkansas,"('jobs in ashdown ar', 'places hiring in ashdown ar')",jobs in ashdown ar,places hiring in ashdown ar,5,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
22,jobs in ashdown arkansas,"('jobs in ashdown ar', 'ashdown jobs')",jobs in ashdown ar,ashdown jobs,6,1,google,2025-10-29 16:06:23.556621,,jobs in ashdown arkansas
23,jobs in ashdown arkansas,"('jobs in ashdown', 'jobs in ashdown arkansas')",jobs in ashdown,jobs in ashdown arkansas,1,1,google,2025-10-29 16:06:24.963410,,jobs in ashdown arkansas
