,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ashford alabama,"('jobs in ashford alabama', 'jobs in ashford al')",jobs in ashford alabama,jobs in ashford al,1,0,google,2025-10-28 18:16:20.010351,,
1,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al')",jobs in ashford al,jobs in dothan al,1,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
2,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al hiring immediately')",jobs in ashford al,jobs in dothan al hiring immediately,2,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
3,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al full time')",jobs in ashford al,jobs in dothan al full time,3,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
4,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan alabama hiring')",jobs in ashford al,jobs in dothan alabama hiring,4,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
5,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al part time')",jobs in ashford al,jobs in dothan al part time,5,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
6,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan alabama area')",jobs in ashford al,jobs in dothan alabama area,6,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
7,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al for 16 year olds')",jobs in ashford al,jobs in dothan al for 16 year olds,7,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
8,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al remote')",jobs in ashford al,jobs in dothan al remote,8,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
9,jobs in ashford alabama,"('jobs in ashford al', 'jobs in dothan al for 15 year olds')",jobs in ashford al,jobs in dothan al for 15 year olds,9,1,google,2025-10-28 18:16:21.219484,,jobs in ashford alabama
10,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan alabama area')",jobs in dothan al,jobs in dothan alabama area,1,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
11,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al full time')",jobs in dothan al,jobs in dothan al full time,2,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
12,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al part time')",jobs in dothan al,jobs in dothan al part time,3,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
13,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al hiring')",jobs in dothan al,jobs in dothan al hiring,4,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
14,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al no degree')",jobs in dothan al,jobs in dothan al no degree,5,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
15,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al hiring immediately')",jobs in dothan al,jobs in dothan al hiring immediately,6,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
16,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al since yesterday')",jobs in dothan al,jobs in dothan al since yesterday,7,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
17,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al in the last 3 days')",jobs in dothan al,jobs in dothan al in the last 3 days,8,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
18,jobs in ashford alabama,"('jobs in dothan al', 'jobs in dothan al remote')",jobs in dothan al,jobs in dothan al remote,9,2,google,2025-10-28 18:16:22.346255,jobs in ashford alabama,jobs in ashford al
19,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'jobs in dothan al hiring immediately no experience needed')",jobs in dothan al hiring immediately,jobs in dothan al hiring immediately no experience needed,1,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
20,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'hourly jobs hiring near me')",jobs in dothan al hiring immediately,hourly jobs hiring near me,2,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
21,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'jobs in dothan al full time')",jobs in dothan al hiring immediately,jobs in dothan al full time,3,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
22,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'dothan al jobs hiring now')",jobs in dothan al hiring immediately,dothan al jobs hiring now,4,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
23,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'jobs in dothan al part time')",jobs in dothan al hiring immediately,jobs in dothan al part time,5,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
24,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'jobs in dothan alabama hiring')",jobs in dothan al hiring immediately,jobs in dothan alabama hiring,6,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
25,jobs in ashford alabama,"('jobs in dothan al hiring immediately', 'jobs in dothan hiring')",jobs in dothan al hiring immediately,jobs in dothan hiring,7,2,google,2025-10-28 18:16:23.634051,jobs in ashford alabama,jobs in ashford al
26,jobs in ashford alabama,"('jobs in dothan al full time', 'jobs in dothan al full time no experience')",jobs in dothan al full time,jobs in dothan al full time no experience,1,2,google,2025-10-28 18:16:25.070630,jobs in ashford alabama,jobs in ashford al
27,jobs in ashford alabama,"('jobs in dothan al full time', 'jobs in dothan al part time')",jobs in dothan al full time,jobs in dothan al part time,2,2,google,2025-10-28 18:16:25.070630,jobs in ashford alabama,jobs in ashford al
