,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ashland alabama,"('jobs in ashland alabama', 'jobs in lineville alabama')",jobs in ashland alabama,jobs in lineville alabama,1,0,google,2025-10-28 18:17:11.614016,,
1,jobs in ashland alabama,"('jobs in ashland alabama', 'jobs hiring in ashland alabama')",jobs in ashland alabama,jobs hiring in ashland alabama,2,0,google,2025-10-28 18:17:11.614016,,
2,jobs in ashland alabama,"('jobs in ashland alabama', 'jobs hiring in lineville alabama')",jobs in ashland alabama,jobs hiring in lineville alabama,3,0,google,2025-10-28 18:17:11.614016,,
3,jobs in ashland alabama,"('jobs in ashland alabama', ""mcdonald's jobs in ashland al"")",jobs in ashland alabama,mcdonald's jobs in ashland al,4,0,google,2025-10-28 18:17:11.614016,,
4,jobs in ashland alabama,"('jobs in ashland alabama', 'jobs in ashland al')",jobs in ashland alabama,jobs in ashland al,5,0,google,2025-10-28 18:17:11.614016,,
5,jobs in ashland alabama,"('jobs in ashland alabama', 'jobs in ashland ms')",jobs in ashland alabama,jobs in ashland ms,6,0,google,2025-10-28 18:17:11.614016,,
6,jobs in ashland alabama,"('jobs in lineville alabama', 'jobs hiring in lineville alabama')",jobs in lineville alabama,jobs hiring in lineville alabama,1,1,google,2025-10-28 18:17:13.026273,,jobs in ashland alabama
7,jobs in ashland alabama,"('jobs in lineville alabama', 'jobs in lineville al')",jobs in lineville alabama,jobs in lineville al,2,1,google,2025-10-28 18:17:13.026273,,jobs in ashland alabama
8,jobs in ashland alabama,"('jobs in lineville alabama', 'jobs in lynn alabama')",jobs in lineville alabama,jobs in lynn alabama,3,1,google,2025-10-28 18:17:13.026273,,jobs in ashland alabama
9,jobs in ashland alabama,"('jobs hiring in ashland alabama', 'jobs hiring in lineville alabama')",jobs hiring in ashland alabama,jobs hiring in lineville alabama,1,1,google,2025-10-28 18:17:13.970460,,jobs in ashland alabama
10,jobs in ashland alabama,"('jobs hiring in ashland alabama', 'jobs near ashland alabama')",jobs hiring in ashland alabama,jobs near ashland alabama,2,1,google,2025-10-28 18:17:13.970460,,jobs in ashland alabama
11,jobs in ashland alabama,"('jobs hiring in ashland alabama', 'jobs near lineville alabama')",jobs hiring in ashland alabama,jobs near lineville alabama,3,1,google,2025-10-28 18:17:13.970460,,jobs in ashland alabama
12,jobs in ashland alabama,"('jobs hiring in ashland alabama', 'jobs hiring in ashland al')",jobs hiring in ashland alabama,jobs hiring in ashland al,4,1,google,2025-10-28 18:17:13.970460,,jobs in ashland alabama
13,jobs in ashland alabama,"('jobs hiring in ashland alabama', 'jobs ashland al')",jobs hiring in ashland alabama,jobs ashland al,5,1,google,2025-10-28 18:17:13.970460,,jobs in ashland alabama
14,jobs in ashland alabama,"('jobs hiring in lineville alabama', 'jobs near lineville alabama')",jobs hiring in lineville alabama,jobs near lineville alabama,1,1,google,2025-10-28 18:17:15.044082,,jobs in ashland alabama
15,jobs in ashland alabama,"('jobs hiring in lineville alabama', 'jobs in lineville al')",jobs hiring in lineville alabama,jobs in lineville al,2,1,google,2025-10-28 18:17:15.044082,,jobs in ashland alabama
16,jobs in ashland alabama,"('jobs hiring in lineville alabama', 'jobs hiring near lineville al')",jobs hiring in lineville alabama,jobs hiring near lineville al,3,1,google,2025-10-28 18:17:15.044082,,jobs in ashland alabama
17,jobs in ashland alabama,"(""mcdonald's jobs in ashland al"", ""mcdonald's in ashland alabama"")",mcdonald's jobs in ashland al,mcdonald's in ashland alabama,1,1,google,2025-10-28 18:17:16.442397,,jobs in ashland alabama
18,jobs in ashland alabama,"(""mcdonald's jobs in ashland al"", ""mcdonald's ashland al"")",mcdonald's jobs in ashland al,mcdonald's ashland al,2,1,google,2025-10-28 18:17:16.442397,,jobs in ashland alabama
19,jobs in ashland alabama,"(""mcdonald's jobs in ashland al"", ""mcdonald's in ashland kentucky"")",mcdonald's jobs in ashland al,mcdonald's in ashland kentucky,3,1,google,2025-10-28 18:17:16.442397,,jobs in ashland alabama
20,jobs in ashland alabama,"(""mcdonald's jobs in ashland al"", ""mcdonald's in ashland ohio"")",mcdonald's jobs in ashland al,mcdonald's in ashland ohio,4,1,google,2025-10-28 18:17:16.442397,,jobs in ashland alabama
21,jobs in ashland alabama,"('jobs in ashland al', 'jobs in lineville al')",jobs in ashland al,jobs in lineville al,1,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
22,jobs in ashland alabama,"('jobs in ashland al', 'jobs hiring in ashland alabama')",jobs in ashland al,jobs hiring in ashland alabama,2,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
23,jobs in ashland alabama,"('jobs in ashland al', ""mcdonald's jobs in ashland al"")",jobs in ashland al,mcdonald's jobs in ashland al,3,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
24,jobs in ashland alabama,"('jobs in ashland al', 'jobs hiring in lineville alabama')",jobs in ashland al,jobs hiring in lineville alabama,4,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
25,jobs in ashland alabama,"('jobs in ashland al', 'jobs in ashland alabama')",jobs in ashland al,jobs in ashland alabama,5,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
26,jobs in ashland alabama,"('jobs in ashland al', 'jobs in ashland county')",jobs in ashland al,jobs in ashland county,6,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
27,jobs in ashland alabama,"('jobs in ashland al', 'jobs in ashland kentucky')",jobs in ashland al,jobs in ashland kentucky,7,1,google,2025-10-28 18:17:17.660937,,jobs in ashland alabama
28,jobs in ashland alabama,"('jobs in ashland ms', 'jobs hiring in ashland ms')",jobs in ashland ms,jobs hiring in ashland ms,1,1,google,2025-10-28 18:17:18.654702,,jobs in ashland alabama
29,jobs in ashland alabama,"('jobs in ashland ms', 'jobs in ashland maine')",jobs in ashland ms,jobs in ashland maine,2,1,google,2025-10-28 18:17:18.654702,,jobs in ashland alabama
30,jobs in ashland alabama,"('jobs in ashland ms', 'jobs in ashland alabama')",jobs in ashland ms,jobs in ashland alabama,3,1,google,2025-10-28 18:17:18.654702,,jobs in ashland alabama
31,jobs in ashland alabama,"('jobs in ashland ms', 'jobs in ashland al')",jobs in ashland ms,jobs in ashland al,4,1,google,2025-10-28 18:17:18.654702,,jobs in ashland alabama
32,jobs in ashland alabama,"('jobs in lineville al', 'jobs hiring in lineville alabama')",jobs in lineville al,jobs hiring in lineville alabama,1,2,google,2025-10-28 18:17:20.117093,jobs in ashland alabama jobs in ashland alabama jobs in ashland alabama,jobs in lineville alabama jobs hiring in lineville alabama jobs in ashland al
33,jobs in ashland alabama,"('jobs in lineville al', 'jobs at jacks in lineville al')",jobs in lineville al,jobs at jacks in lineville al,2,2,google,2025-10-28 18:17:20.117093,jobs in ashland alabama jobs in ashland alabama jobs in ashland alabama,jobs in lineville alabama jobs hiring in lineville alabama jobs in ashland al
34,jobs in ashland alabama,"('jobs in lineville al', 'jobs in lineville alabama')",jobs in lineville al,jobs in lineville alabama,3,2,google,2025-10-28 18:17:20.117093,jobs in ashland alabama jobs in ashland alabama jobs in ashland alabama,jobs in lineville alabama jobs hiring in lineville alabama jobs in ashland al
