,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ashville alabama,"('jobs in ashville alabama', 'jobs hiring in ashville al')",jobs in ashville alabama,jobs hiring in ashville al,1,0,google,2025-10-28 18:18:45.561276,,
1,jobs in ashville alabama,"('jobs in ashville alabama', 'jobs in ashville al')",jobs in ashville alabama,jobs in ashville al,2,0,google,2025-10-28 18:18:45.561276,,
2,jobs in ashville alabama,"('jobs hiring in ashville al', 'jobs hiring in springville al')",jobs hiring in ashville al,jobs hiring in springville al,1,1,google,2025-10-28 18:18:46.625507,,jobs in ashville alabama
3,jobs in ashville alabama,"('jobs hiring in ashville al', 'jobs near ashville al')",jobs hiring in ashville al,jobs near ashville al,2,1,google,2025-10-28 18:18:46.625507,,jobs in ashville alabama
4,jobs in ashville alabama,"('jobs hiring in ashville al', 'jobs near springville al')",jobs hiring in ashville al,jobs near springville al,3,1,google,2025-10-28 18:18:46.625507,,jobs in ashville alabama
5,jobs in ashville alabama,"('jobs hiring in ashville al', 'jobs hiring in ashville ohio')",jobs hiring in ashville al,jobs hiring in ashville ohio,4,1,google,2025-10-28 18:18:46.625507,,jobs in ashville alabama
6,jobs in ashville alabama,"('jobs hiring in ashville al', 'jobs hiring in ashland alabama')",jobs hiring in ashville al,jobs hiring in ashland alabama,5,1,google,2025-10-28 18:18:46.625507,,jobs in ashville alabama
7,jobs in ashville alabama,"('jobs in ashville al', 'jobs in springville al')",jobs in ashville al,jobs in springville al,1,1,google,2025-10-28 18:18:48.015151,,jobs in ashville alabama
8,jobs in ashville alabama,"('jobs in ashville al', 'jobs hiring in ashville al')",jobs in ashville al,jobs hiring in ashville al,2,1,google,2025-10-28 18:18:48.015151,,jobs in ashville alabama
9,jobs in ashville alabama,"('jobs in ashville al', 'part time jobs in ashville al')",jobs in ashville al,part time jobs in ashville al,3,1,google,2025-10-28 18:18:48.015151,,jobs in ashville alabama
10,jobs in ashville alabama,"('jobs in ashville al', 'jobs hiring in springville al')",jobs in ashville al,jobs hiring in springville al,4,1,google,2025-10-28 18:18:48.015151,,jobs in ashville alabama
11,jobs in ashville alabama,"('jobs in ashville al', 'asheville tourists jobs')",jobs in ashville al,asheville tourists jobs,5,1,google,2025-10-28 18:18:48.015151,,jobs in ashville alabama
