,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in atmore alabama,"('jobs in atmore alabama', 'jobs in atmore al no degree')",jobs in atmore alabama,jobs in atmore al no degree,1,0,google,2025-10-28 18:23:30.791059,,
1,jobs in atmore alabama,"('jobs in atmore alabama', 'jobs hiring in atmore alabama')",jobs in atmore alabama,jobs hiring in atmore alabama,2,0,google,2025-10-28 18:23:30.791059,,
2,jobs in atmore alabama,"('jobs in atmore alabama', 'job openings in atmore alabama')",jobs in atmore alabama,job openings in atmore alabama,3,0,google,2025-10-28 18:23:30.791059,,
3,jobs in atmore alabama,"('jobs in atmore alabama', 'part time jobs in atmore alabama')",jobs in atmore alabama,part time jobs in atmore alabama,4,0,google,2025-10-28 18:23:30.791059,,
4,jobs in atmore alabama,"('jobs in atmore alabama', 'jobs indeed atmore alabama')",jobs in atmore alabama,jobs indeed atmore alabama,5,0,google,2025-10-28 18:23:30.791059,,
5,jobs in atmore alabama,"('jobs in atmore alabama', 'cna jobs in atmore al')",jobs in atmore alabama,cna jobs in atmore al,6,0,google,2025-10-28 18:23:30.791059,,
6,jobs in atmore alabama,"('jobs in atmore alabama', 'jobs in atmore')",jobs in atmore alabama,jobs in atmore,7,0,google,2025-10-28 18:23:30.791059,,
7,jobs in atmore alabama,"('jobs in atmore al no degree', 'jobs in atmore al')",jobs in atmore al no degree,jobs in atmore al,1,1,google,2025-10-28 18:23:31.785680,,jobs in atmore alabama
8,jobs in atmore alabama,"('jobs in atmore al no degree', 'jobs in atmore alabama')",jobs in atmore al no degree,jobs in atmore alabama,2,1,google,2025-10-28 18:23:31.785680,,jobs in atmore alabama
9,jobs in atmore alabama,"('jobs hiring in atmore alabama', 'job openings in atmore alabama')",jobs hiring in atmore alabama,job openings in atmore alabama,1,1,google,2025-10-28 18:23:32.648623,,jobs in atmore alabama
10,jobs in atmore alabama,"('jobs hiring in atmore alabama', 'jobs near atmore alabama')",jobs hiring in atmore alabama,jobs near atmore alabama,2,1,google,2025-10-28 18:23:32.648623,,jobs in atmore alabama
11,jobs in atmore alabama,"('jobs hiring in atmore alabama', 'jobs hiring near atmore al')",jobs hiring in atmore alabama,jobs hiring near atmore al,3,1,google,2025-10-28 18:23:32.648623,,jobs in atmore alabama
