,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in attalla alabama,"('jobs in attalla alabama', 'jobs hiring in attalla alabama')",jobs in attalla alabama,jobs hiring in attalla alabama,1,0,google,2025-10-28 18:25:51.260515,,
1,jobs in attalla alabama,"('jobs in attalla alabama', 'jobs in attalla al')",jobs in attalla alabama,jobs in attalla al,2,0,google,2025-10-28 18:25:51.260515,,
2,jobs in attalla alabama,"('jobs hiring in attalla alabama', 'jobs hiring near attalla al')",jobs hiring in attalla alabama,jobs hiring near attalla al,1,1,google,2025-10-28 18:25:52.602493,,jobs in attalla alabama
3,jobs in attalla alabama,"('jobs hiring in attalla alabama', 'jobs attalla al')",jobs hiring in attalla alabama,jobs attalla al,2,1,google,2025-10-28 18:25:52.602493,,jobs in attalla alabama
4,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al')",jobs in attalla al,jobs in gadsden al,1,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
5,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al no degree')",jobs in attalla al,jobs in gadsden al no degree,2,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
6,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al for 16 year olds')",jobs in attalla al,jobs in gadsden al for 16 year olds,3,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
7,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al remote')",jobs in attalla al,jobs in gadsden al remote,4,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
8,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al full time')",jobs in attalla al,jobs in gadsden al full time,5,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
9,jobs in attalla alabama,"('jobs in attalla al', 'jobs in gadsden al part time')",jobs in attalla al,jobs in gadsden al part time,6,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
10,jobs in attalla alabama,"('jobs in attalla al', 'jobs hiring in attalla al')",jobs in attalla al,jobs hiring in attalla al,7,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
11,jobs in attalla alabama,"('jobs in attalla al', 'jobs hiring in gadsden al')",jobs in attalla al,jobs hiring in gadsden al,8,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
12,jobs in attalla alabama,"('jobs in attalla al', 'rn jobs in gadsden al')",jobs in attalla al,rn jobs in gadsden al,9,1,google,2025-10-28 18:25:53.978848,,jobs in attalla alabama
13,jobs in attalla alabama,"('jobs hiring near attalla al', 'jobs hiring near gadsden al')",jobs hiring near attalla al,jobs hiring near gadsden al,1,2,google,2025-10-28 18:25:55.093956,jobs in attalla alabama,jobs hiring in attalla alabama
