,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in augusta arkansas,"('jobs in augusta arkansas', 'jobs hiring in augusta ar')",jobs in augusta arkansas,jobs hiring in augusta ar,1,0,google,2025-10-29 16:07:14.338850,,
1,jobs in augusta arkansas,"('jobs in augusta arkansas', 'what kind of jobs are in arkansas')",jobs in augusta arkansas,what kind of jobs are in arkansas,2,0,google,2025-10-29 16:07:14.338850,,
2,jobs in augusta arkansas,"('jobs in augusta arkansas', 'what jobs are in arkansas')",jobs in augusta arkansas,what jobs are in arkansas,3,0,google,2025-10-29 16:07:14.338850,,
3,jobs in augusta arkansas,"('jobs in augusta arkansas', 'jobs in augusta ar')",jobs in augusta arkansas,jobs in augusta ar,4,0,google,2025-10-29 16:07:14.338850,,
4,jobs in augusta arkansas,"('jobs in augusta arkansas', 'jobs in augusta county')",jobs in augusta arkansas,jobs in augusta county,5,0,google,2025-10-29 16:07:14.338850,,
5,jobs in augusta arkansas,"('jobs hiring in augusta ar', 'jobs near augusta ar')",jobs hiring in augusta ar,jobs near augusta ar,1,1,google,2025-10-29 16:07:15.325539,,jobs in augusta arkansas
6,jobs in augusta arkansas,"('jobs hiring in augusta ar', 'jobs that are hiring in augusta georgia')",jobs hiring in augusta ar,jobs that are hiring in augusta georgia,2,1,google,2025-10-29 16:07:15.325539,,jobs in augusta arkansas
7,jobs in augusta arkansas,"('jobs hiring in augusta ar', 'jobs hiring in augusta')",jobs hiring in augusta ar,jobs hiring in augusta,3,1,google,2025-10-29 16:07:15.325539,,jobs in augusta arkansas
8,jobs in augusta arkansas,"('jobs hiring in augusta ar', 'jobs hiring in augusta ga')",jobs hiring in augusta ar,jobs hiring in augusta ga,4,1,google,2025-10-29 16:07:15.325539,,jobs in augusta arkansas
9,jobs in augusta arkansas,"('jobs hiring in augusta ar', 'jobs hiring in augusta ga immediately')",jobs hiring in augusta ar,jobs hiring in augusta ga immediately,5,1,google,2025-10-29 16:07:15.325539,,jobs in augusta arkansas
10,jobs in augusta arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-29 16:07:16.438235,,jobs in augusta arkansas
11,jobs in augusta arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-29 16:07:16.438235,,jobs in augusta arkansas
12,jobs in augusta arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-29 16:07:16.438235,,jobs in augusta arkansas
13,jobs in augusta arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-29 16:07:16.438235,,jobs in augusta arkansas
14,jobs in augusta arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-29 16:07:16.438235,,jobs in augusta arkansas
15,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
16,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 15')",what jobs are in arkansas,what jobs in arkansas hire at 15,2,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
17,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 14')",what jobs are in arkansas,what jobs in arkansas hire at 14,3,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
18,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs are in hot springs arkansas')",what jobs are in arkansas,what jobs are in hot springs arkansas,4,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
19,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs are in little rock arkansas')",what jobs are in arkansas,what jobs are in little rock arkansas,5,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
20,jobs in augusta arkansas,"('what jobs are in arkansas', 'what jobs hire felons in arkansas')",what jobs are in arkansas,what jobs hire felons in arkansas,6,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
21,jobs in augusta arkansas,"('what jobs are in arkansas', 'what are the best jobs in arkansas')",what jobs are in arkansas,what are the best jobs in arkansas,7,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
22,jobs in augusta arkansas,"('what jobs are in arkansas', 'what are high paying jobs in arkansas')",what jobs are in arkansas,what are high paying jobs in arkansas,8,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
23,jobs in augusta arkansas,"('what jobs are in arkansas', 'what are the highest paying jobs in arkansas')",what jobs are in arkansas,what are the highest paying jobs in arkansas,9,1,google,2025-10-29 16:07:17.652071,,jobs in augusta arkansas
24,jobs in augusta arkansas,"('jobs in augusta ar', 'jobs in augusta area')",jobs in augusta ar,jobs in augusta area,1,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
25,jobs in augusta arkansas,"('jobs in augusta ar', 'jobs in augusta georgia area')",jobs in augusta ar,jobs in augusta georgia area,2,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
26,jobs in augusta arkansas,"('jobs in augusta ar', 'jobs in augusta maine area')",jobs in augusta ar,jobs in augusta maine area,3,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
27,jobs in augusta arkansas,"('jobs in augusta ar', 'jobs hiring in augusta ar')",jobs in augusta ar,jobs hiring in augusta ar,4,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
28,jobs in augusta arkansas,"('jobs in augusta ar', 'art jobs in augusta ga')",jobs in augusta ar,art jobs in augusta ga,5,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
29,jobs in augusta arkansas,"('jobs in augusta ar', 'part time jobs in augusta maine area')",jobs in augusta ar,part time jobs in augusta maine area,6,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
30,jobs in augusta arkansas,"('jobs in augusta ar', 'truck driving jobs in augusta georgia area')",jobs in augusta ar,truck driving jobs in augusta georgia area,7,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
31,jobs in augusta arkansas,"('jobs in augusta ar', 'are there jobs in augusta ga')",jobs in augusta ar,are there jobs in augusta ga,8,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
32,jobs in augusta arkansas,"('jobs in augusta ar', 'jobs that are hiring in augusta georgia')",jobs in augusta ar,jobs that are hiring in augusta georgia,9,1,google,2025-10-29 16:07:19.073987,,jobs in augusta arkansas
33,jobs in augusta arkansas,"('jobs in augusta county', 'jobs in augusta county va')",jobs in augusta county,jobs in augusta county va,1,1,google,2025-10-29 16:07:20.406783,,jobs in augusta arkansas
34,jobs in augusta arkansas,"('jobs in augusta county', 'jobs in augusta county schools')",jobs in augusta county,jobs in augusta county schools,2,1,google,2025-10-29 16:07:20.406783,,jobs in augusta arkansas
35,jobs in augusta arkansas,"('jobs in augusta county', 'jobs hiring in augusta county va')",jobs in augusta county,jobs hiring in augusta county va,3,1,google,2025-10-29 16:07:20.406783,,jobs in augusta arkansas
