,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in axis alabama,"('jobs in axis alabama', 'plant jobs in axis al')",jobs in axis alabama,plant jobs in axis al,1,0,google,2025-10-28 18:30:40.782618,,
1,jobs in axis alabama,"('jobs in axis alabama', 'accounting jobs in axis al')",jobs in axis alabama,accounting jobs in axis al,2,0,google,2025-10-28 18:30:40.782618,,
2,jobs in axis alabama,"('jobs in axis alabama', 'jobs in axis al')",jobs in axis alabama,jobs in axis al,3,0,google,2025-10-28 18:30:40.782618,,
3,jobs in axis alabama,"('plant jobs in axis al', 'what is plant axis')",plant jobs in axis al,what is plant axis,1,1,google,2025-10-28 18:30:42.103082,,jobs in axis alabama
4,jobs in axis alabama,"('plant jobs in axis al', 'plants in axis alabama')",plant jobs in axis al,plants in axis alabama,2,1,google,2025-10-28 18:30:42.103082,,jobs in axis alabama
5,jobs in axis alabama,"('plant jobs in axis al', 'plants in axis al')",plant jobs in axis al,plants in axis al,3,1,google,2025-10-28 18:30:42.103082,,jobs in axis alabama
6,jobs in axis alabama,"('plant jobs in axis al', 'plant jobs in alexandria la')",plant jobs in axis al,plant jobs in alexandria la,4,1,google,2025-10-28 18:30:42.103082,,jobs in axis alabama
7,jobs in axis alabama,"('plant jobs in axis al', 'plant jobs in auburn al')",plant jobs in axis al,plant jobs in auburn al,5,1,google,2025-10-28 18:30:42.103082,,jobs in axis alabama
8,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in axis al in the last 3 days')",accounting jobs in axis al,accounting jobs in axis al in the last 3 days,1,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
9,jobs in axis alabama,"('accounting jobs in axis al', 'axis academy jobs')",accounting jobs in axis al,axis academy jobs,2,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
10,jobs in axis alabama,"('accounting jobs in axis al', 'sage 50 accounting jobs')",accounting jobs in axis al,sage 50 accounting jobs,3,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
11,jobs in axis alabama,"('accounting jobs in axis al', 'aa in accounting jobs')",accounting jobs in axis al,aa in accounting jobs,4,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
12,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in alaska')",accounting jobs in axis al,accounting jobs in alaska,5,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
13,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in alice tx')",accounting jobs in axis al,accounting jobs in alice tx,6,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
14,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in altoona pa')",accounting jobs in axis al,accounting jobs in altoona pa,7,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
15,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in alexander city al')",accounting jobs in axis al,accounting jobs in alexander city al,8,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
16,jobs in axis alabama,"('accounting jobs in axis al', 'accounting jobs in alexandria la')",accounting jobs in axis al,accounting jobs in alexandria la,9,1,google,2025-10-28 18:30:43.153758,,jobs in axis alabama
17,jobs in axis alabama,"('jobs in axis al', 'plant jobs in axis al')",jobs in axis al,plant jobs in axis al,1,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
18,jobs in axis alabama,"('jobs in axis al', 'accounting jobs in axis al')",jobs in axis al,accounting jobs in axis al,2,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
19,jobs in axis alabama,"('jobs in axis al', 'jobs hiring axis al')",jobs in axis al,jobs hiring axis al,3,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
20,jobs in axis alabama,"('jobs in axis al', 'axis bank jobs in aligarh')",jobs in axis al,axis bank jobs in aligarh,4,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
21,jobs in axis alabama,"('jobs in axis al', 'axis bank jobs in allahabad')",jobs in axis al,axis bank jobs in allahabad,5,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
22,jobs in axis alabama,"('jobs in axis al', 'axis bank jobs in alwar')",jobs in axis al,axis bank jobs in alwar,6,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
23,jobs in axis alabama,"('jobs in axis al', 'axis academy jobs')",jobs in axis al,axis academy jobs,7,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
24,jobs in axis alabama,"('jobs in axis al', 'how to get job in axis bank')",jobs in axis al,how to get job in axis bank,8,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
25,jobs in axis alabama,"('jobs in axis al', 'axis alabama jobs')",jobs in axis al,axis alabama jobs,9,1,google,2025-10-28 18:30:44.420831,,jobs in axis alabama
26,jobs in axis alabama,"('what is plant axis', 'what is mother axis in plant')",what is plant axis,what is mother axis in plant,1,2,google,2025-10-28 18:30:45.340368,jobs in axis alabama,plant jobs in axis al
27,jobs in axis alabama,"('what is plant axis', 'what is a planet’s axis')",what is plant axis,what is a planet’s axis,2,2,google,2025-10-28 18:30:45.340368,jobs in axis alabama,plant jobs in axis al
28,jobs in axis alabama,"('what is plant axis', ""what is a planet's axis"")",what is plant axis,what is a planet's axis,3,2,google,2025-10-28 18:30:45.340368,jobs in axis alabama,plant jobs in axis al
29,jobs in axis alabama,"('what is plant axis', 'plant axis meaning')",what is plant axis,plant axis meaning,4,2,google,2025-10-28 18:30:45.340368,jobs in axis alabama,plant jobs in axis al
30,jobs in axis alabama,"('plants in axis alabama', 'chemical plants in axis alabama')",plants in axis alabama,chemical plants in axis alabama,1,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
31,jobs in axis alabama,"('plants in axis alabama', 'plants that grow well in alabama')",plants in axis alabama,plants that grow well in alabama,2,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
32,jobs in axis alabama,"('plants in axis alabama', 'what can i plant in september in alabama')",plants in axis alabama,what can i plant in september in alabama,3,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
33,jobs in axis alabama,"('plants in axis alabama', 'what flowers to plant in september in alabama')",plants in axis alabama,what flowers to plant in september in alabama,4,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
34,jobs in axis alabama,"('plants in axis alabama', 'plants in axis al')",plants in axis alabama,plants in axis al,5,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
35,jobs in axis alabama,"('plants in axis alabama', 'plants in alabama')",plants in axis alabama,plants in alabama,6,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
36,jobs in axis alabama,"('plants in axis alabama', 'plants in arab al')",plants in axis alabama,plants in arab al,7,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
37,jobs in axis alabama,"('plants in axis alabama', 'plants in auburn alabama')",plants in axis alabama,plants in auburn alabama,8,2,google,2025-10-28 18:30:46.226815,jobs in axis alabama,plant jobs in axis al
