,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'jobs hiring in bald knob ar')",jobs in bald knob arkansas,jobs hiring in bald knob ar,1,0,google,2025-10-29 16:10:39.113021,,
1,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'jobs near bald knob ar')",jobs in bald knob arkansas,jobs near bald knob ar,2,0,google,2025-10-29 16:10:39.113021,,
2,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'bald knob jobs')",jobs in bald knob arkansas,bald knob jobs,3,0,google,2025-10-29 16:10:39.113021,,
3,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'bald knob arkansas from my location')",jobs in bald knob arkansas,bald knob arkansas from my location,4,0,google,2025-10-29 16:10:39.113021,,
4,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'things to do in bald knob arkansas')",jobs in bald knob arkansas,things to do in bald knob arkansas,5,0,google,2025-10-29 16:10:39.113021,,
5,jobs in bald knob arkansas,"('jobs in bald knob arkansas', 'bald knob arkansas population')",jobs in bald knob arkansas,bald knob arkansas population,6,0,google,2025-10-29 16:10:39.113021,,
6,jobs in bald knob arkansas,"('jobs hiring in bald knob ar', 'jobs near bald knob ar')",jobs hiring in bald knob ar,jobs near bald knob ar,1,1,google,2025-10-29 16:10:40.223852,,jobs in bald knob arkansas
7,jobs in bald knob arkansas,"('jobs hiring in bald knob ar', 'bald knob jobs')",jobs hiring in bald knob ar,bald knob jobs,2,1,google,2025-10-29 16:10:40.223852,,jobs in bald knob arkansas
8,jobs in bald knob arkansas,"('jobs hiring in bald knob ar', 'jobs in bald knob arkansas')",jobs hiring in bald knob ar,jobs in bald knob arkansas,3,1,google,2025-10-29 16:10:40.223852,,jobs in bald knob arkansas
9,jobs in bald knob arkansas,"('jobs near bald knob ar', 'jobs hiring near bald knob ar')",jobs near bald knob ar,jobs hiring near bald knob ar,1,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
10,jobs in bald knob arkansas,"('jobs near bald knob ar', 'bald knob jobs')",jobs near bald knob ar,bald knob jobs,2,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
11,jobs in bald knob arkansas,"('jobs near bald knob ar', 'bald knob food places')",jobs near bald knob ar,bald knob food places,3,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
12,jobs in bald knob arkansas,"('jobs near bald knob ar', 'bald knob restaurants')",jobs near bald knob ar,bald knob restaurants,4,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
13,jobs in bald knob arkansas,"('jobs near bald knob ar', 'bald knob grocery stores')",jobs near bald knob ar,bald knob grocery stores,5,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
14,jobs in bald knob arkansas,"('jobs near bald knob ar', 'jobs in bald knob arkansas')",jobs near bald knob ar,jobs in bald knob arkansas,6,1,google,2025-10-29 16:10:41.428444,,jobs in bald knob arkansas
15,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob job openings')",bald knob jobs,bald knob job openings,1,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
16,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob ar jobs')",bald knob jobs,bald knob ar jobs,2,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
17,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob school jobs')",bald knob jobs,bald knob school jobs,3,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
18,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob school district jobs')",bald knob jobs,bald knob school district jobs,4,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
19,jobs in bald knob arkansas,"('bald knob jobs', 'city of bald knob jobs')",bald knob jobs,city of bald knob jobs,5,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
20,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob ar school district jobs')",bald knob jobs,bald knob ar school district jobs,6,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
21,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob restaurants')",bald knob jobs,bald knob restaurants,7,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
22,jobs in bald knob arkansas,"('bald knob jobs', 'bald knob school district job openings')",bald knob jobs,bald knob school district job openings,8,1,google,2025-10-29 16:10:42.322051,,jobs in bald knob arkansas
23,jobs in bald knob arkansas,"('bald knob arkansas from my location', 'directions to bald knob arkansas from my location')",bald knob arkansas from my location,directions to bald knob arkansas from my location,1,1,google,2025-10-29 16:10:43.777893,,jobs in bald knob arkansas
24,jobs in bald knob arkansas,"('bald knob arkansas from my location', 'bald knob arkansas population')",bald knob arkansas from my location,bald knob arkansas population,2,1,google,2025-10-29 16:10:43.777893,,jobs in bald knob arkansas
25,jobs in bald knob arkansas,"('bald knob arkansas from my location', 'bald knob arkansas crime rate')",bald knob arkansas from my location,bald knob arkansas crime rate,3,1,google,2025-10-29 16:10:43.777893,,jobs in bald knob arkansas
26,jobs in bald knob arkansas,"('bald knob arkansas from my location', 'bald knob arkansas map')",bald knob arkansas from my location,bald knob arkansas map,4,1,google,2025-10-29 16:10:43.777893,,jobs in bald knob arkansas
27,jobs in bald knob arkansas,"('bald knob arkansas from my location', 'bald knob arkansas name origin')",bald knob arkansas from my location,bald knob arkansas name origin,5,1,google,2025-10-29 16:10:43.777893,,jobs in bald knob arkansas
28,jobs in bald knob arkansas,"('things to do in bald knob arkansas', 'things to do in bald knob arkansas this weekend')",things to do in bald knob arkansas,things to do in bald knob arkansas this weekend,1,1,google,2025-10-29 16:10:44.590602,,jobs in bald knob arkansas
29,jobs in bald knob arkansas,"('things to do in bald knob arkansas', 'things to do near bald knob ar')",things to do in bald knob arkansas,things to do near bald knob ar,2,1,google,2025-10-29 16:10:44.590602,,jobs in bald knob arkansas
30,jobs in bald knob arkansas,"('things to do in bald knob arkansas', 'things to do in bald knob')",things to do in bald knob arkansas,things to do in bald knob,3,1,google,2025-10-29 16:10:44.590602,,jobs in bald knob arkansas
31,jobs in bald knob arkansas,"('things to do in bald knob arkansas', 'what to do in bald knob arkansas')",things to do in bald knob arkansas,what to do in bald knob arkansas,4,1,google,2025-10-29 16:10:44.590602,,jobs in bald knob arkansas
32,jobs in bald knob arkansas,"('bald knob arkansas population', 'bald knob arkansas crime rate')",bald knob arkansas population,bald knob arkansas crime rate,1,1,google,2025-10-29 16:10:46.023696,,jobs in bald knob arkansas
33,jobs in bald knob arkansas,"('bald knob arkansas population', 'bald knob arkansas from my location')",bald knob arkansas population,bald knob arkansas from my location,2,1,google,2025-10-29 16:10:46.023696,,jobs in bald knob arkansas
34,jobs in bald knob arkansas,"('bald knob arkansas population', 'bald knob population')",bald knob arkansas population,bald knob population,3,1,google,2025-10-29 16:10:46.023696,,jobs in bald knob arkansas
