,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in barling arkansas,"('jobs in barling arkansas', 'jobs hiring in barling arkansas')",jobs in barling arkansas,jobs hiring in barling arkansas,1,0,google,2025-10-29 16:12:09.550126,,
1,jobs in barling arkansas,"('jobs in barling arkansas', 'jobs in barling ar')",jobs in barling arkansas,jobs in barling ar,2,0,google,2025-10-29 16:12:09.550126,,
2,jobs in barling arkansas,"('jobs in barling arkansas', 'what jobs are in arkansas')",jobs in barling arkansas,what jobs are in arkansas,3,0,google,2025-10-29 16:12:09.550126,,
3,jobs in barling arkansas,"('jobs in barling arkansas', 'what kind of jobs are in arkansas')",jobs in barling arkansas,what kind of jobs are in arkansas,4,0,google,2025-10-29 16:12:09.550126,,
4,jobs in barling arkansas,"('jobs in barling arkansas', 'electrical jobs in arkansas')",jobs in barling arkansas,electrical jobs in arkansas,5,0,google,2025-10-29 16:12:09.550126,,
5,jobs in barling arkansas,"('jobs in barling arkansas', 'jobs hiring in barling ar')",jobs in barling arkansas,jobs hiring in barling ar,6,0,google,2025-10-29 16:12:09.550126,,
6,jobs in barling arkansas,"('jobs in barling arkansas', 'barling arkansas population')",jobs in barling arkansas,barling arkansas population,7,0,google,2025-10-29 16:12:09.550126,,
7,jobs in barling arkansas,"('jobs in barling arkansas', 'jobs in bartlesville')",jobs in barling arkansas,jobs in bartlesville,8,0,google,2025-10-29 16:12:09.550126,,
8,jobs in barling arkansas,"('jobs hiring in barling arkansas', 'jobs hiring in barling ar')",jobs hiring in barling arkansas,jobs hiring in barling ar,1,1,google,2025-10-29 16:12:10.838287,,jobs in barling arkansas
9,jobs in barling arkansas,"('jobs hiring in barling arkansas', 'jobs in barling ar')",jobs hiring in barling arkansas,jobs in barling ar,2,1,google,2025-10-29 16:12:10.838287,,jobs in barling arkansas
10,jobs in barling arkansas,"('jobs hiring in barling arkansas', 'jobs hiring in batesville arkansas')",jobs hiring in barling arkansas,jobs hiring in batesville arkansas,3,1,google,2025-10-29 16:12:10.838287,,jobs in barling arkansas
11,jobs in barling arkansas,"('jobs hiring in barling arkansas', 'jobs hiring in batesville ar')",jobs hiring in barling arkansas,jobs hiring in batesville ar,4,1,google,2025-10-29 16:12:10.838287,,jobs in barling arkansas
12,jobs in barling arkansas,"('jobs hiring in barling arkansas', 'jobs hiring in bartlesville ok')",jobs hiring in barling arkansas,jobs hiring in bartlesville ok,5,1,google,2025-10-29 16:12:10.838287,,jobs in barling arkansas
13,jobs in barling arkansas,"('jobs in barling ar', 'jobs in barling arkansas')",jobs in barling ar,jobs in barling arkansas,1,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
14,jobs in barling arkansas,"('jobs in barling ar', 'jobs hiring in barling arkansas')",jobs in barling ar,jobs hiring in barling arkansas,2,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
15,jobs in barling arkansas,"('jobs in barling ar', 'jobs near barling ar')",jobs in barling ar,jobs near barling ar,3,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
16,jobs in barling arkansas,"('jobs in barling ar', 'jobs hiring in barling ar')",jobs in barling ar,jobs hiring in barling ar,4,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
17,jobs in barling arkansas,"('jobs in barling ar', 'jobs in barrington illinois')",jobs in barling ar,jobs in barrington illinois,5,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
18,jobs in barling arkansas,"('jobs in barling ar', 'jobs in barrington nj')",jobs in barling ar,jobs in barrington nj,6,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
19,jobs in barling arkansas,"('jobs in barling ar', 'jobs in barrington')",jobs in barling ar,jobs in barrington,7,1,google,2025-10-29 16:12:12.104057,,jobs in barling arkansas
20,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
21,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 15')",what jobs are in arkansas,what jobs in arkansas hire at 15,2,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
22,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 14')",what jobs are in arkansas,what jobs in arkansas hire at 14,3,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
23,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs are in hot springs arkansas')",what jobs are in arkansas,what jobs are in hot springs arkansas,4,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
24,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs are in little rock arkansas')",what jobs are in arkansas,what jobs are in little rock arkansas,5,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
25,jobs in barling arkansas,"('what jobs are in arkansas', 'what jobs hire felons in arkansas')",what jobs are in arkansas,what jobs hire felons in arkansas,6,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
26,jobs in barling arkansas,"('what jobs are in arkansas', 'what are the best jobs in arkansas')",what jobs are in arkansas,what are the best jobs in arkansas,7,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
27,jobs in barling arkansas,"('what jobs are in arkansas', 'what are high paying jobs in arkansas')",what jobs are in arkansas,what are high paying jobs in arkansas,8,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
28,jobs in barling arkansas,"('what jobs are in arkansas', 'what are the highest paying jobs in arkansas')",what jobs are in arkansas,what are the highest paying jobs in arkansas,9,1,google,2025-10-29 16:12:13.230966,,jobs in barling arkansas
29,jobs in barling arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-29 16:12:14.240196,,jobs in barling arkansas
30,jobs in barling arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-29 16:12:14.240196,,jobs in barling arkansas
31,jobs in barling arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-29 16:12:14.240196,,jobs in barling arkansas
32,jobs in barling arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-29 16:12:14.240196,,jobs in barling arkansas
33,jobs in barling arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-29 16:12:14.240196,,jobs in barling arkansas
34,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrician jobs in arkansas')",electrical jobs in arkansas,electrician jobs in arkansas,1,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
35,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical engineering jobs in arkansas')",electrical jobs in arkansas,electrical engineering jobs in arkansas,2,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
36,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical jobs in central arkansas')",electrical jobs in arkansas,electrical jobs in central arkansas,3,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
37,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical lineman jobs in arkansas')",electrical jobs in arkansas,electrical lineman jobs in arkansas,4,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
38,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical apprentice jobs in arkansas')",electrical jobs in arkansas,electrical apprentice jobs in arkansas,5,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
39,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical jobs in little rock arkansas')",electrical jobs in arkansas,electrical jobs in little rock arkansas,6,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
40,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrical jobs northwest arkansas')",electrical jobs in arkansas,electrical jobs northwest arkansas,7,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
41,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrician apprentice jobs in arkansas')",electrical jobs in arkansas,electrician apprentice jobs in arkansas,8,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
42,jobs in barling arkansas,"('electrical jobs in arkansas', 'electrician jobs in northwest arkansas')",electrical jobs in arkansas,electrician jobs in northwest arkansas,9,1,google,2025-10-29 16:12:15.491565,,jobs in barling arkansas
43,jobs in barling arkansas,"('jobs hiring in barling ar', 'jobs hiring in barling arkansas')",jobs hiring in barling ar,jobs hiring in barling arkansas,1,1,google,2025-10-29 16:12:16.283889,,jobs in barling arkansas
44,jobs in barling arkansas,"('jobs hiring in barling ar', 'jobs near barling ar')",jobs hiring in barling ar,jobs near barling ar,2,1,google,2025-10-29 16:12:16.283889,,jobs in barling arkansas
