,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'jobs in bella vista ar no degree')",jobs in bella vista arkansas,jobs in bella vista ar no degree,1,0,google,2025-10-29 16:28:46.994059,,
1,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'indeed jobs in bella vista arkansas')",jobs in bella vista arkansas,indeed jobs in bella vista arkansas,2,0,google,2025-10-29 16:28:46.994059,,
2,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'job openings in bella vista arkansas')",jobs in bella vista arkansas,job openings in bella vista arkansas,3,0,google,2025-10-29 16:28:46.994059,,
3,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'part time jobs in bella vista arkansas')",jobs in bella vista arkansas,part time jobs in bella vista arkansas,4,0,google,2025-10-29 16:28:46.994059,,
4,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'full time jobs in bella vista arkansas')",jobs in bella vista arkansas,full time jobs in bella vista arkansas,5,0,google,2025-10-29 16:28:46.994059,,
5,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'jobs hiring in bella vista ar')",jobs in bella vista arkansas,jobs hiring in bella vista ar,6,0,google,2025-10-29 16:28:46.994059,,
6,jobs in bella vista arkansas,"('jobs in bella vista arkansas', 'jobs in bella vista ar')",jobs in bella vista arkansas,jobs in bella vista ar,7,0,google,2025-10-29 16:28:46.994059,,
7,jobs in bella vista arkansas,"('jobs in bella vista ar no degree', 'jobs in bella vista ar')",jobs in bella vista ar no degree,jobs in bella vista ar,1,1,google,2025-10-29 16:28:48.353176,,jobs in bella vista arkansas
8,jobs in bella vista arkansas,"('jobs in bella vista ar no degree', 'jobs in bella vista arkansas')",jobs in bella vista ar no degree,jobs in bella vista arkansas,2,1,google,2025-10-29 16:28:48.353176,,jobs in bella vista arkansas
9,jobs in bella vista arkansas,"('indeed jobs in bella vista arkansas', 'indeed jobs bella vista ar part time')",indeed jobs in bella vista arkansas,indeed jobs bella vista ar part time,1,1,google,2025-10-29 16:28:49.697760,,jobs in bella vista arkansas
10,jobs in bella vista arkansas,"('indeed jobs in bella vista arkansas', 'indeed jobs bella vista ar')",indeed jobs in bella vista arkansas,indeed jobs bella vista ar,2,1,google,2025-10-29 16:28:49.697760,,jobs in bella vista arkansas
11,jobs in bella vista arkansas,"('indeed jobs in bella vista arkansas', 'indeed bella vista ar')",indeed jobs in bella vista arkansas,indeed bella vista ar,3,1,google,2025-10-29 16:28:49.697760,,jobs in bella vista arkansas
