,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in berry alabama,"('jobs in berry alabama', 'jobs in berry al')",jobs in berry alabama,jobs in berry al,1,0,google,2025-10-28 18:37:11.444459,,
1,jobs in berry alabama,"('jobs in berry alabama', 'wild berries in alabama')",jobs in berry alabama,wild berries in alabama,2,0,google,2025-10-28 18:37:11.444459,,
2,jobs in berry alabama,"('jobs in berry alabama', 'poisonous berries in alabama')",jobs in berry alabama,poisonous berries in alabama,3,0,google,2025-10-28 18:37:11.444459,,
3,jobs in berry alabama,"('jobs in berry alabama', 'jobs in berryville')",jobs in berry alabama,jobs in berryville,4,0,google,2025-10-28 18:37:11.444459,,
4,jobs in berry alabama,"('jobs in berry alabama', 'jobs in berryville arkansas')",jobs in berry alabama,jobs in berryville arkansas,5,0,google,2025-10-28 18:37:11.444459,,
5,jobs in berry alabama,"('jobs in berry alabama', 'jobs in berryville ar')",jobs in berry alabama,jobs in berryville ar,6,0,google,2025-10-28 18:37:11.444459,,
6,jobs in berry alabama,"('jobs in berry al', 'jobs in berry')",jobs in berry al,jobs in berry,1,1,google,2025-10-28 18:37:12.425307,,jobs in berry alabama
7,jobs in berry alabama,"('jobs in berry al', 'jobs in berry alabama')",jobs in berry al,jobs in berry alabama,2,1,google,2025-10-28 18:37:12.425307,,jobs in berry alabama
8,jobs in berry alabama,"('jobs in berry al', 'jobs in berryville')",jobs in berry al,jobs in berryville,3,1,google,2025-10-28 18:37:12.425307,,jobs in berry alabama
9,jobs in berry alabama,"('jobs in berry al', 'jobs in berryville arkansas')",jobs in berry al,jobs in berryville arkansas,4,1,google,2025-10-28 18:37:12.425307,,jobs in berry alabama
10,jobs in berry alabama,"('jobs in berry al', 'jobs in berryville ar')",jobs in berry al,jobs in berryville ar,5,1,google,2025-10-28 18:37:12.425307,,jobs in berry alabama
11,jobs in berry alabama,"('wild berries in alabama', 'wild blackberries in alabama')",wild berries in alabama,wild blackberries in alabama,1,1,google,2025-10-28 18:37:13.827083,,jobs in berry alabama
12,jobs in berry alabama,"('wild berries in alabama', 'wild blueberries in alabama')",wild berries in alabama,wild blueberries in alabama,2,1,google,2025-10-28 18:37:13.827083,,jobs in berry alabama
13,jobs in berry alabama,"('wild berries in alabama', 'edible berries in alabama')",wild berries in alabama,edible berries in alabama,3,1,google,2025-10-28 18:37:13.827083,,jobs in berry alabama
14,jobs in berry alabama,"('wild berries in alabama', 'wild fruits in alabama')",wild berries in alabama,wild fruits in alabama,4,1,google,2025-10-28 18:37:13.827083,,jobs in berry alabama
