,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in berryville arkansas,"('jobs in berryville arkansas', 'jobs in berryville ar remote')",jobs in berryville arkansas,jobs in berryville ar remote,1,0,google,2025-10-29 16:37:08.520851,,
1,jobs in berryville arkansas,"('jobs in berryville arkansas', 'jobs hiring in berryville arkansas')",jobs in berryville arkansas,jobs hiring in berryville arkansas,2,0,google,2025-10-29 16:37:08.520851,,
2,jobs in berryville arkansas,"('jobs in berryville arkansas', 'tyson jobs in berryville arkansas')",jobs in berryville arkansas,tyson jobs in berryville arkansas,3,0,google,2025-10-29 16:37:08.520851,,
3,jobs in berryville arkansas,"('jobs in berryville arkansas', 'jobs posted in berryville arkansas')",jobs in berryville arkansas,jobs posted in berryville arkansas,4,0,google,2025-10-29 16:37:08.520851,,
4,jobs in berryville arkansas,"('jobs in berryville arkansas', 'job openings in berryville arkansas')",jobs in berryville arkansas,job openings in berryville arkansas,5,0,google,2025-10-29 16:37:08.520851,,
5,jobs in berryville arkansas,"('jobs in berryville arkansas', 'part time jobs in berryville arkansas')",jobs in berryville arkansas,part time jobs in berryville arkansas,6,0,google,2025-10-29 16:37:08.520851,,
6,jobs in berryville arkansas,"('jobs in berryville arkansas', 'what kind of jobs are in arkansas')",jobs in berryville arkansas,what kind of jobs are in arkansas,7,0,google,2025-10-29 16:37:08.520851,,
7,jobs in berryville arkansas,"('jobs in berryville arkansas', 'what jobs are in arkansas')",jobs in berryville arkansas,what jobs are in arkansas,8,0,google,2025-10-29 16:37:08.520851,,
8,jobs in berryville arkansas,"('jobs in berryville arkansas', 'jobs in berryville ar')",jobs in berryville arkansas,jobs in berryville ar,9,0,google,2025-10-29 16:37:08.520851,,
9,jobs in berryville arkansas,"('jobs in berryville ar remote', 'jobs in berryville ar')",jobs in berryville ar remote,jobs in berryville ar,1,1,google,2025-10-29 16:37:09.338726,,jobs in berryville arkansas
10,jobs in berryville arkansas,"('jobs in berryville ar remote', 'jobs in berryville arkansas')",jobs in berryville ar remote,jobs in berryville arkansas,2,1,google,2025-10-29 16:37:09.338726,,jobs in berryville arkansas
11,jobs in berryville arkansas,"('jobs in berryville ar remote', 'jobs in berryville')",jobs in berryville ar remote,jobs in berryville,3,1,google,2025-10-29 16:37:09.338726,,jobs in berryville arkansas
12,jobs in berryville arkansas,"('jobs in berryville ar remote', 'jobs in berryville virginia')",jobs in berryville ar remote,jobs in berryville virginia,4,1,google,2025-10-29 16:37:09.338726,,jobs in berryville arkansas
13,jobs in berryville arkansas,"('jobs in berryville ar remote', 'jobs in berryville va')",jobs in berryville ar remote,jobs in berryville va,5,1,google,2025-10-29 16:37:09.338726,,jobs in berryville arkansas
14,jobs in berryville arkansas,"('jobs hiring in berryville arkansas', 'job openings in berryville arkansas')",jobs hiring in berryville arkansas,job openings in berryville arkansas,1,1,google,2025-10-29 16:37:10.644857,,jobs in berryville arkansas
15,jobs in berryville arkansas,"('jobs hiring in berryville arkansas', 'jobs near berryville arkansas')",jobs hiring in berryville arkansas,jobs near berryville arkansas,2,1,google,2025-10-29 16:37:10.644857,,jobs in berryville arkansas
16,jobs in berryville arkansas,"('jobs hiring in berryville arkansas', 'jobs hiring berryville ar')",jobs hiring in berryville arkansas,jobs hiring berryville ar,3,1,google,2025-10-29 16:37:10.644857,,jobs in berryville arkansas
17,jobs in berryville arkansas,"('jobs hiring in berryville arkansas', 'jobs in berryville ar')",jobs hiring in berryville arkansas,jobs in berryville ar,4,1,google,2025-10-29 16:37:10.644857,,jobs in berryville arkansas
18,jobs in berryville arkansas,"('tyson jobs in berryville arkansas', 'tyson jobs in arkansas')",tyson jobs in berryville arkansas,tyson jobs in arkansas,1,1,google,2025-10-29 16:37:11.847331,,jobs in berryville arkansas
19,jobs in berryville arkansas,"('tyson jobs in berryville arkansas', 'tyson berryville arkansas')",tyson jobs in berryville arkansas,tyson berryville arkansas,2,1,google,2025-10-29 16:37:11.847331,,jobs in berryville arkansas
20,jobs in berryville arkansas,"('tyson jobs in berryville arkansas', 'tysons berryville ar')",tyson jobs in berryville arkansas,tysons berryville ar,3,1,google,2025-10-29 16:37:11.847331,,jobs in berryville arkansas
21,jobs in berryville arkansas,"('jobs posted in berryville arkansas', 'jobs in berryville arkansas')",jobs posted in berryville arkansas,jobs in berryville arkansas,1,1,google,2025-10-29 16:37:12.788804,,jobs in berryville arkansas
22,jobs in berryville arkansas,"('jobs posted in berryville arkansas', 'what jobs are in arkansas')",jobs posted in berryville arkansas,what jobs are in arkansas,2,1,google,2025-10-29 16:37:12.788804,,jobs in berryville arkansas
23,jobs in berryville arkansas,"('jobs posted in berryville arkansas', 'what kind of jobs are in arkansas')",jobs posted in berryville arkansas,what kind of jobs are in arkansas,3,1,google,2025-10-29 16:37:12.788804,,jobs in berryville arkansas
24,jobs in berryville arkansas,"('jobs posted in berryville arkansas', 'jobs berryville ar')",jobs posted in berryville arkansas,jobs berryville ar,4,1,google,2025-10-29 16:37:12.788804,,jobs in berryville arkansas
