,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in bigelow arkansas,"('jobs in bigelow arkansas', 'jobs in bigelow ar')",jobs in bigelow arkansas,jobs in bigelow ar,1,0,google,2025-10-29 16:39:49.707707,,
1,jobs in bigelow arkansas,"('jobs in bigelow arkansas', 'bigelow arkansas county')",jobs in bigelow arkansas,bigelow arkansas county,2,0,google,2025-10-29 16:39:49.707707,,
2,jobs in bigelow arkansas,"('jobs in bigelow arkansas', 'jobs bigelow tea')",jobs in bigelow arkansas,jobs bigelow tea,3,0,google,2025-10-29 16:39:49.707707,,
3,jobs in bigelow arkansas,"('jobs in bigelow arkansas', 'bigelow school district jobs')",jobs in bigelow arkansas,bigelow school district jobs,4,0,google,2025-10-29 16:39:49.707707,,
4,jobs in bigelow arkansas,"('jobs in bigelow arkansas', 'bigelow arkansas')",jobs in bigelow arkansas,bigelow arkansas,5,0,google,2025-10-29 16:39:49.707707,,
5,jobs in bigelow arkansas,"('jobs in bigelow ar', 'jobs in bigelow arkansas')",jobs in bigelow ar,jobs in bigelow arkansas,1,1,google,2025-10-29 16:39:51.079286,,jobs in bigelow arkansas
6,jobs in bigelow arkansas,"('jobs in bigelow ar', 'bigelow tea jobs')",jobs in bigelow ar,bigelow tea jobs,2,1,google,2025-10-29 16:39:51.079286,,jobs in bigelow arkansas
7,jobs in bigelow arkansas,"('jobs in bigelow ar', 'bigelow jobs')",jobs in bigelow ar,bigelow jobs,3,1,google,2025-10-29 16:39:51.079286,,jobs in bigelow arkansas
8,jobs in bigelow arkansas,"('jobs in bigelow ar', 'bigelow job opportunities')",jobs in bigelow ar,bigelow job opportunities,4,1,google,2025-10-29 16:39:51.079286,,jobs in bigelow arkansas
9,jobs in bigelow arkansas,"('bigelow arkansas county', 'largest county in arkansas')",bigelow arkansas county,largest county in arkansas,1,1,google,2025-10-29 16:39:51.933996,,jobs in bigelow arkansas
10,jobs in bigelow arkansas,"('bigelow arkansas county', 'bigelow ar county')",bigelow arkansas county,bigelow ar county,2,1,google,2025-10-29 16:39:51.933996,,jobs in bigelow arkansas
11,jobs in bigelow arkansas,"('bigelow arkansas county', 'bigelow arkansas map')",bigelow arkansas county,bigelow arkansas map,3,1,google,2025-10-29 16:39:51.933996,,jobs in bigelow arkansas
12,jobs in bigelow arkansas,"('bigelow arkansas county', 'bigelow arkansas')",bigelow arkansas county,bigelow arkansas,4,1,google,2025-10-29 16:39:51.933996,,jobs in bigelow arkansas
13,jobs in bigelow arkansas,"('bigelow arkansas county', 'bigelow arkansas population')",bigelow arkansas county,bigelow arkansas population,5,1,google,2025-10-29 16:39:51.933996,,jobs in bigelow arkansas
14,jobs in bigelow arkansas,"('jobs bigelow tea', 'bigelow tea jobs ct')",jobs bigelow tea,bigelow tea jobs ct,1,1,google,2025-10-29 16:39:53.347861,,jobs in bigelow arkansas
15,jobs in bigelow arkansas,"('jobs bigelow tea', 'bigelow tea jobs louisville ky')",jobs bigelow tea,bigelow tea jobs louisville ky,2,1,google,2025-10-29 16:39:53.347861,,jobs in bigelow arkansas
