,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in blountsville alabama,"('jobs in blountsville alabama', 'jobs in blountsville al')",jobs in blountsville alabama,jobs in blountsville al,1,0,google,2025-10-28 18:49:23.300211,,
1,jobs in blountsville alabama,"('jobs in blountsville alabama', 'jobs in blount county alabama')",jobs in blountsville alabama,jobs in blount county alabama,2,0,google,2025-10-28 18:49:23.300211,,
2,jobs in blountsville alabama,"('jobs in blountsville alabama', 'jobs in blount county al')",jobs in blountsville alabama,jobs in blount county al,3,0,google,2025-10-28 18:49:23.300211,,
3,jobs in blountsville alabama,"('jobs in blountsville al', 'jobs hiring blountsville al')",jobs in blountsville al,jobs hiring blountsville al,1,1,google,2025-10-28 18:49:26.900818,,jobs in blountsville alabama
4,jobs in blountsville alabama,"('jobs in blountsville al', 'jobs in blount county alabama')",jobs in blountsville al,jobs in blount county alabama,2,1,google,2025-10-28 18:49:26.900818,,jobs in blountsville alabama
5,jobs in blountsville alabama,"('jobs in blountsville al', 'jobs in blount county al')",jobs in blountsville al,jobs in blount county al,3,1,google,2025-10-28 18:49:26.900818,,jobs in blountsville alabama
6,jobs in blountsville alabama,"('jobs in blount county alabama', 'part time jobs in blount county alabama')",jobs in blount county alabama,part time jobs in blount county alabama,1,1,google,2025-10-28 18:49:27.947910,,jobs in blountsville alabama
7,jobs in blountsville alabama,"('jobs in blount county alabama', 'full time jobs in blount county al')",jobs in blount county alabama,full time jobs in blount county al,2,1,google,2025-10-28 18:49:27.947910,,jobs in blountsville alabama
8,jobs in blountsville alabama,"('jobs in blount county alabama', 'places hiring in blount county al')",jobs in blount county alabama,places hiring in blount county al,3,1,google,2025-10-28 18:49:27.947910,,jobs in blountsville alabama
9,jobs in blountsville alabama,"('jobs in blount county alabama', 'jobs near blount county al')",jobs in blount county alabama,jobs near blount county al,4,1,google,2025-10-28 18:49:27.947910,,jobs in blountsville alabama
10,jobs in blountsville alabama,"('jobs in blount county alabama', 'jobs in blount county tn')",jobs in blount county alabama,jobs in blount county tn,5,1,google,2025-10-28 18:49:27.947910,,jobs in blountsville alabama
11,jobs in blountsville alabama,"('jobs in blount county al', 'jobs in blount county alabama')",jobs in blount county al,jobs in blount county alabama,1,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
12,jobs in blountsville alabama,"('jobs in blount county al', 'part time jobs in blount county al')",jobs in blount county al,part time jobs in blount county al,2,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
13,jobs in blountsville alabama,"('jobs in blount county al', 'full time jobs in blount county al')",jobs in blount county al,full time jobs in blount county al,3,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
14,jobs in blountsville alabama,"('jobs in blount county al', 'places hiring in blount county al')",jobs in blount county al,places hiring in blount county al,4,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
15,jobs in blountsville alabama,"('jobs in blount county al', 'jobs near blount county al')",jobs in blount county al,jobs near blount county al,5,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
16,jobs in blountsville alabama,"('jobs in blount county al', 'jobs in blount county tn')",jobs in blount county al,jobs in blount county tn,6,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
17,jobs in blountsville alabama,"('jobs in blount county al', 'jobs in blount county schools')",jobs in blount county al,jobs in blount county schools,7,1,google,2025-10-28 18:49:28.931032,,jobs in blountsville alabama
18,jobs in blountsville alabama,"('jobs hiring blountsville al', 'jobs hiring oneonta al')",jobs hiring blountsville al,jobs hiring oneonta al,1,2,google,2025-10-28 18:49:30.318078,jobs in blountsville alabama,jobs in blountsville al
19,jobs in blountsville alabama,"('jobs hiring blountsville al', 'jobs in blountsville al')",jobs hiring blountsville al,jobs in blountsville al,2,2,google,2025-10-28 18:49:30.318078,jobs in blountsville alabama,jobs in blountsville al
20,jobs in blountsville alabama,"('jobs hiring blountsville al', 'jobs in oneonta al')",jobs hiring blountsville al,jobs in oneonta al,3,2,google,2025-10-28 18:49:30.318078,jobs in blountsville alabama,jobs in blountsville al
21,jobs in blountsville alabama,"('jobs hiring blountsville al', 'jobs that hire felons in philadelphia')",jobs hiring blountsville al,jobs that hire felons in philadelphia,4,2,google,2025-10-28 18:49:30.318078,jobs in blountsville alabama,jobs in blountsville al
