,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'careers in blytheville arkansas')",jobs in blytheville arkansas,careers in blytheville arkansas,1,0,google,2025-10-29 16:42:03.400502,,
1,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'jobs in blytheville ar 72315')",jobs in blytheville arkansas,jobs in blytheville ar 72315,2,0,google,2025-10-29 16:42:03.400502,,
2,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'jobs hiring in blytheville arkansas')",jobs in blytheville arkansas,jobs hiring in blytheville arkansas,3,0,google,2025-10-29 16:42:03.400502,,
3,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'welding jobs in blytheville arkansas')",jobs in blytheville arkansas,welding jobs in blytheville arkansas,4,0,google,2025-10-29 16:42:03.400502,,
4,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'security jobs in blytheville arkansas')",jobs in blytheville arkansas,security jobs in blytheville arkansas,5,0,google,2025-10-29 16:42:03.400502,,
5,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'jobs blytheville arkansas no degree')",jobs in blytheville arkansas,jobs blytheville arkansas no degree,6,0,google,2025-10-29 16:42:03.400502,,
6,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'part time jobs in blytheville arkansas')",jobs in blytheville arkansas,part time jobs in blytheville arkansas,7,0,google,2025-10-29 16:42:03.400502,,
7,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'full time jobs in blytheville arkansas')",jobs in blytheville arkansas,full time jobs in blytheville arkansas,8,0,google,2025-10-29 16:42:03.400502,,
8,jobs in blytheville arkansas,"('jobs in blytheville arkansas', 'truck driving jobs in blytheville arkansas')",jobs in blytheville arkansas,truck driving jobs in blytheville arkansas,9,0,google,2025-10-29 16:42:03.400502,,
9,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'jobs in blytheville arkansas')",careers in blytheville arkansas,jobs in blytheville arkansas,1,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
10,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'jobs hiring in blytheville arkansas')",careers in blytheville arkansas,jobs hiring in blytheville arkansas,2,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
11,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'places hiring in blytheville arkansas')",careers in blytheville arkansas,places hiring in blytheville arkansas,3,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
12,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'welding jobs in blytheville arkansas')",careers in blytheville arkansas,welding jobs in blytheville arkansas,4,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
13,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'now hiring in blytheville arkansas')",careers in blytheville arkansas,now hiring in blytheville arkansas,5,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
14,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'security jobs in blytheville arkansas')",careers in blytheville arkansas,security jobs in blytheville arkansas,6,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
15,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'is blytheville arkansas safe')",careers in blytheville arkansas,is blytheville arkansas safe,7,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
16,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'blytheville arkansas crime rate')",careers in blytheville arkansas,blytheville arkansas crime rate,8,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
17,jobs in blytheville arkansas,"('careers in blytheville arkansas', 'blytheville city jobs')",careers in blytheville arkansas,blytheville city jobs,9,1,google,2025-10-29 16:42:04.361134,,jobs in blytheville arkansas
18,jobs in blytheville arkansas,"('jobs in blytheville ar 72315', 'jobs in blytheville arkansas')",jobs in blytheville ar 72315,jobs in blytheville arkansas,1,1,google,2025-10-29 16:42:05.206195,,jobs in blytheville arkansas
19,jobs in blytheville arkansas,"('jobs in blytheville ar 72315', 'jobs in blytheville ar')",jobs in blytheville ar 72315,jobs in blytheville ar,2,1,google,2025-10-29 16:42:05.206195,,jobs in blytheville arkansas
20,jobs in blytheville arkansas,"('jobs in blytheville ar 72315', 'jobs in blytheville')",jobs in blytheville ar 72315,jobs in blytheville,3,1,google,2025-10-29 16:42:05.206195,,jobs in blytheville arkansas
21,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'now hiring in blytheville arkansas')",jobs hiring in blytheville arkansas,now hiring in blytheville arkansas,1,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
22,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs available in blytheville ar')",jobs hiring in blytheville arkansas,jobs available in blytheville ar,2,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
23,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs near blytheville arkansas')",jobs hiring in blytheville arkansas,jobs near blytheville arkansas,3,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
24,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs hiring blytheville ar no experience needed')",jobs hiring in blytheville arkansas,jobs hiring blytheville ar no experience needed,4,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
25,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs hiring near blytheville ar')",jobs hiring in blytheville arkansas,jobs hiring near blytheville ar,5,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
26,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs hiring immediately blytheville ar')",jobs hiring in blytheville arkansas,jobs hiring immediately blytheville ar,6,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
27,jobs in blytheville arkansas,"('jobs hiring in blytheville arkansas', 'jobs hiring in blytheville')",jobs hiring in blytheville arkansas,jobs hiring in blytheville,7,1,google,2025-10-29 16:42:06.412634,,jobs in blytheville arkansas
28,jobs in blytheville arkansas,"('welding jobs in blytheville arkansas', 'welding jobs in arkansas')",welding jobs in blytheville arkansas,welding jobs in arkansas,1,1,google,2025-10-29 16:42:07.300655,,jobs in blytheville arkansas
