,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in booneville arkansas,"('jobs in booneville arkansas', 'jobs hiring in booneville arkansas')",jobs in booneville arkansas,jobs hiring in booneville arkansas,1,0,google,2025-10-29 16:46:14.167673,,
1,jobs in booneville arkansas,"('jobs in booneville arkansas', 'jobs in booneville ar')",jobs in booneville arkansas,jobs in booneville ar,2,0,google,2025-10-29 16:46:14.167673,,
2,jobs in booneville arkansas,"('jobs in booneville arkansas', 'jobs in boone county arkansas')",jobs in booneville arkansas,jobs in boone county arkansas,3,0,google,2025-10-29 16:46:14.167673,,
3,jobs in booneville arkansas,"('jobs hiring in booneville arkansas', 'jobs near booneville arkansas')",jobs hiring in booneville arkansas,jobs near booneville arkansas,1,1,google,2025-10-29 16:46:15.486131,,jobs in booneville arkansas
4,jobs in booneville arkansas,"('jobs hiring in booneville arkansas', 'jobs hiring near booneville ar')",jobs hiring in booneville arkansas,jobs hiring near booneville ar,2,1,google,2025-10-29 16:46:15.486131,,jobs in booneville arkansas
5,jobs in booneville arkansas,"('jobs hiring in booneville arkansas', 'jobs hiring in booneville')",jobs hiring in booneville arkansas,jobs hiring in booneville,3,1,google,2025-10-29 16:46:15.486131,,jobs in booneville arkansas
6,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs hiring in booneville ar')",jobs in booneville ar,jobs hiring in booneville ar,1,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
7,jobs in booneville arkansas,"('jobs in booneville ar', 'part time jobs in booneville ar')",jobs in booneville ar,part time jobs in booneville ar,2,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
8,jobs in booneville arkansas,"('jobs in booneville ar', 'full time jobs in booneville ar')",jobs in booneville ar,full time jobs in booneville ar,3,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
9,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs around booneville ms')",jobs in booneville ar,jobs around booneville ms,4,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
10,jobs in booneville arkansas,"('jobs in booneville ar', 'places hiring in booneville ar')",jobs in booneville ar,places hiring in booneville ar,5,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
11,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs in booneville arkansas')",jobs in booneville ar,jobs in booneville arkansas,6,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
12,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs in booneville')",jobs in booneville ar,jobs in booneville,7,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
13,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs in boone county arkansas')",jobs in booneville ar,jobs in boone county arkansas,8,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
14,jobs in booneville arkansas,"('jobs in booneville ar', 'jobs in booneville mississippi')",jobs in booneville ar,jobs in booneville mississippi,9,1,google,2025-10-29 16:46:16.794220,,jobs in booneville arkansas
15,jobs in booneville arkansas,"('jobs in boone county arkansas', 'jobs posted in boone county arkansas')",jobs in boone county arkansas,jobs posted in boone county arkansas,1,1,google,2025-10-29 16:46:18.178337,,jobs in booneville arkansas
16,jobs in booneville arkansas,"('jobs in boone county arkansas', 'jobs near boone county ar')",jobs in boone county arkansas,jobs near boone county ar,2,1,google,2025-10-29 16:46:18.178337,,jobs in booneville arkansas
17,jobs in booneville arkansas,"('jobs in boone county arkansas', 'jobs in booneville arkansas')",jobs in boone county arkansas,jobs in booneville arkansas,3,1,google,2025-10-29 16:46:18.178337,,jobs in booneville arkansas
18,jobs in booneville arkansas,"('jobs in boone county arkansas', 'jobs in boone county')",jobs in boone county arkansas,jobs in boone county,4,1,google,2025-10-29 16:46:18.178337,,jobs in booneville arkansas
19,jobs in booneville arkansas,"('jobs in boone county arkansas', 'jobs in booneville ar')",jobs in boone county arkansas,jobs in booneville ar,5,1,google,2025-10-29 16:46:18.178337,,jobs in booneville arkansas
20,jobs in booneville arkansas,"('jobs near booneville arkansas', 'jobs hiring in booneville arkansas')",jobs near booneville arkansas,jobs hiring in booneville arkansas,1,2,google,2025-10-29 16:46:19.111410,jobs in booneville arkansas,jobs hiring in booneville arkansas
21,jobs in booneville arkansas,"('jobs near booneville arkansas', 'jobs hiring near booneville ar')",jobs near booneville arkansas,jobs hiring near booneville ar,2,2,google,2025-10-29 16:46:19.111410,jobs in booneville arkansas,jobs hiring in booneville arkansas
22,jobs in booneville arkansas,"('jobs near booneville arkansas', 'jobs near booneville ar')",jobs near booneville arkansas,jobs near booneville ar,3,2,google,2025-10-29 16:46:19.111410,jobs in booneville arkansas,jobs hiring in booneville arkansas
23,jobs in booneville arkansas,"('jobs near booneville arkansas', 'jobs near booneville ky')",jobs near booneville arkansas,jobs near booneville ky,4,2,google,2025-10-29 16:46:19.111410,jobs in booneville arkansas,jobs hiring in booneville arkansas
24,jobs in booneville arkansas,"('jobs hiring near booneville ar', 'jobs near booneville ar')",jobs hiring near booneville ar,jobs near booneville ar,1,2,google,2025-10-29 16:46:19.887736,jobs in booneville arkansas,jobs hiring in booneville arkansas
25,jobs in booneville arkansas,"('jobs hiring near booneville ar', 'jobs hiring near booneville ms')",jobs hiring near booneville ar,jobs hiring near booneville ms,2,2,google,2025-10-29 16:46:19.887736,jobs in booneville arkansas,jobs hiring in booneville arkansas
26,jobs in booneville arkansas,"('jobs hiring near booneville ar', 'jobs hiring in booneville arkansas')",jobs hiring near booneville ar,jobs hiring in booneville arkansas,3,2,google,2025-10-29 16:46:19.887736,jobs in booneville arkansas,jobs hiring in booneville arkansas
27,jobs in booneville arkansas,"('jobs hiring in booneville', 'jobs hiring in booneville ms')",jobs hiring in booneville,jobs hiring in booneville ms,1,2,google,2025-10-29 16:46:21.206197,jobs in booneville arkansas,jobs hiring in booneville arkansas
28,jobs in booneville arkansas,"('jobs hiring in booneville', 'jobs hiring in booneville ar')",jobs hiring in booneville,jobs hiring in booneville ar,2,2,google,2025-10-29 16:46:21.206197,jobs in booneville arkansas,jobs hiring in booneville arkansas
29,jobs in booneville arkansas,"('jobs hiring in booneville', 'jobs hiring in booneville ky')",jobs hiring in booneville,jobs hiring in booneville ky,3,2,google,2025-10-29 16:46:21.206197,jobs in booneville arkansas,jobs hiring in booneville arkansas
