,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in branch arkansas,"('jobs in branch arkansas', 'jobs in bee branch arkansas')",jobs in branch arkansas,jobs in bee branch arkansas,1,0,google,2025-10-29 16:50:11.158799,,
1,jobs in branch arkansas,"('jobs in branch arkansas', 'what kind of jobs are in arkansas')",jobs in branch arkansas,what kind of jobs are in arkansas,2,0,google,2025-10-29 16:50:11.158799,,
2,jobs in branch arkansas,"('jobs in branch arkansas', 'what jobs are in arkansas')",jobs in branch arkansas,what jobs are in arkansas,3,0,google,2025-10-29 16:50:11.158799,,
3,jobs in branch arkansas,"('jobs in branch arkansas', 'electrical jobs in arkansas')",jobs in branch arkansas,electrical jobs in arkansas,4,0,google,2025-10-29 16:50:11.158799,,
4,jobs in branch arkansas,"('jobs in branch arkansas', 'jobs in branchville nj')",jobs in branch arkansas,jobs in branchville nj,5,0,google,2025-10-29 16:50:11.158799,,
5,jobs in branch arkansas,"('jobs in branch arkansas', 'jobs in branchburg nj')",jobs in branch arkansas,jobs in branchburg nj,6,0,google,2025-10-29 16:50:11.158799,,
6,jobs in branch arkansas,"('jobs in branch arkansas', 'jobs in bryant arkansas')",jobs in branch arkansas,jobs in bryant arkansas,7,0,google,2025-10-29 16:50:11.158799,,
7,jobs in branch arkansas,"('jobs in branch arkansas', 'jobs in bryant')",jobs in branch arkansas,jobs in bryant,8,0,google,2025-10-29 16:50:11.158799,,
8,jobs in branch arkansas,"('jobs in bee branch arkansas', 'jobs near bee branch ar')",jobs in bee branch arkansas,jobs near bee branch ar,1,1,google,2025-10-29 16:50:12.041767,,jobs in branch arkansas
9,jobs in branch arkansas,"('jobs in bee branch arkansas', 'jobs in beebe arkansas')",jobs in bee branch arkansas,jobs in beebe arkansas,2,1,google,2025-10-29 16:50:12.041767,,jobs in branch arkansas
10,jobs in branch arkansas,"('jobs in bee branch arkansas', 'jobs in beebe')",jobs in bee branch arkansas,jobs in beebe,3,1,google,2025-10-29 16:50:12.041767,,jobs in branch arkansas
