,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in brinkley arkansas,"('jobs in brinkley arkansas', 'indeed jobs in brinkley arkansas')",jobs in brinkley arkansas,indeed jobs in brinkley arkansas,1,0,google,2025-10-29 16:54:23.728071,,
1,jobs in brinkley arkansas,"('jobs in brinkley arkansas', 'jobs hiring in brinkley ar')",jobs in brinkley arkansas,jobs hiring in brinkley ar,2,0,google,2025-10-29 16:54:23.728071,,
2,jobs in brinkley arkansas,"('jobs in brinkley arkansas', 'jobs in brinkley ar')",jobs in brinkley arkansas,jobs in brinkley ar,3,0,google,2025-10-29 16:54:23.728071,,
3,jobs in brinkley arkansas,"('indeed jobs in brinkley arkansas', 'indeed jobs brinkley ar')",indeed jobs in brinkley arkansas,indeed jobs brinkley ar,1,1,google,2025-10-29 16:54:24.932277,,jobs in brinkley arkansas
4,jobs in brinkley arkansas,"('indeed jobs in brinkley arkansas', 'brinkley arkansas jobs')",indeed jobs in brinkley arkansas,brinkley arkansas jobs,2,1,google,2025-10-29 16:54:24.932277,,jobs in brinkley arkansas
5,jobs in brinkley arkansas,"('indeed jobs in brinkley arkansas', 'brinkley ar jobs')",indeed jobs in brinkley arkansas,brinkley ar jobs,3,1,google,2025-10-29 16:54:24.932277,,jobs in brinkley arkansas
6,jobs in brinkley arkansas,"('indeed jobs in brinkley arkansas', 'brinkley jobs')",indeed jobs in brinkley arkansas,brinkley jobs,4,1,google,2025-10-29 16:54:24.932277,,jobs in brinkley arkansas
7,jobs in brinkley arkansas,"('jobs hiring in brinkley ar', 'jobs near brinkley ar')",jobs hiring in brinkley ar,jobs near brinkley ar,1,1,google,2025-10-29 16:54:26.246107,,jobs in brinkley arkansas
8,jobs in brinkley arkansas,"('jobs hiring in brinkley ar', 'jobs in brinkley arkansas')",jobs hiring in brinkley ar,jobs in brinkley arkansas,2,1,google,2025-10-29 16:54:26.246107,,jobs in brinkley arkansas
9,jobs in brinkley arkansas,"('jobs in brinkley ar', 'jobs in brinkley arkansas')",jobs in brinkley ar,jobs in brinkley arkansas,1,1,google,2025-10-29 16:54:27.527003,,jobs in brinkley arkansas
10,jobs in brinkley arkansas,"('jobs in brinkley ar', 'jobs hiring in brinkley ar')",jobs in brinkley ar,jobs hiring in brinkley ar,2,1,google,2025-10-29 16:54:27.527003,,jobs in brinkley arkansas
11,jobs in brinkley arkansas,"('jobs in brinkley ar', 'indeed jobs in brinkley arkansas')",jobs in brinkley ar,indeed jobs in brinkley arkansas,3,1,google,2025-10-29 16:54:27.527003,,jobs in brinkley arkansas
12,jobs in brinkley arkansas,"('jobs in brinkley ar', 'part time jobs in brinkley ar')",jobs in brinkley ar,part time jobs in brinkley ar,4,1,google,2025-10-29 16:54:27.527003,,jobs in brinkley arkansas
13,jobs in brinkley arkansas,"('jobs in brinkley ar', 'jobs near brinkley ar')",jobs in brinkley ar,jobs near brinkley ar,5,1,google,2025-10-29 16:54:27.527003,,jobs in brinkley arkansas
14,jobs in brinkley arkansas,"('indeed jobs brinkley ar', 'brinkley ar jobs')",indeed jobs brinkley ar,brinkley ar jobs,1,2,google,2025-10-29 16:54:28.536001,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
15,jobs in brinkley arkansas,"('indeed jobs brinkley ar', 'indeed jobs brinks')",indeed jobs brinkley ar,indeed jobs brinks,2,2,google,2025-10-29 16:54:28.536001,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
16,jobs in brinkley arkansas,"('indeed jobs brinkley ar', 'brinkley jobs')",indeed jobs brinkley ar,brinkley jobs,3,2,google,2025-10-29 16:54:28.536001,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
17,jobs in brinkley arkansas,"('indeed jobs brinkley ar', 'brinkley arkansas jobs')",indeed jobs brinkley ar,brinkley arkansas jobs,4,2,google,2025-10-29 16:54:28.536001,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
18,jobs in brinkley arkansas,"('brinkley arkansas jobs', 'brinkley ar jobs')",brinkley arkansas jobs,brinkley ar jobs,1,2,google,2025-10-29 16:54:29.298721,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
19,jobs in brinkley arkansas,"('brinkley arkansas jobs', 'brinkley jobs')",brinkley arkansas jobs,brinkley jobs,2,2,google,2025-10-29 16:54:29.298721,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
20,jobs in brinkley arkansas,"('brinkley arkansas jobs', 'brinkley school district job openings')",brinkley arkansas jobs,brinkley school district job openings,3,2,google,2025-10-29 16:54:29.298721,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
21,jobs in brinkley arkansas,"('brinkley ar jobs', 'brinkley arkansas jobs')",brinkley ar jobs,brinkley arkansas jobs,1,2,google,2025-10-29 16:54:30.742777,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
22,jobs in brinkley arkansas,"('brinkley ar jobs', 'brinkley jobs')",brinkley ar jobs,brinkley jobs,2,2,google,2025-10-29 16:54:30.742777,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
23,jobs in brinkley arkansas,"('brinkley ar jobs', 'brinkley school district job openings')",brinkley ar jobs,brinkley school district job openings,3,2,google,2025-10-29 16:54:30.742777,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
24,jobs in brinkley arkansas,"('brinkley jobs', 'jobs brinkley ar')",brinkley jobs,jobs brinkley ar,1,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
25,jobs in brinkley arkansas,"('brinkley jobs', 'jobs brinkley rv')",brinkley jobs,jobs brinkley rv,2,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
26,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley aerospace jobs')",brinkley jobs,brinkley aerospace jobs,3,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
27,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley rv jobs salary')",brinkley jobs,brinkley rv jobs salary,4,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
28,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley rv jobs in the last 3 days')",brinkley jobs,brinkley rv jobs in the last 3 days,5,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
29,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley grove jobs')",brinkley jobs,brinkley grove jobs,6,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
30,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley rv jobs near me')",brinkley jobs,brinkley rv jobs near me,7,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
31,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley jobs hiring')",brinkley jobs,brinkley jobs hiring,8,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
32,jobs in brinkley arkansas,"('brinkley jobs', 'brinkley morgan jobs')",brinkley jobs,brinkley morgan jobs,9,2,google,2025-10-29 16:54:31.637195,jobs in brinkley arkansas,indeed jobs in brinkley arkansas
33,jobs in brinkley arkansas,"('jobs near brinkley ar', 'jobs hiring near brinkley ar')",jobs near brinkley ar,jobs hiring near brinkley ar,1,2,google,2025-10-29 16:54:32.856580,jobs in brinkley arkansas jobs in brinkley arkansas,jobs hiring in brinkley ar jobs in brinkley ar
34,jobs in brinkley arkansas,"('jobs near brinkley ar', 'jobs in brinkley arkansas')",jobs near brinkley ar,jobs in brinkley arkansas,2,2,google,2025-10-29 16:54:32.856580,jobs in brinkley arkansas jobs in brinkley arkansas,jobs hiring in brinkley ar jobs in brinkley ar
