,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas area')",jobs in brockwell arkansas,jobs in brockwell arkansas area,1,0,google,2025-10-29 16:54:52.053800,,
1,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas hiring')",jobs in brockwell arkansas,jobs in brockwell arkansas hiring,2,0,google,2025-10-29 16:54:52.053800,,
2,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas indeed')",jobs in brockwell arkansas,jobs in brockwell arkansas indeed,3,0,google,2025-10-29 16:54:52.053800,,
3,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas 2024')",jobs in brockwell arkansas,jobs in brockwell arkansas 2024,4,0,google,2025-10-29 16:54:52.053800,,
4,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas hiring now')",jobs in brockwell arkansas,jobs in brockwell arkansas hiring now,5,0,google,2025-10-29 16:54:52.053800,,
5,jobs in brockwell arkansas,"('jobs in brockwell arkansas', 'jobs in brockwell arkansas weather')",jobs in brockwell arkansas,jobs in brockwell arkansas weather,6,0,google,2025-10-29 16:54:52.053800,,
6,jobs in brockwell arkansas,"('jobs in brockwell arkansas area', 'jobs in brockwell arkansas area area')",jobs in brockwell arkansas area,jobs in brockwell arkansas area area,1,1,google,2025-10-29 16:54:53.450193,,jobs in brockwell arkansas
7,jobs in brockwell arkansas,"('jobs in brockwell arkansas area', 'jobs in brockwell arkansas area hiring')",jobs in brockwell arkansas area,jobs in brockwell arkansas area hiring,2,1,google,2025-10-29 16:54:53.450193,,jobs in brockwell arkansas
8,jobs in brockwell arkansas,"('jobs in brockwell arkansas area', 'jobs in brockwell arkansas area for 16 year olds')",jobs in brockwell arkansas area,jobs in brockwell arkansas area for 16 year olds,3,1,google,2025-10-29 16:54:53.450193,,jobs in brockwell arkansas
9,jobs in brockwell arkansas,"('jobs in brockwell arkansas area', 'jobs in brockwell arkansas area for teens')",jobs in brockwell arkansas area,jobs in brockwell arkansas area for teens,4,1,google,2025-10-29 16:54:53.450193,,jobs in brockwell arkansas
10,jobs in brockwell arkansas,"('jobs in brockwell arkansas area', 'jobs in brockwell arkansas area 2024')",jobs in brockwell arkansas area,jobs in brockwell arkansas area 2024,5,1,google,2025-10-29 16:54:53.450193,,jobs in brockwell arkansas
