,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in brookland arkansas,"('jobs in brookland arkansas', 'jobs hiring in brookland ar')",jobs in brookland arkansas,jobs hiring in brookland ar,1,0,google,2025-10-29 16:58:37.676200,,
1,jobs in brookland arkansas,"('jobs in brookland arkansas', 'jobs in brookland ar')",jobs in brookland arkansas,jobs in brookland ar,2,0,google,2025-10-29 16:58:37.676200,,
2,jobs in brookland arkansas,"('jobs hiring in brookland ar', 'jobs near brookland arkansas')",jobs hiring in brookland ar,jobs near brookland arkansas,1,1,google,2025-10-29 16:58:38.670543,,jobs in brookland arkansas
3,jobs in brookland arkansas,"('jobs hiring in brookland ar', 'jobs in brookland ar')",jobs hiring in brookland ar,jobs in brookland ar,2,1,google,2025-10-29 16:58:38.670543,,jobs in brookland arkansas
4,jobs in brookland arkansas,"('jobs hiring in brookland ar', 'jobs hiring in brookville pa')",jobs hiring in brookland ar,jobs hiring in brookville pa,3,1,google,2025-10-29 16:58:38.670543,,jobs in brookland arkansas
5,jobs in brookland arkansas,"('jobs hiring in brookland ar', 'jobs hiring in brookville indiana')",jobs hiring in brookland ar,jobs hiring in brookville indiana,4,1,google,2025-10-29 16:58:38.670543,,jobs in brookland arkansas
6,jobs in brookland arkansas,"('jobs hiring in brookland ar', 'jobs hiring in brookneal va')",jobs hiring in brookland ar,jobs hiring in brookneal va,5,1,google,2025-10-29 16:58:38.670543,,jobs in brookland arkansas
7,jobs in brookland arkansas,"('jobs in brookland ar', 'jobs hiring in brookland ar')",jobs in brookland ar,jobs hiring in brookland ar,1,1,google,2025-10-29 16:58:39.848734,,jobs in brookland arkansas
8,jobs in brookland arkansas,"('jobs in brookland ar', 'part time jobs in brookland ar')",jobs in brookland ar,part time jobs in brookland ar,2,1,google,2025-10-29 16:58:39.848734,,jobs in brookland arkansas
9,jobs in brookland arkansas,"('jobs in brookland ar', 'jobs near brookland arkansas')",jobs in brookland ar,jobs near brookland arkansas,3,1,google,2025-10-29 16:58:39.848734,,jobs in brookland arkansas
10,jobs in brookland arkansas,"('jobs in brookland ar', 'places hiring in brookland ar')",jobs in brookland ar,places hiring in brookland ar,4,1,google,2025-10-29 16:58:39.848734,,jobs in brookland arkansas
