,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in brookwood alabama,"('jobs in brookwood alabama', 'jobs hiring in brookwood alabama')",jobs in brookwood alabama,jobs hiring in brookwood alabama,1,0,google,2025-10-28 18:56:18.069603,,
1,jobs in brookwood alabama,"('jobs in brookwood alabama', 'jobs in brookwood al')",jobs in brookwood alabama,jobs in brookwood al,2,0,google,2025-10-28 18:56:18.069603,,
2,jobs in brookwood alabama,"('jobs in brookwood alabama', 'brookwood jobs birmingham')",jobs in brookwood alabama,brookwood jobs birmingham,3,0,google,2025-10-28 18:56:18.069603,,
3,jobs in brookwood alabama,"('jobs in brookwood alabama', 'jobs at brookwood hospital')",jobs in brookwood alabama,jobs at brookwood hospital,4,0,google,2025-10-28 18:56:18.069603,,
4,jobs in brookwood alabama,"('jobs hiring in brookwood alabama', 'jobs near brookwood alabama')",jobs hiring in brookwood alabama,jobs near brookwood alabama,1,1,google,2025-10-28 18:56:19.133983,,jobs in brookwood alabama
5,jobs in brookwood alabama,"('jobs hiring in brookwood alabama', 'jobs in brookwood al')",jobs hiring in brookwood alabama,jobs in brookwood al,2,1,google,2025-10-28 18:56:19.133983,,jobs in brookwood alabama
6,jobs in brookwood alabama,"('jobs hiring in brookwood alabama', 'brookwood jobs birmingham')",jobs hiring in brookwood alabama,brookwood jobs birmingham,3,1,google,2025-10-28 18:56:19.133983,,jobs in brookwood alabama
7,jobs in brookwood alabama,"('jobs hiring in brookwood alabama', 'brookwood hiring')",jobs hiring in brookwood alabama,brookwood hiring,4,1,google,2025-10-28 18:56:19.133983,,jobs in brookwood alabama
8,jobs in brookwood alabama,"('jobs hiring in brookwood alabama', 'jobs hiring in brewton')",jobs hiring in brookwood alabama,jobs hiring in brewton,5,1,google,2025-10-28 18:56:19.133983,,jobs in brookwood alabama
9,jobs in brookwood alabama,"('jobs in brookwood al', 'jobs hiring in brookwood alabama')",jobs in brookwood al,jobs hiring in brookwood alabama,1,1,google,2025-10-28 18:56:20.426377,,jobs in brookwood alabama
10,jobs in brookwood alabama,"('jobs in brookwood al', 'jobs at brookwood hospital')",jobs in brookwood al,jobs at brookwood hospital,2,1,google,2025-10-28 18:56:20.426377,,jobs in brookwood alabama
11,jobs in brookwood alabama,"('jobs in brookwood al', 'brookwood jobs birmingham')",jobs in brookwood al,brookwood jobs birmingham,3,1,google,2025-10-28 18:56:20.426377,,jobs in brookwood alabama
12,jobs in brookwood alabama,"('jobs in brookwood al', 'jobs in brookwood alabama')",jobs in brookwood al,jobs in brookwood alabama,4,1,google,2025-10-28 18:56:20.426377,,jobs in brookwood alabama
13,jobs in brookwood alabama,"('brookwood jobs birmingham', 'brookwood birmingham jobs')",brookwood jobs birmingham,brookwood birmingham jobs,1,1,google,2025-10-28 18:56:21.891514,,jobs in brookwood alabama
14,jobs in brookwood alabama,"('brookwood jobs birmingham', 'brookwood hospital jobs birmingham al')",brookwood jobs birmingham,brookwood hospital jobs birmingham al,2,1,google,2025-10-28 18:56:21.891514,,jobs in brookwood alabama
15,jobs in brookwood alabama,"('brookwood jobs birmingham', 'brookwood baptist jobs birmingham al')",brookwood jobs birmingham,brookwood baptist jobs birmingham al,3,1,google,2025-10-28 18:56:21.891514,,jobs in brookwood alabama
16,jobs in brookwood alabama,"('brookwood jobs birmingham', 'brookwood jobs')",brookwood jobs birmingham,brookwood jobs,4,1,google,2025-10-28 18:56:21.891514,,jobs in brookwood alabama
