,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in butler alabama,"('jobs in butler alabama', 'jobs in butler county alabama')",jobs in butler alabama,jobs in butler county alabama,1,0,google,2025-10-28 19:11:22.057989,,
1,jobs in butler alabama,"('jobs in butler alabama', 'ochsner jobs in butler al')",jobs in butler alabama,ochsner jobs in butler al,2,0,google,2025-10-28 19:11:22.057989,,
2,jobs in butler alabama,"('jobs in butler alabama', 'jobs hiring in butler al')",jobs in butler alabama,jobs hiring in butler al,3,0,google,2025-10-28 19:11:22.057989,,
3,jobs in butler alabama,"('jobs in butler alabama', 'jobs in butler al')",jobs in butler alabama,jobs in butler al,4,0,google,2025-10-28 19:11:22.057989,,
4,jobs in butler alabama,"('jobs in butler alabama', 'jobs in butler county al')",jobs in butler alabama,jobs in butler county al,5,0,google,2025-10-28 19:11:22.057989,,
5,jobs in butler alabama,"('jobs in butler alabama', 'jobs in butler ga')",jobs in butler alabama,jobs in butler ga,6,0,google,2025-10-28 19:11:22.057989,,
6,jobs in butler alabama,"('jobs in butler county alabama', 'jobs in butler county al')",jobs in butler county alabama,jobs in butler county al,1,1,google,2025-10-28 19:11:23.350442,,jobs in butler alabama
7,jobs in butler alabama,"('jobs in butler county alabama', 'jobs in butler alabama')",jobs in butler county alabama,jobs in butler alabama,2,1,google,2025-10-28 19:11:23.350442,,jobs in butler alabama
8,jobs in butler alabama,"('jobs in butler county alabama', 'jobs in butler county ky')",jobs in butler county alabama,jobs in butler county ky,3,1,google,2025-10-28 19:11:23.350442,,jobs in butler alabama
9,jobs in butler alabama,"('jobs in butler county alabama', 'jobs in butler county oh')",jobs in butler county alabama,jobs in butler county oh,4,1,google,2025-10-28 19:11:23.350442,,jobs in butler alabama
10,jobs in butler alabama,"('ochsner jobs in butler al', 'ochsner jobs in baton rouge')",ochsner jobs in butler al,ochsner jobs in baton rouge,1,1,google,2025-10-28 19:11:24.433373,,jobs in butler alabama
