,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in calico rock arkansas,"('jobs in calico rock arkansas', 'where is calico rock in arkansas')",jobs in calico rock arkansas,where is calico rock in arkansas,1,0,google,2025-10-29 17:11:02.299413,,
1,jobs in calico rock arkansas,"('jobs in calico rock arkansas', 'what gems can be found in arkansas')",jobs in calico rock arkansas,what gems can be found in arkansas,2,0,google,2025-10-29 17:11:02.299413,,
2,jobs in calico rock arkansas,"('jobs in calico rock arkansas', 'jobs in calico rock ar')",jobs in calico rock arkansas,jobs in calico rock ar,3,0,google,2025-10-29 17:11:02.299413,,
3,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock in arkansas near')",where is calico rock in arkansas,where is calico rock in arkansas near,1,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
4,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock in arkansas from my location')",where is calico rock in arkansas,where is calico rock in arkansas from my location,2,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
5,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock prison in arkansas')",where is calico rock in arkansas,where is calico rock prison in arkansas,3,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
6,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock arkansas on the map')",where is calico rock in arkansas,where is calico rock arkansas on the map,4,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
7,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock arkansas near by car')",where is calico rock in arkansas,where is calico rock arkansas near by car,5,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
8,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is calico rock arkansas on the map google')",where is calico rock in arkansas,where is calico rock arkansas on the map google,6,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
9,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'calico rock ar')",where is calico rock in arkansas,calico rock ar,7,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
10,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'where is the calico center in little rock arkansas')",where is calico rock in arkansas,where is the calico center in little rock arkansas,8,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
11,jobs in calico rock arkansas,"('where is calico rock in arkansas', 'directions to calico rock arkansas')",where is calico rock in arkansas,directions to calico rock arkansas,9,1,google,2025-10-29 17:11:03.179864,,jobs in calico rock arkansas
12,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what gemstones can be found in arkansas')",what gems can be found in arkansas,what gemstones can be found in arkansas,1,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
13,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what stones are found in arkansas')",what gems can be found in arkansas,what stones are found in arkansas,2,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
14,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what minerals are found in arkansas')",what gems can be found in arkansas,what minerals are found in arkansas,3,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
15,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'where can i dig for gems in arkansas')",what gems can be found in arkansas,where can i dig for gems in arkansas,4,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
16,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what gems are found in arkansas')",what gems can be found in arkansas,what gems are found in arkansas,5,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
17,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what gems can you find in arkansas')",what gems can be found in arkansas,what gems can you find in arkansas,6,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
18,jobs in calico rock arkansas,"('what gems can be found in arkansas', 'what gemstones are found in arkansas')",what gems can be found in arkansas,what gemstones are found in arkansas,7,1,google,2025-10-29 17:11:03.977194,,jobs in calico rock arkansas
19,jobs in calico rock arkansas,"('jobs in calico rock ar', 'jobs in calico rock arkansas')",jobs in calico rock ar,jobs in calico rock arkansas,1,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
20,jobs in calico rock arkansas,"('jobs in calico rock ar', 'jobs near calico rock ar')",jobs in calico rock ar,jobs near calico rock ar,2,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
21,jobs in calico rock arkansas,"('jobs in calico rock ar', 'rn jobs calico rock ar')",jobs in calico rock ar,rn jobs calico rock ar,3,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
22,jobs in calico rock arkansas,"('jobs in calico rock ar', 'calico rock jobs')",jobs in calico rock ar,calico rock jobs,4,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
23,jobs in calico rock arkansas,"('jobs in calico rock ar', 'jobs in calico')",jobs in calico rock ar,jobs in calico,5,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
24,jobs in calico rock arkansas,"('jobs in calico rock ar', 'calico lounge jobs')",jobs in calico rock ar,calico lounge jobs,6,1,google,2025-10-29 17:11:05.157301,,jobs in calico rock arkansas
25,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where is calico rock arkansas near by car')",where is calico rock in arkansas near,where is calico rock arkansas near by car,1,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
26,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'directions to calico rock arkansas')",where is calico rock in arkansas near,directions to calico rock arkansas,2,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
27,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where is turquoise found in arkansas')",where is calico rock in arkansas near,where is turquoise found in arkansas,3,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
28,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where to find opals in arkansas')",where is calico rock in arkansas near,where to find opals in arkansas,4,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
29,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where is calico rock arkansas located')",where is calico rock in arkansas near,where is calico rock arkansas located,5,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
30,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where is calico rock')",where is calico rock in arkansas near,where is calico rock,6,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
31,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'where is calico rock ar')",where is calico rock in arkansas near,where is calico rock ar,7,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
32,jobs in calico rock arkansas,"('where is calico rock in arkansas near', 'what is calico rock arkansas known for')",where is calico rock in arkansas near,what is calico rock arkansas known for,8,2,google,2025-10-29 17:11:06.290839,jobs in calico rock arkansas,where is calico rock in arkansas
33,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'how far is calico rock arkansas from my location')",where is calico rock in arkansas from my location,how far is calico rock arkansas from my location,1,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
34,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is calico rock in arkansas')",where is calico rock in arkansas from my location,where is calico rock in arkansas,2,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
35,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is arkansas located')",where is calico rock in arkansas from my location,where is arkansas located,3,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
36,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is imboden arkansas located')",where is calico rock in arkansas from my location,where is imboden arkansas located,4,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
37,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is turquoise found in arkansas')",where is calico rock in arkansas from my location,where is turquoise found in arkansas,5,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
38,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is calico rock')",where is calico rock in arkansas from my location,where is calico rock,6,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
39,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'where is calico rock ar')",where is calico rock in arkansas from my location,where is calico rock ar,7,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
40,jobs in calico rock arkansas,"('where is calico rock in arkansas from my location', 'what is calico rock arkansas known for')",where is calico rock in arkansas from my location,what is calico rock arkansas known for,8,2,google,2025-10-29 17:11:07.227564,jobs in calico rock arkansas,where is calico rock in arkansas
