,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in carlisle arkansas,"('jobs in carlisle arkansas', 'jobs hiring in carlisle arkansas')",jobs in carlisle arkansas,jobs hiring in carlisle arkansas,1,0,google,2025-10-29 17:16:13.642776,,
1,jobs in carlisle arkansas,"('jobs in carlisle arkansas', 'jobs in carlisle ar')",jobs in carlisle arkansas,jobs in carlisle ar,2,0,google,2025-10-29 17:16:13.642776,,
2,jobs in carlisle arkansas,"('jobs in carlisle arkansas', 'jobs in carlisle ky')",jobs in carlisle arkansas,jobs in carlisle ky,3,0,google,2025-10-29 17:16:13.642776,,
3,jobs in carlisle arkansas,"('jobs hiring in carlisle arkansas', 'jobs in carlisle arkansas')",jobs hiring in carlisle arkansas,jobs in carlisle arkansas,1,1,google,2025-10-29 17:16:14.633996,,jobs in carlisle arkansas
4,jobs in carlisle arkansas,"('jobs hiring in carlisle arkansas', 'jobs carlisle ar')",jobs hiring in carlisle arkansas,jobs carlisle ar,2,1,google,2025-10-29 17:16:14.633996,,jobs in carlisle arkansas
5,jobs in carlisle arkansas,"('jobs hiring in carlisle arkansas', 'jobs hiring in carlisle pa')",jobs hiring in carlisle arkansas,jobs hiring in carlisle pa,3,1,google,2025-10-29 17:16:14.633996,,jobs in carlisle arkansas
6,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs in carlisle area')",jobs in carlisle ar,jobs in carlisle area,1,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
7,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs hiring in carlisle arkansas')",jobs in carlisle ar,jobs hiring in carlisle arkansas,2,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
8,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs in carlisle pa area')",jobs in carlisle ar,jobs in carlisle pa area,3,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
9,jobs in carlisle arkansas,"('jobs in carlisle ar', 'job vacancies in carlisle area')",jobs in carlisle ar,job vacancies in carlisle area,4,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
10,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs in and around carlisle')",jobs in carlisle ar,jobs in and around carlisle,5,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
11,jobs in carlisle arkansas,"('jobs in carlisle ar', 'part time jobs in carlisle area')",jobs in carlisle ar,part time jobs in carlisle area,6,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
12,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs at carlisle area school district')",jobs in carlisle ar,jobs at carlisle area school district,7,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
13,jobs in carlisle arkansas,"('jobs in carlisle ar', 'jobs around carlisle pa')",jobs in carlisle ar,jobs around carlisle pa,8,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
14,jobs in carlisle arkansas,"('jobs in carlisle ar', 'careers in carlisle')",jobs in carlisle ar,careers in carlisle,9,1,google,2025-10-29 17:16:16.030559,,jobs in carlisle arkansas
15,jobs in carlisle arkansas,"('jobs in carlisle ky', 'jobs hiring in carlisle ky')",jobs in carlisle ky,jobs hiring in carlisle ky,1,1,google,2025-10-29 17:16:17.112822,,jobs in carlisle arkansas
16,jobs in carlisle arkansas,"('jobs in carlisle ky', 'jobs in carlisle county ky')",jobs in carlisle ky,jobs in carlisle county ky,2,1,google,2025-10-29 17:16:17.112822,,jobs in carlisle arkansas
17,jobs in carlisle arkansas,"('jobs in carlisle ky', 'careers in carlisle')",jobs in carlisle ky,careers in carlisle,3,1,google,2025-10-29 17:16:17.112822,,jobs in carlisle arkansas
18,jobs in carlisle arkansas,"('jobs in carlisle ky', 'carlisle it jobs')",jobs in carlisle ky,carlisle it jobs,4,1,google,2025-10-29 17:16:17.112822,,jobs in carlisle arkansas
19,jobs in carlisle arkansas,"('jobs in carlisle ky', 'jobs in carlisle ohio')",jobs in carlisle ky,jobs in carlisle ohio,5,1,google,2025-10-29 17:16:17.112822,,jobs in carlisle arkansas
20,jobs in carlisle arkansas,"('jobs carlisle ar', 'jobs carlisle area')",jobs carlisle ar,jobs carlisle area,1,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
21,jobs in carlisle arkansas,"('jobs carlisle ar', 'jobs around carlisle')",jobs carlisle ar,jobs around carlisle,2,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
22,jobs in carlisle arkansas,"('jobs carlisle ar', 'jobs around carlisle pa')",jobs carlisle ar,jobs around carlisle pa,3,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
23,jobs in carlisle arkansas,"('jobs carlisle ar', 'jobs at carlisle area school district')",jobs carlisle ar,jobs at carlisle area school district,4,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
24,jobs in carlisle arkansas,"('jobs carlisle ar', 'jobs hiring in carlisle arkansas')",jobs carlisle ar,jobs hiring in carlisle arkansas,5,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
25,jobs in carlisle arkansas,"('jobs carlisle ar', 'part time jobs in carlisle area')",jobs carlisle ar,part time jobs in carlisle area,6,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
26,jobs in carlisle arkansas,"('jobs carlisle ar', 'art jobs carlisle')",jobs carlisle ar,art jobs carlisle,7,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
27,jobs in carlisle arkansas,"('jobs carlisle ar', 'argos jobs carlisle')",jobs carlisle ar,argos jobs carlisle,8,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
28,jobs in carlisle arkansas,"('jobs carlisle ar', 'art jobs carlisle pa')",jobs carlisle ar,art jobs carlisle pa,9,2,google,2025-10-29 17:16:18.025942,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
29,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'now hiring in carlisle pa')",jobs hiring in carlisle pa,now hiring in carlisle pa,1,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
30,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'jobs available in carlisle pa')",jobs hiring in carlisle pa,jobs available in carlisle pa,2,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
31,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'job openings in carlisle pa')",jobs hiring in carlisle pa,job openings in carlisle pa,3,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
32,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'job openings in carlisle pa area')",jobs hiring in carlisle pa,job openings in carlisle pa area,4,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
33,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'jobs hiring carlisle pa full time')",jobs hiring in carlisle pa,jobs hiring carlisle pa full time,5,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
34,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'jobs hiring carlisle pa no degree')",jobs hiring in carlisle pa,jobs hiring carlisle pa no degree,6,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
35,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'part time jobs hiring in carlisle pa')",jobs hiring in carlisle pa,part time jobs hiring in carlisle pa,7,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
36,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'jobs hiring immediately carlisle pa')",jobs hiring in carlisle pa,jobs hiring immediately carlisle pa,8,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
37,jobs in carlisle arkansas,"('jobs hiring in carlisle pa', 'jobs near carlisle pa remote')",jobs hiring in carlisle pa,jobs near carlisle pa remote,9,2,google,2025-10-29 17:16:19.346823,jobs in carlisle arkansas,jobs hiring in carlisle arkansas
38,jobs in carlisle arkansas,"('jobs in carlisle area', 'jobs in carlisle pa area')",jobs in carlisle area,jobs in carlisle pa area,1,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
39,jobs in carlisle arkansas,"('jobs in carlisle area', 'jobs in carlisle cumbria')",jobs in carlisle area,jobs in carlisle cumbria,2,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
40,jobs in carlisle arkansas,"('jobs in carlisle area', 'job vacancies in carlisle area')",jobs in carlisle area,job vacancies in carlisle area,3,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
41,jobs in carlisle arkansas,"('jobs in carlisle area', 'part time jobs in carlisle area')",jobs in carlisle area,part time jobs in carlisle area,4,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
42,jobs in carlisle arkansas,"('jobs in carlisle area', 'carlisle it jobs')",jobs in carlisle area,carlisle it jobs,5,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
43,jobs in carlisle arkansas,"('jobs in carlisle area', 'careers in carlisle')",jobs in carlisle area,careers in carlisle,6,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
44,jobs in carlisle arkansas,"('jobs in carlisle area', 'carlisle city jobs')",jobs in carlisle area,carlisle city jobs,7,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
45,jobs in carlisle arkansas,"('jobs in carlisle area', 'carlisle graduate jobs')",jobs in carlisle area,carlisle graduate jobs,8,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
46,jobs in carlisle arkansas,"('jobs in carlisle area', 'jobs in carlisle ar')",jobs in carlisle area,jobs in carlisle ar,9,2,google,2025-10-29 17:16:20.810389,jobs in carlisle arkansas,jobs in carlisle ar
