,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in carthage arkansas,"('jobs in carthage arkansas', 'jobs in carthage missouri')",jobs in carthage arkansas,jobs in carthage missouri,1,0,google,2025-10-29 17:17:50.276688,,
1,jobs in carthage arkansas,"('jobs in carthage arkansas', 'jobs in carthage tennessee')",jobs in carthage arkansas,jobs in carthage tennessee,2,0,google,2025-10-29 17:17:50.276688,,
2,jobs in carthage arkansas,"('jobs in carthage arkansas', 'jobs in carthage')",jobs in carthage arkansas,jobs in carthage,3,0,google,2025-10-29 17:17:50.276688,,
3,jobs in carthage arkansas,"('jobs in carthage arkansas', 'jobs in carthage mo')",jobs in carthage arkansas,jobs in carthage mo,4,0,google,2025-10-29 17:17:50.276688,,
4,jobs in carthage arkansas,"('jobs in carthage arkansas', 'jobs in carthage tn')",jobs in carthage arkansas,jobs in carthage tn,5,0,google,2025-10-29 17:17:50.276688,,
5,jobs in carthage arkansas,"('jobs in carthage missouri', 'jobs hiring in carthage missouri')",jobs in carthage missouri,jobs hiring in carthage missouri,1,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
6,jobs in carthage arkansas,"('jobs in carthage missouri', 'job openings in carthage missouri')",jobs in carthage missouri,job openings in carthage missouri,2,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
7,jobs in carthage arkansas,"('jobs in carthage missouri', 'part time jobs in carthage missouri')",jobs in carthage missouri,part time jobs in carthage missouri,3,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
8,jobs in carthage arkansas,"('jobs in carthage missouri', 'places hiring in carthage missouri')",jobs in carthage missouri,places hiring in carthage missouri,4,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
9,jobs in carthage arkansas,"('jobs in carthage missouri', 'cna jobs in carthage mo')",jobs in carthage missouri,cna jobs in carthage mo,5,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
10,jobs in carthage arkansas,"('jobs in carthage missouri', 'jobs in carthage mo')",jobs in carthage missouri,jobs in carthage mo,6,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
11,jobs in carthage arkansas,"('jobs in carthage missouri', 'city of carthage mo jobs')",jobs in carthage missouri,city of carthage mo jobs,7,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
12,jobs in carthage arkansas,"('jobs in carthage missouri', 'jobs in carthage')",jobs in carthage missouri,jobs in carthage,8,1,google,2025-10-29 17:17:51.480080,,jobs in carthage arkansas
13,jobs in carthage arkansas,"('jobs in carthage tennessee', 'jobs in carthage tn remote')",jobs in carthage tennessee,jobs in carthage tn remote,1,1,google,2025-10-29 17:17:52.779940,,jobs in carthage arkansas
14,jobs in carthage arkansas,"('jobs in carthage tennessee', 'part time jobs in carthage tennessee')",jobs in carthage tennessee,part time jobs in carthage tennessee,2,1,google,2025-10-29 17:17:52.779940,,jobs in carthage arkansas
15,jobs in carthage arkansas,"('jobs in carthage tennessee', 'jobs hiring in carthage tn')",jobs in carthage tennessee,jobs hiring in carthage tn,3,1,google,2025-10-29 17:17:52.779940,,jobs in carthage arkansas
16,jobs in carthage arkansas,"('jobs in carthage tennessee', 'walmart jobs in carthage tn')",jobs in carthage tennessee,walmart jobs in carthage tn,4,1,google,2025-10-29 17:17:52.779940,,jobs in carthage arkansas
17,jobs in carthage arkansas,"('jobs in carthage tennessee', 'jobs in carthage tn')",jobs in carthage tennessee,jobs in carthage tn,5,1,google,2025-10-29 17:17:52.779940,,jobs in carthage arkansas
18,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage tx')",jobs in carthage,jobs in carthage tx,1,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
19,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage mo')",jobs in carthage,jobs in carthage mo,2,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
20,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage ms')",jobs in carthage,jobs in carthage ms,3,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
21,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage ny')",jobs in carthage,jobs in carthage ny,4,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
22,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage il')",jobs in carthage,jobs in carthage il,5,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
23,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage tn')",jobs in carthage,jobs in carthage tn,6,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
24,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage nc')",jobs in carthage,jobs in carthage nc,7,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
25,jobs in carthage arkansas,"('jobs in carthage', 'jobs in carthage mississippi')",jobs in carthage,jobs in carthage mississippi,8,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
26,jobs in carthage arkansas,"('jobs in carthage', 'carthage teaching jobs')",jobs in carthage,carthage teaching jobs,9,1,google,2025-10-29 17:17:54.142438,,jobs in carthage arkansas
27,jobs in carthage arkansas,"('jobs in carthage mo', 'hiring in carthage mo')",jobs in carthage mo,hiring in carthage mo,1,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
28,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs hiring in carthage mo')",jobs in carthage mo,jobs hiring in carthage mo,2,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
29,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs available in carthage mo')",jobs in carthage mo,jobs available in carthage mo,3,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
30,jobs in carthage arkansas,"('jobs in carthage mo', 'cna jobs in carthage mo')",jobs in carthage mo,cna jobs in carthage mo,4,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
31,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs carthage mo no degree')",jobs in carthage mo,jobs carthage mo no degree,5,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
32,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs carthage mo part time')",jobs in carthage mo,jobs carthage mo part time,6,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
33,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs carthage mo remote')",jobs in carthage mo,jobs carthage mo remote,7,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
34,jobs in carthage arkansas,"('jobs in carthage mo', 'jobs carthage mo full time')",jobs in carthage mo,jobs carthage mo full time,8,1,google,2025-10-29 17:17:55.518789,,jobs in carthage arkansas
