,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas area')",jobs in center ridge arkansas,jobs in center ridge arkansas area,1,0,google,2025-10-29 17:23:16.684941,,
1,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas hiring')",jobs in center ridge arkansas,jobs in center ridge arkansas hiring,2,0,google,2025-10-29 17:23:16.684941,,
2,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas indeed')",jobs in center ridge arkansas,jobs in center ridge arkansas indeed,3,0,google,2025-10-29 17:23:16.684941,,
3,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas hiring now')",jobs in center ridge arkansas,jobs in center ridge arkansas hiring now,4,0,google,2025-10-29 17:23:16.684941,,
4,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas for 16 year olds')",jobs in center ridge arkansas,jobs in center ridge arkansas for 16 year olds,5,0,google,2025-10-29 17:23:16.684941,,
5,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge arkansas liquor store')",jobs in center ridge arkansas,jobs in center ridge arkansas liquor store,6,0,google,2025-10-29 17:23:16.684941,,
6,jobs in center ridge arkansas,"('jobs in center ridge arkansas', 'jobs in center ridge ar')",jobs in center ridge arkansas,jobs in center ridge ar,7,0,google,2025-10-29 17:23:16.684941,,
7,jobs in center ridge arkansas,"('jobs in center ridge arkansas area', 'jobs in center ridge arkansas area area')",jobs in center ridge arkansas area,jobs in center ridge arkansas area area,1,1,google,2025-10-29 17:23:17.477069,,jobs in center ridge arkansas
8,jobs in center ridge arkansas,"('jobs in center ridge arkansas area', 'jobs in center ridge arkansas area hiring')",jobs in center ridge arkansas area,jobs in center ridge arkansas area hiring,2,1,google,2025-10-29 17:23:17.477069,,jobs in center ridge arkansas
9,jobs in center ridge arkansas,"('jobs in center ridge arkansas area', 'jobs in center ridge arkansas areas')",jobs in center ridge arkansas area,jobs in center ridge arkansas areas,3,1,google,2025-10-29 17:23:17.477069,,jobs in center ridge arkansas
10,jobs in center ridge arkansas,"('jobs in center ridge arkansas area', 'jobs in center ridge arkansas area hiring now')",jobs in center ridge arkansas area,jobs in center ridge arkansas area hiring now,4,1,google,2025-10-29 17:23:17.477069,,jobs in center ridge arkansas
11,jobs in center ridge arkansas,"('jobs in center ridge arkansas area', 'jobs in center ridge arkansas area for 16 year olds')",jobs in center ridge arkansas area,jobs in center ridge arkansas area for 16 year olds,5,1,google,2025-10-29 17:23:17.477069,,jobs in center ridge arkansas
12,jobs in center ridge arkansas,"('jobs in center ridge arkansas hiring', 'jobs in center ridge arkansas hiring now')",jobs in center ridge arkansas hiring,jobs in center ridge arkansas hiring now,1,1,google,2025-10-29 17:23:18.673340,,jobs in center ridge arkansas
13,jobs in center ridge arkansas,"('jobs in center ridge arkansas hiring', 'jobs in center ridge arkansas hiring immediately')",jobs in center ridge arkansas hiring,jobs in center ridge arkansas hiring immediately,2,1,google,2025-10-29 17:23:18.673340,,jobs in center ridge arkansas
14,jobs in center ridge arkansas,"('jobs in center ridge arkansas hiring', 'jobs in center ridge arkansas hiring right now')",jobs in center ridge arkansas hiring,jobs in center ridge arkansas hiring right now,3,1,google,2025-10-29 17:23:18.673340,,jobs in center ridge arkansas
15,jobs in center ridge arkansas,"('jobs in center ridge arkansas hiring', 'jobs in center ridge arkansas hiring 16 year olds')",jobs in center ridge arkansas hiring,jobs in center ridge arkansas hiring 16 year olds,4,1,google,2025-10-29 17:23:18.673340,,jobs in center ridge arkansas
16,jobs in center ridge arkansas,"('jobs in center ridge arkansas hiring', 'jobs in center ridge arkansas hiring 15 year olds')",jobs in center ridge arkansas hiring,jobs in center ridge arkansas hiring 15 year olds,5,1,google,2025-10-29 17:23:18.673340,,jobs in center ridge arkansas
17,jobs in center ridge arkansas,"('jobs in center ridge arkansas indeed', 'jobs in center ridge arkansas indeed jobs')",jobs in center ridge arkansas indeed,jobs in center ridge arkansas indeed jobs,1,1,google,2025-10-29 17:23:20.007813,,jobs in center ridge arkansas
18,jobs in center ridge arkansas,"('jobs in center ridge arkansas indeed', 'jobs in center ridge arkansas indeed.com')",jobs in center ridge arkansas indeed,jobs in center ridge arkansas indeed.com,2,1,google,2025-10-29 17:23:20.007813,,jobs in center ridge arkansas
19,jobs in center ridge arkansas,"('jobs in center ridge arkansas indeed', 'jobs in center ridge arkansas indeed part time')",jobs in center ridge arkansas indeed,jobs in center ridge arkansas indeed part time,3,1,google,2025-10-29 17:23:20.007813,,jobs in center ridge arkansas
