,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in chapman alabama,"('jobs in chapman alabama', 'jobs in chapman alabama hiring')",jobs in chapman alabama,jobs in chapman alabama hiring,1,0,google,2025-10-28 19:27:17.138931,,
1,jobs in chapman alabama,"('jobs in chapman alabama', 'jobs in chapman alabama area')",jobs in chapman alabama,jobs in chapman alabama area,2,0,google,2025-10-28 19:27:17.138931,,
2,jobs in chapman alabama,"('jobs in chapman alabama', 'jobs in chapman alabama indeed')",jobs in chapman alabama,jobs in chapman alabama indeed,3,0,google,2025-10-28 19:27:17.138931,,
3,jobs in chapman alabama,"('jobs in chapman alabama', 'jobs in chapman alabama hiring now')",jobs in chapman alabama,jobs in chapman alabama hiring now,4,0,google,2025-10-28 19:27:17.138931,,
4,jobs in chapman alabama,"('jobs in chapman alabama', 'jobs in chapman alabama for 16 year olds')",jobs in chapman alabama,jobs in chapman alabama for 16 year olds,5,0,google,2025-10-28 19:27:17.138931,,
5,jobs in chapman alabama,"('jobs in chapman alabama hiring', 'jobs in chapman alabama hiring now')",jobs in chapman alabama hiring,jobs in chapman alabama hiring now,1,1,google,2025-10-28 19:27:18.195635,,jobs in chapman alabama
6,jobs in chapman alabama,"('jobs in chapman alabama hiring', 'jobs in chapman alabama hiring immediately')",jobs in chapman alabama hiring,jobs in chapman alabama hiring immediately,2,1,google,2025-10-28 19:27:18.195635,,jobs in chapman alabama
7,jobs in chapman alabama,"('jobs in chapman alabama hiring', 'jobs in chapman alabama hiring 16 year olds')",jobs in chapman alabama hiring,jobs in chapman alabama hiring 16 year olds,3,1,google,2025-10-28 19:27:18.195635,,jobs in chapman alabama
8,jobs in chapman alabama,"('jobs in chapman alabama hiring', 'jobs in chapman alabama hiring right now')",jobs in chapman alabama hiring,jobs in chapman alabama hiring right now,4,1,google,2025-10-28 19:27:18.195635,,jobs in chapman alabama
9,jobs in chapman alabama,"('jobs in chapman alabama hiring', 'jobs in chapman alabama hiring 15 year olds')",jobs in chapman alabama hiring,jobs in chapman alabama hiring 15 year olds,5,1,google,2025-10-28 19:27:18.195635,,jobs in chapman alabama
10,jobs in chapman alabama,"('jobs in chapman alabama area', 'jobs in chapman alabama area hiring')",jobs in chapman alabama area,jobs in chapman alabama area hiring,1,1,google,2025-10-28 19:27:19.204949,,jobs in chapman alabama
11,jobs in chapman alabama,"('jobs in chapman alabama area', 'jobs in chapman alabama area area')",jobs in chapman alabama area,jobs in chapman alabama area area,2,1,google,2025-10-28 19:27:19.204949,,jobs in chapman alabama
12,jobs in chapman alabama,"('jobs in chapman alabama area', 'jobs in chapman alabama area hiring now')",jobs in chapman alabama area,jobs in chapman alabama area hiring now,3,1,google,2025-10-28 19:27:19.204949,,jobs in chapman alabama
13,jobs in chapman alabama,"('jobs in chapman alabama area', 'jobs in chapman alabama areas')",jobs in chapman alabama area,jobs in chapman alabama areas,4,1,google,2025-10-28 19:27:19.204949,,jobs in chapman alabama
14,jobs in chapman alabama,"('jobs in chapman alabama area', 'jobs in chapman alabama area for 16 year olds')",jobs in chapman alabama area,jobs in chapman alabama area for 16 year olds,5,1,google,2025-10-28 19:27:19.204949,,jobs in chapman alabama
15,jobs in chapman alabama,"('jobs in chapman alabama indeed', 'jobs in chapman alabama indeed jobs')",jobs in chapman alabama indeed,jobs in chapman alabama indeed jobs,1,1,google,2025-10-28 19:27:20.732002,,jobs in chapman alabama
16,jobs in chapman alabama,"('jobs in chapman alabama indeed', 'jobs in chapman alabama indeed.com')",jobs in chapman alabama indeed,jobs in chapman alabama indeed.com,2,1,google,2025-10-28 19:27:20.732002,,jobs in chapman alabama
17,jobs in chapman alabama,"('jobs in chapman alabama indeed', 'jobs in chapman alabama indeed part time')",jobs in chapman alabama indeed,jobs in chapman alabama indeed part time,3,1,google,2025-10-28 19:27:20.732002,,jobs in chapman alabama
18,jobs in chapman alabama,"('jobs in chapman alabama indeed', 'jobs in chapman alabama indeed reviews')",jobs in chapman alabama indeed,jobs in chapman alabama indeed reviews,4,1,google,2025-10-28 19:27:20.732002,,jobs in chapman alabama
19,jobs in chapman alabama,"('jobs in chapman alabama hiring now', 'jobs in chapman alabama hiring now part time')",jobs in chapman alabama hiring now,jobs in chapman alabama hiring now part time,1,1,google,2025-10-28 19:27:22.015854,,jobs in chapman alabama
20,jobs in chapman alabama,"('jobs in chapman alabama hiring now', 'jobs in chapman alabama hiring now 2024')",jobs in chapman alabama hiring now,jobs in chapman alabama hiring now 2024,2,1,google,2025-10-28 19:27:22.015854,,jobs in chapman alabama
21,jobs in chapman alabama,"('jobs in chapman alabama hiring now', 'jobs in chapman alabama hiring now indeed')",jobs in chapman alabama hiring now,jobs in chapman alabama hiring now indeed,3,1,google,2025-10-28 19:27:22.015854,,jobs in chapman alabama
22,jobs in chapman alabama,"('jobs in chapman alabama hiring now', 'jobs in chapman alabama hiring now no experience')",jobs in chapman alabama hiring now,jobs in chapman alabama hiring now no experience,4,1,google,2025-10-28 19:27:22.015854,,jobs in chapman alabama
23,jobs in chapman alabama,"('jobs in chapman alabama hiring now', 'jobs in chapman alabama hiring now no experience needed')",jobs in chapman alabama hiring now,jobs in chapman alabama hiring now no experience needed,5,1,google,2025-10-28 19:27:22.015854,,jobs in chapman alabama
24,jobs in chapman alabama,"('jobs in chapman alabama for 16 year olds', 'jobs in chapman alabama for 16 year olds hiring')",jobs in chapman alabama for 16 year olds,jobs in chapman alabama for 16 year olds hiring,1,1,google,2025-10-28 19:27:23.355363,,jobs in chapman alabama
25,jobs in chapman alabama,"('jobs in chapman alabama for 16 year olds', 'jobs in chapman alabama for 16 year olds part time')",jobs in chapman alabama for 16 year olds,jobs in chapman alabama for 16 year olds part time,2,1,google,2025-10-28 19:27:23.355363,,jobs in chapman alabama
