,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas area')",jobs in charlotte arkansas,jobs in charlotte arkansas area,1,0,google,2025-10-29 17:31:12.963954,,
1,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas hiring')",jobs in charlotte arkansas,jobs in charlotte arkansas hiring,2,0,google,2025-10-29 17:31:12.963954,,
2,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas hiring now')",jobs in charlotte arkansas,jobs in charlotte arkansas hiring now,3,0,google,2025-10-29 17:31:12.963954,,
3,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas for 16 year olds')",jobs in charlotte arkansas,jobs in charlotte arkansas for 16 year olds,4,0,google,2025-10-29 17:31:12.963954,,
4,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas for 15 year olds')",jobs in charlotte arkansas,jobs in charlotte arkansas for 15 year olds,5,0,google,2025-10-29 17:31:12.963954,,
5,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas population')",jobs in charlotte arkansas,jobs in charlotte arkansas population,6,0,google,2025-10-29 17:31:12.963954,,
6,jobs in charlotte arkansas,"('jobs in charlotte arkansas', 'jobs in charlotte arkansas directions')",jobs in charlotte arkansas,jobs in charlotte arkansas directions,7,0,google,2025-10-29 17:31:12.963954,,
7,jobs in charlotte arkansas,"('jobs in charlotte arkansas area', 'jobs in charlotte arkansas area area')",jobs in charlotte arkansas area,jobs in charlotte arkansas area area,1,1,google,2025-10-29 17:31:13.971277,,jobs in charlotte arkansas
8,jobs in charlotte arkansas,"('jobs in charlotte arkansas area', 'jobs in charlotte arkansas area hiring')",jobs in charlotte arkansas area,jobs in charlotte arkansas area hiring,2,1,google,2025-10-29 17:31:13.971277,,jobs in charlotte arkansas
9,jobs in charlotte arkansas,"('jobs in charlotte arkansas area', 'jobs in charlotte arkansas areas')",jobs in charlotte arkansas area,jobs in charlotte arkansas areas,3,1,google,2025-10-29 17:31:13.971277,,jobs in charlotte arkansas
10,jobs in charlotte arkansas,"('jobs in charlotte arkansas area', 'jobs in charlotte arkansas area for 16 year olds')",jobs in charlotte arkansas area,jobs in charlotte arkansas area for 16 year olds,4,1,google,2025-10-29 17:31:13.971277,,jobs in charlotte arkansas
11,jobs in charlotte arkansas,"('jobs in charlotte arkansas area', 'jobs in charlotte arkansas area hiring now')",jobs in charlotte arkansas area,jobs in charlotte arkansas area hiring now,5,1,google,2025-10-29 17:31:13.971277,,jobs in charlotte arkansas
12,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring', 'jobs in charlotte arkansas hiring now')",jobs in charlotte arkansas hiring,jobs in charlotte arkansas hiring now,1,1,google,2025-10-29 17:31:14.823383,,jobs in charlotte arkansas
13,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring', 'jobs in charlotte arkansas hiring immediately')",jobs in charlotte arkansas hiring,jobs in charlotte arkansas hiring immediately,2,1,google,2025-10-29 17:31:14.823383,,jobs in charlotte arkansas
14,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring', 'jobs in charlotte arkansas hiring right now')",jobs in charlotte arkansas hiring,jobs in charlotte arkansas hiring right now,3,1,google,2025-10-29 17:31:14.823383,,jobs in charlotte arkansas
15,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring', 'jobs in charlotte arkansas hiring 16 year olds')",jobs in charlotte arkansas hiring,jobs in charlotte arkansas hiring 16 year olds,4,1,google,2025-10-29 17:31:14.823383,,jobs in charlotte arkansas
16,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring', 'jobs in charlotte arkansas hiring 15 year olds')",jobs in charlotte arkansas hiring,jobs in charlotte arkansas hiring 15 year olds,5,1,google,2025-10-29 17:31:14.823383,,jobs in charlotte arkansas
17,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring now', 'jobs in charlotte arkansas hiring now 2024')",jobs in charlotte arkansas hiring now,jobs in charlotte arkansas hiring now 2024,1,1,google,2025-10-29 17:31:16.136874,,jobs in charlotte arkansas
18,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring now', 'jobs in charlotte arkansas hiring now part time')",jobs in charlotte arkansas hiring now,jobs in charlotte arkansas hiring now part time,2,1,google,2025-10-29 17:31:16.136874,,jobs in charlotte arkansas
19,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring now', 'jobs in charlotte arkansas hiring now indeed')",jobs in charlotte arkansas hiring now,jobs in charlotte arkansas hiring now indeed,3,1,google,2025-10-29 17:31:16.136874,,jobs in charlotte arkansas
20,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring now', 'jobs in charlotte arkansas hiring now no experience')",jobs in charlotte arkansas hiring now,jobs in charlotte arkansas hiring now no experience,4,1,google,2025-10-29 17:31:16.136874,,jobs in charlotte arkansas
21,jobs in charlotte arkansas,"('jobs in charlotte arkansas hiring now', 'jobs in charlotte arkansas hiring now no experience needed')",jobs in charlotte arkansas hiring now,jobs in charlotte arkansas hiring now no experience needed,5,1,google,2025-10-29 17:31:16.136874,,jobs in charlotte arkansas
22,jobs in charlotte arkansas,"('jobs in charlotte arkansas for 16 year olds', 'jobs in charlotte arkansas for 16 year olds hiring')",jobs in charlotte arkansas for 16 year olds,jobs in charlotte arkansas for 16 year olds hiring,1,1,google,2025-10-29 17:31:17.015247,,jobs in charlotte arkansas
23,jobs in charlotte arkansas,"('jobs in charlotte arkansas for 16 year olds', 'jobs in charlotte arkansas for 16 year olds part time')",jobs in charlotte arkansas for 16 year olds,jobs in charlotte arkansas for 16 year olds part time,2,1,google,2025-10-29 17:31:17.015247,,jobs in charlotte arkansas
24,jobs in charlotte arkansas,"('jobs in charlotte arkansas for 16 year olds', 'jobs in charlotte arkansas for 16 year olds no experience')",jobs in charlotte arkansas for 16 year olds,jobs in charlotte arkansas for 16 year olds no experience,3,1,google,2025-10-29 17:31:17.015247,,jobs in charlotte arkansas
