,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in chelsea alabama,"('jobs in chelsea alabama', 'hiring in chelsea alabama')",jobs in chelsea alabama,hiring in chelsea alabama,1,0,google,2025-10-28 19:30:29.021253,,
1,jobs in chelsea alabama,"('jobs in chelsea alabama', 'jobs hiring in chelsea alabama')",jobs in chelsea alabama,jobs hiring in chelsea alabama,2,0,google,2025-10-28 19:30:29.021253,,
2,jobs in chelsea alabama,"('jobs in chelsea alabama', 'part time jobs in chelsea alabama')",jobs in chelsea alabama,part time jobs in chelsea alabama,3,0,google,2025-10-28 19:30:29.021253,,
3,jobs in chelsea alabama,"('jobs in chelsea alabama', 'office jobs in chelsea al')",jobs in chelsea alabama,office jobs in chelsea al,4,0,google,2025-10-28 19:30:29.021253,,
4,jobs in chelsea alabama,"('jobs in chelsea alabama', 'jobs in chelsea al')",jobs in chelsea alabama,jobs in chelsea al,5,0,google,2025-10-28 19:30:29.021253,,
5,jobs in chelsea alabama,"('hiring in chelsea alabama', 'jobs in chelsea alabama')",hiring in chelsea alabama,jobs in chelsea alabama,1,1,google,2025-10-28 19:30:30.515539,,jobs in chelsea alabama
6,jobs in chelsea alabama,"('hiring in chelsea alabama', 'jobs hiring in chelsea alabama')",hiring in chelsea alabama,jobs hiring in chelsea alabama,2,1,google,2025-10-28 19:30:30.515539,,jobs in chelsea alabama
7,jobs in chelsea alabama,"('hiring in chelsea alabama', 'chelsea al jobs')",hiring in chelsea alabama,chelsea al jobs,3,1,google,2025-10-28 19:30:30.515539,,jobs in chelsea alabama
8,jobs in chelsea alabama,"('hiring in chelsea alabama', 'jobs hiring in chelsea al')",hiring in chelsea alabama,jobs hiring in chelsea al,4,1,google,2025-10-28 19:30:30.515539,,jobs in chelsea alabama
9,jobs in chelsea alabama,"('jobs hiring in chelsea alabama', 'job openings in chelsea al')",jobs hiring in chelsea alabama,job openings in chelsea al,1,1,google,2025-10-28 19:30:31.609640,,jobs in chelsea alabama
10,jobs in chelsea alabama,"('jobs hiring in chelsea alabama', 'jobs near chelsea alabama')",jobs hiring in chelsea alabama,jobs near chelsea alabama,2,1,google,2025-10-28 19:30:31.609640,,jobs in chelsea alabama
11,jobs in chelsea alabama,"('jobs hiring in chelsea alabama', 'jobs hiring near chelsea al')",jobs hiring in chelsea alabama,jobs hiring near chelsea al,3,1,google,2025-10-28 19:30:31.609640,,jobs in chelsea alabama
12,jobs in chelsea alabama,"('part time jobs in chelsea alabama', 'full time jobs in chelsea al')",part time jobs in chelsea alabama,full time jobs in chelsea al,1,1,google,2025-10-28 19:30:32.979742,,jobs in chelsea alabama
13,jobs in chelsea alabama,"('part time jobs in chelsea alabama', 'part time jobs near chelsea al')",part time jobs in chelsea alabama,part time jobs near chelsea al,2,1,google,2025-10-28 19:30:32.979742,,jobs in chelsea alabama
14,jobs in chelsea alabama,"('part time jobs in chelsea alabama', 'jobs chelsea alabama')",part time jobs in chelsea alabama,jobs chelsea alabama,3,1,google,2025-10-28 19:30:32.979742,,jobs in chelsea alabama
15,jobs in chelsea alabama,"('part time jobs in chelsea alabama', 'part-time jobs in chelsea ma')",part time jobs in chelsea alabama,part-time jobs in chelsea ma,4,1,google,2025-10-28 19:30:32.979742,,jobs in chelsea alabama
