,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in cherokee village arkansas,"('jobs in cherokee village arkansas', 'jobs in cherokee village ar')",jobs in cherokee village arkansas,jobs in cherokee village ar,1,0,google,2025-10-29 17:36:51.158961,,
1,jobs in cherokee village arkansas,"('jobs in cherokee village arkansas', 'cherokee village jobs')",jobs in cherokee village arkansas,cherokee village jobs,2,0,google,2025-10-29 17:36:51.158961,,
2,jobs in cherokee village arkansas,"('jobs in cherokee village ar', 'jobs in cherokee village arkansas')",jobs in cherokee village ar,jobs in cherokee village arkansas,1,1,google,2025-10-29 17:36:52.447137,,jobs in cherokee village arkansas
3,jobs in cherokee village arkansas,"('jobs in cherokee village ar', 'cherokee village jobs')",jobs in cherokee village ar,cherokee village jobs,2,1,google,2025-10-29 17:36:52.447137,,jobs in cherokee village arkansas
4,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee village arkansas jobs')",cherokee village jobs,cherokee village arkansas jobs,1,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
5,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee business jobs')",cherokee village jobs,cherokee business jobs,2,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
6,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee government jobs')",cherokee village jobs,cherokee government jobs,3,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
7,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee village restaurants')",cherokee village jobs,cherokee village restaurants,4,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
8,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee tribe jobs')",cherokee village jobs,cherokee tribe jobs,5,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
9,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee job openings')",cherokee village jobs,cherokee job openings,6,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
10,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee village ar jobs')",cherokee village jobs,cherokee village ar jobs,7,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
11,jobs in cherokee village arkansas,"('cherokee village jobs', 'cherokee valley jobs')",cherokee village jobs,cherokee valley jobs,8,1,google,2025-10-29 17:36:53.774174,,jobs in cherokee village arkansas
12,jobs in cherokee village arkansas,"('cherokee village arkansas jobs', 'city of cherokee village ar jobs')",cherokee village arkansas jobs,city of cherokee village ar jobs,1,2,google,2025-10-29 17:36:54.762225,jobs in cherokee village arkansas,cherokee village jobs
13,jobs in cherokee village arkansas,"('cherokee village arkansas jobs', 'jobs near cherokee village arkansas')",cherokee village arkansas jobs,jobs near cherokee village arkansas,2,2,google,2025-10-29 17:36:54.762225,jobs in cherokee village arkansas,cherokee village jobs
14,jobs in cherokee village arkansas,"('cherokee village arkansas jobs', 'cherokee village arkansas population')",cherokee village arkansas jobs,cherokee village arkansas population,3,2,google,2025-10-29 17:36:54.762225,jobs in cherokee village arkansas,cherokee village jobs
