,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in childersburg alabama,"('jobs in childersburg alabama', 'work release in childersburg alabama')",jobs in childersburg alabama,work release in childersburg alabama,1,0,google,2025-10-28 19:32:49.747372,,
1,jobs in childersburg alabama,"('jobs in childersburg alabama', 'jobs hiring in childersburg al')",jobs in childersburg alabama,jobs hiring in childersburg al,2,0,google,2025-10-28 19:32:49.747372,,
2,jobs in childersburg alabama,"('jobs in childersburg alabama', 'jobs in childersburg al')",jobs in childersburg alabama,jobs in childersburg al,3,0,google,2025-10-28 19:32:49.747372,,
3,jobs in childersburg alabama,"('work release in childersburg alabama', 'childersburg work release center')",work release in childersburg alabama,childersburg work release center,1,1,google,2025-10-28 19:32:50.874461,,jobs in childersburg alabama
4,jobs in childersburg alabama,"('work release in childersburg alabama', 'childersburg work release')",work release in childersburg alabama,childersburg work release,2,1,google,2025-10-28 19:32:50.874461,,jobs in childersburg alabama
5,jobs in childersburg alabama,"('work release in childersburg alabama', 'childersburg work release phone number')",work release in childersburg alabama,childersburg work release phone number,3,1,google,2025-10-28 19:32:50.874461,,jobs in childersburg alabama
6,jobs in childersburg alabama,"('work release in childersburg alabama', 'childersburg work release warden')",work release in childersburg alabama,childersburg work release warden,4,1,google,2025-10-28 19:32:50.874461,,jobs in childersburg alabama
7,jobs in childersburg alabama,"('jobs hiring in childersburg al', 'jobs near childersburg al')",jobs hiring in childersburg al,jobs near childersburg al,1,1,google,2025-10-28 19:32:51.981799,,jobs in childersburg alabama
8,jobs in childersburg alabama,"('jobs hiring in childersburg al', 'childersburg alabama jobs')",jobs hiring in childersburg al,childersburg alabama jobs,2,1,google,2025-10-28 19:32:51.981799,,jobs in childersburg alabama
9,jobs in childersburg alabama,"('jobs in childersburg al', 'jobs hiring in childersburg al')",jobs in childersburg al,jobs hiring in childersburg al,1,1,google,2025-10-28 19:32:53.384947,,jobs in childersburg alabama
10,jobs in childersburg alabama,"('jobs in childersburg al', 'part time jobs in childersburg al')",jobs in childersburg al,part time jobs in childersburg al,2,1,google,2025-10-28 19:32:53.384947,,jobs in childersburg alabama
11,jobs in childersburg alabama,"('jobs in childersburg al', 'work release in childersburg alabama')",jobs in childersburg al,work release in childersburg alabama,3,1,google,2025-10-28 19:32:53.384947,,jobs in childersburg alabama
12,jobs in childersburg alabama,"('jobs in childersburg al', 'jobs in childersburg alabama')",jobs in childersburg al,jobs in childersburg alabama,4,1,google,2025-10-28 19:32:53.384947,,jobs in childersburg alabama
13,jobs in childersburg alabama,"('childersburg work release center', 'what is a work release center')",childersburg work release center,what is a work release center,1,2,google,2025-10-28 19:32:54.408886,jobs in childersburg alabama,work release in childersburg alabama
14,jobs in childersburg alabama,"('childersburg work release center', 'childersburg work release mailing address')",childersburg work release center,childersburg work release mailing address,2,2,google,2025-10-28 19:32:54.408886,jobs in childersburg alabama,work release in childersburg alabama
15,jobs in childersburg alabama,"('childersburg work release center', 'childersburg work release warden')",childersburg work release center,childersburg work release warden,3,2,google,2025-10-28 19:32:54.408886,jobs in childersburg alabama,work release in childersburg alabama
16,jobs in childersburg alabama,"('childersburg work release center', 'childersburg work release phone number')",childersburg work release center,childersburg work release phone number,4,2,google,2025-10-28 19:32:54.408886,jobs in childersburg alabama,work release in childersburg alabama
17,jobs in childersburg alabama,"('childersburg work release center', 'childersburg work release')",childersburg work release center,childersburg work release,5,2,google,2025-10-28 19:32:54.408886,jobs in childersburg alabama,work release in childersburg alabama
18,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release center')",childersburg work release,childersburg work release center,1,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
19,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release photos')",childersburg work release,childersburg work release photos,2,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
20,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release phone number')",childersburg work release,childersburg work release phone number,3,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
21,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release mailing address')",childersburg work release,childersburg work release mailing address,4,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
22,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release reviews')",childersburg work release,childersburg work release reviews,5,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
23,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release address')",childersburg work release,childersburg work release address,6,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
24,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release inmate roster')",childersburg work release,childersburg work release inmate roster,7,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
25,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release alabama')",childersburg work release,childersburg work release alabama,8,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
26,jobs in childersburg alabama,"('childersburg work release', 'childersburg work release warden')",childersburg work release,childersburg work release warden,9,2,google,2025-10-28 19:32:55.458592,jobs in childersburg alabama,work release in childersburg alabama
27,jobs in childersburg alabama,"('childersburg work release phone number', 'work release program phone number')",childersburg work release phone number,work release program phone number,1,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
28,jobs in childersburg alabama,"('childersburg work release phone number', 'work release phone number')",childersburg work release phone number,work release phone number,2,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
29,jobs in childersburg alabama,"('childersburg work release phone number', 'work release number')",childersburg work release phone number,work release number,3,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
30,jobs in childersburg alabama,"('childersburg work release phone number', 'childersburg work release mailing address')",childersburg work release phone number,childersburg work release mailing address,4,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
31,jobs in childersburg alabama,"('childersburg work release phone number', 'childersburg work release center')",childersburg work release phone number,childersburg work release center,5,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
32,jobs in childersburg alabama,"('childersburg work release phone number', 'childersburg work release')",childersburg work release phone number,childersburg work release,6,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
33,jobs in childersburg alabama,"('childersburg work release phone number', 'childersburg work release warden')",childersburg work release phone number,childersburg work release warden,7,2,google,2025-10-28 19:32:56.408951,jobs in childersburg alabama,work release in childersburg alabama
34,jobs in childersburg alabama,"('childersburg work release warden', 'can a warden release a prisoner')",childersburg work release warden,can a warden release a prisoner,1,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
35,jobs in childersburg alabama,"('childersburg work release warden', 'what is a work release program')",childersburg work release warden,what is a work release program,2,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
36,jobs in childersburg alabama,"('childersburg work release warden', 'childersburg work release center')",childersburg work release warden,childersburg work release center,3,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
37,jobs in childersburg alabama,"('childersburg work release warden', 'childersburg work release')",childersburg work release warden,childersburg work release,4,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
38,jobs in childersburg alabama,"('childersburg work release warden', 'childersburg work release mailing address')",childersburg work release warden,childersburg work release mailing address,5,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
39,jobs in childersburg alabama,"('childersburg work release warden', 'childersburg work release phone number')",childersburg work release warden,childersburg work release phone number,6,2,google,2025-10-28 19:32:57.431403,jobs in childersburg alabama,work release in childersburg alabama
40,jobs in childersburg alabama,"('jobs near childersburg al', 'jobs hiring near childersburg al')",jobs near childersburg al,jobs hiring near childersburg al,1,2,google,2025-10-28 19:32:58.456086,jobs in childersburg alabama,jobs hiring in childersburg al
41,jobs in childersburg alabama,"('jobs near childersburg al', 'indeed jobs near childersburg al')",jobs near childersburg al,indeed jobs near childersburg al,2,2,google,2025-10-28 19:32:58.456086,jobs in childersburg alabama,jobs hiring in childersburg al
42,jobs in childersburg alabama,"('jobs near childersburg al', 'jobs in childersburg alabama')",jobs near childersburg al,jobs in childersburg alabama,3,2,google,2025-10-28 19:32:58.456086,jobs in childersburg alabama,jobs hiring in childersburg al
43,jobs in childersburg alabama,"('childersburg alabama jobs', 'childersburg jobs')",childersburg alabama jobs,childersburg jobs,1,2,google,2025-10-28 19:32:59.595661,jobs in childersburg alabama,jobs hiring in childersburg al
44,jobs in childersburg alabama,"('part time jobs in childersburg al', 'part time jobs in chilhowie va')",part time jobs in childersburg al,part time jobs in chilhowie va,1,2,google,2025-10-28 19:33:00.905356,jobs in childersburg alabama,jobs in childersburg al
45,jobs in childersburg alabama,"('part time jobs in childersburg al', 'part-time jobs in chillicothe mo')",part time jobs in childersburg al,part-time jobs in chillicothe mo,2,2,google,2025-10-28 19:33:00.905356,jobs in childersburg alabama,jobs in childersburg al
46,jobs in childersburg alabama,"('part time jobs in childersburg al', 'childersburg jobs')",part time jobs in childersburg al,childersburg jobs,3,2,google,2025-10-28 19:33:00.905356,jobs in childersburg alabama,jobs in childersburg al
47,jobs in childersburg alabama,"('part time jobs in childersburg al', 'jobs in childersburg alabama')",part time jobs in childersburg al,jobs in childersburg alabama,4,2,google,2025-10-28 19:33:00.905356,jobs in childersburg alabama,jobs in childersburg al
48,jobs in childersburg alabama,"('part time jobs in childersburg al', 'part time jobs in chilton wi')",part time jobs in childersburg al,part time jobs in chilton wi,5,2,google,2025-10-28 19:33:00.905356,jobs in childersburg alabama,jobs in childersburg al
49,jobs in childersburg alabama,"('what is a work release center', 'what is a work release program')",what is a work release center,what is a work release program,1,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
50,jobs in childersburg alabama,"('what is a work release center', 'what is a work release program for inmates')",what is a work release center,what is a work release program for inmates,2,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
51,jobs in childersburg alabama,"('what is a work release center', 'what is a work release facility')",what is a work release center,what is a work release facility,3,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
52,jobs in childersburg alabama,"('what is a work release center', 'what is a work release program in california')",what is a work release center,what is a work release program in california,4,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
53,jobs in childersburg alabama,"('what is a work release center', 'what is a jail work release program')",what is a work release center,what is a jail work release program,5,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
54,jobs in childersburg alabama,"('what is a work release center', 'what is the work release program for inmates in florida')",what is a work release center,what is the work release program for inmates in florida,6,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
55,jobs in childersburg alabama,"('what is a work release center', 'what is the work release program for inmates in virginia')",what is a work release center,what is the work release program for inmates in virginia,7,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
56,jobs in childersburg alabama,"('what is a work release center', 'what is the work release program for inmates in nc')",what is a work release center,what is the work release program for inmates in nc,8,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
57,jobs in childersburg alabama,"('what is a work release center', 'what is the work release program for inmates in ny')",what is a work release center,what is the work release program for inmates in ny,9,3,google,2025-10-28 19:33:02.019231,work release in childersburg alabama,childersburg work release center
