,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in clarendon arkansas,"('jobs in clarendon arkansas', 'jobs hiring in clarendon ar')",jobs in clarendon arkansas,jobs hiring in clarendon ar,1,0,google,2025-10-29 17:38:00.179900,,
1,jobs in clarendon arkansas,"('jobs in clarendon arkansas', 'jobs in clarendon ar')",jobs in clarendon arkansas,jobs in clarendon ar,2,0,google,2025-10-29 17:38:00.179900,,
2,jobs in clarendon arkansas,"('jobs in clarendon arkansas', 'jobs in clarksville arkansas area')",jobs in clarendon arkansas,jobs in clarksville arkansas area,3,0,google,2025-10-29 17:38:00.179900,,
3,jobs in clarendon arkansas,"('jobs hiring in clarendon ar', 'jobs near clarendon ar')",jobs hiring in clarendon ar,jobs near clarendon ar,1,1,google,2025-10-29 17:38:01.199935,,jobs in clarendon arkansas
4,jobs in clarendon arkansas,"('jobs hiring in clarendon ar', 'jobs hiring in clarendon tx')",jobs hiring in clarendon ar,jobs hiring in clarendon tx,2,1,google,2025-10-29 17:38:01.199935,,jobs in clarendon arkansas
5,jobs in clarendon arkansas,"('jobs hiring in clarendon ar', 'jobs in clarendon va')",jobs hiring in clarendon ar,jobs in clarendon va,3,1,google,2025-10-29 17:38:01.199935,,jobs in clarendon arkansas
6,jobs in clarendon arkansas,"('jobs hiring in clarendon ar', 'jobs in clarendon hills')",jobs hiring in clarendon ar,jobs in clarendon hills,4,1,google,2025-10-29 17:38:01.199935,,jobs in clarendon arkansas
7,jobs in clarendon arkansas,"('jobs in clarendon ar', 'jobs hiring in clarendon ar')",jobs in clarendon ar,jobs hiring in clarendon ar,1,1,google,2025-10-29 17:38:01.966334,,jobs in clarendon arkansas
8,jobs in clarendon arkansas,"('jobs in clarendon ar', 'jobs in clarendon va')",jobs in clarendon ar,jobs in clarendon va,2,1,google,2025-10-29 17:38:01.966334,,jobs in clarendon arkansas
9,jobs in clarendon arkansas,"('jobs in clarendon ar', 'jobs in clarendon texas')",jobs in clarendon ar,jobs in clarendon texas,3,1,google,2025-10-29 17:38:01.966334,,jobs in clarendon arkansas
10,jobs in clarendon arkansas,"('jobs in clarendon ar', 'jobs in clarendon tx')",jobs in clarendon ar,jobs in clarendon tx,4,1,google,2025-10-29 17:38:01.966334,,jobs in clarendon arkansas
11,jobs in clarendon arkansas,"('jobs in clarendon ar', 'jobs in clarendon hills')",jobs in clarendon ar,jobs in clarendon hills,5,1,google,2025-10-29 17:38:01.966334,,jobs in clarendon arkansas
12,jobs in clarendon arkansas,"('jobs in clarksville arkansas area', 'jobs in clarksville arkansas area hiring')",jobs in clarksville arkansas area,jobs in clarksville arkansas area hiring,1,1,google,2025-10-29 17:38:03.406858,,jobs in clarendon arkansas
13,jobs in clarendon arkansas,"('jobs in clarksville arkansas area', 'jobs in clarksville arkansas areas')",jobs in clarksville arkansas area,jobs in clarksville arkansas areas,2,1,google,2025-10-29 17:38:03.406858,,jobs in clarendon arkansas
14,jobs in clarendon arkansas,"('jobs in clarksville arkansas area', 'jobs in clarksville arkansas area for 16 year olds')",jobs in clarksville arkansas area,jobs in clarksville arkansas area for 16 year olds,3,1,google,2025-10-29 17:38:03.406858,,jobs in clarendon arkansas
15,jobs in clarendon arkansas,"('jobs in clarksville arkansas area', 'jobs in clarksville arkansas area hiring now')",jobs in clarksville arkansas area,jobs in clarksville arkansas area hiring now,4,1,google,2025-10-29 17:38:03.406858,,jobs in clarendon arkansas
16,jobs in clarendon arkansas,"('jobs in clarksville arkansas area', 'jobs in clarksville arkansas area for teens')",jobs in clarksville arkansas area,jobs in clarksville arkansas area for teens,5,1,google,2025-10-29 17:38:03.406858,,jobs in clarendon arkansas
17,jobs in clarendon arkansas,"('jobs near clarendon ar', 'jobs near clarendon tx')",jobs near clarendon ar,jobs near clarendon tx,1,2,google,2025-10-29 17:38:04.281062,jobs in clarendon arkansas,jobs hiring in clarendon ar
18,jobs in clarendon arkansas,"('jobs near clarendon ar', 'jobs in clarendon va')",jobs near clarendon ar,jobs in clarendon va,2,2,google,2025-10-29 17:38:04.281062,jobs in clarendon arkansas,jobs hiring in clarendon ar
19,jobs in clarendon arkansas,"('jobs near clarendon ar', 'jobs in clarendon texas')",jobs near clarendon ar,jobs in clarendon texas,3,2,google,2025-10-29 17:38:04.281062,jobs in clarendon arkansas,jobs hiring in clarendon ar
20,jobs in clarendon arkansas,"('jobs hiring in clarendon tx', 'jobs near clarendon tx')",jobs hiring in clarendon tx,jobs near clarendon tx,1,2,google,2025-10-29 17:38:05.248292,jobs in clarendon arkansas,jobs hiring in clarendon ar
21,jobs in clarendon arkansas,"('jobs hiring in clarendon tx', 'jobs in clarendon texas')",jobs hiring in clarendon tx,jobs in clarendon texas,2,2,google,2025-10-29 17:38:05.248292,jobs in clarendon arkansas,jobs hiring in clarendon ar
