,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'jobs in clarksville ar no degree')",jobs in clarksville arkansas,jobs in clarksville ar no degree,1,0,google,2025-10-29 17:38:59.244153,,
1,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'jobs in clarksville ar part time')",jobs in clarksville arkansas,jobs in clarksville ar part time,2,0,google,2025-10-29 17:38:59.244153,,
2,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'jobs hiring in clarksville arkansas')",jobs in clarksville arkansas,jobs hiring in clarksville arkansas,3,0,google,2025-10-29 17:38:59.244153,,
3,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'job openings in clarksville arkansas')",jobs in clarksville arkansas,job openings in clarksville arkansas,4,0,google,2025-10-29 17:38:59.244153,,
4,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'part time jobs in clarksville arkansas')",jobs in clarksville arkansas,part time jobs in clarksville arkansas,5,0,google,2025-10-29 17:38:59.244153,,
5,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'tyson foods jobs in clarksville arkansas')",jobs in clarksville arkansas,tyson foods jobs in clarksville arkansas,6,0,google,2025-10-29 17:38:59.244153,,
6,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'full time jobs in clarksville arkansas')",jobs in clarksville arkansas,full time jobs in clarksville arkansas,7,0,google,2025-10-29 17:38:59.244153,,
7,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'indeed jobs in clarksville ar')",jobs in clarksville arkansas,indeed jobs in clarksville ar,8,0,google,2025-10-29 17:38:59.244153,,
8,jobs in clarksville arkansas,"('jobs in clarksville arkansas', 'jobs in clarksville ar in the last 3 days')",jobs in clarksville arkansas,jobs in clarksville ar in the last 3 days,9,0,google,2025-10-29 17:38:59.244153,,
9,jobs in clarksville arkansas,"('jobs in clarksville ar no degree', 'entry level jobs near me no degree')",jobs in clarksville ar no degree,entry level jobs near me no degree,1,1,google,2025-10-29 17:39:00.080942,,jobs in clarksville arkansas
10,jobs in clarksville arkansas,"('jobs in clarksville ar no degree', 'jobs near me no degree no experience')",jobs in clarksville ar no degree,jobs near me no degree no experience,2,1,google,2025-10-29 17:39:00.080942,,jobs in clarksville arkansas
11,jobs in clarksville arkansas,"('jobs in clarksville ar no degree', 'jobs in clarksville arkansas area')",jobs in clarksville ar no degree,jobs in clarksville arkansas area,3,1,google,2025-10-29 17:39:00.080942,,jobs in clarksville arkansas
12,jobs in clarksville arkansas,"('jobs in clarksville ar no degree', 'jobs in clarksville arkansas')",jobs in clarksville ar no degree,jobs in clarksville arkansas,4,1,google,2025-10-29 17:39:00.080942,,jobs in clarksville arkansas
13,jobs in clarksville arkansas,"('jobs in clarksville ar no degree', 'jobs in clarksville ar')",jobs in clarksville ar no degree,jobs in clarksville ar,5,1,google,2025-10-29 17:39:00.080942,,jobs in clarksville arkansas
14,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs hiring clarksville ar part time')",jobs in clarksville ar part time,jobs hiring clarksville ar part time,1,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
15,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs clarksville ar full time')",jobs in clarksville ar part time,jobs clarksville ar full time,2,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
16,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'indeed jobs clarksville ar part time')",jobs in clarksville ar part time,indeed jobs clarksville ar part time,3,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
17,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'indeed jobs clarksville ar full time')",jobs in clarksville ar part time,indeed jobs clarksville ar full time,4,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
18,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs in clarksville tn part-time')",jobs in clarksville ar part time,jobs in clarksville tn part-time,5,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
19,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs in clarksville arkansas area')",jobs in clarksville ar part time,jobs in clarksville arkansas area,6,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
20,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs in clarksville ar')",jobs in clarksville ar part time,jobs in clarksville ar,7,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
21,jobs in clarksville arkansas,"('jobs in clarksville ar part time', 'jobs in clarksville arkansas')",jobs in clarksville ar part time,jobs in clarksville arkansas,8,1,google,2025-10-29 17:39:01.388770,,jobs in clarksville arkansas
22,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs available in clarksville arkansas')",jobs hiring in clarksville arkansas,jobs available in clarksville arkansas,1,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
23,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'job openings in clarksville arkansas')",jobs hiring in clarksville arkansas,job openings in clarksville arkansas,2,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
24,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs hiring in clarksville ar in the last 3 days')",jobs hiring in clarksville arkansas,jobs hiring in clarksville ar in the last 3 days,3,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
25,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs near clarksville arkansas')",jobs hiring in clarksville arkansas,jobs near clarksville arkansas,4,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
26,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs hiring clarksville ar part time')",jobs hiring in clarksville arkansas,jobs hiring clarksville ar part time,5,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
27,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'red wing job openings in clarksville arkansas')",jobs hiring in clarksville arkansas,red wing job openings in clarksville arkansas,6,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
28,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs hiring now clarksville ar')",jobs hiring in clarksville arkansas,jobs hiring now clarksville ar,7,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
29,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs hiring immediately clarksville ar')",jobs hiring in clarksville arkansas,jobs hiring immediately clarksville ar,8,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
30,jobs in clarksville arkansas,"('jobs hiring in clarksville arkansas', 'jobs hiring in clarksville ar')",jobs hiring in clarksville arkansas,jobs hiring in clarksville ar,9,1,google,2025-10-29 17:39:02.824639,,jobs in clarksville arkansas
31,jobs in clarksville arkansas,"('job openings in clarksville arkansas', 'jobs hiring in clarksville arkansas')",job openings in clarksville arkansas,jobs hiring in clarksville arkansas,1,1,google,2025-10-29 17:39:04.266206,,jobs in clarksville arkansas
32,jobs in clarksville arkansas,"('job openings in clarksville arkansas', 'red wing job openings in clarksville arkansas')",job openings in clarksville arkansas,red wing job openings in clarksville arkansas,2,1,google,2025-10-29 17:39:04.266206,,jobs in clarksville arkansas
33,jobs in clarksville arkansas,"('job openings in clarksville arkansas', 'job openings in clarksville ar')",job openings in clarksville arkansas,job openings in clarksville ar,3,1,google,2025-10-29 17:39:04.266206,,jobs in clarksville arkansas
34,jobs in clarksville arkansas,"('job openings in clarksville arkansas', 'jobs in clarksville arkansas area')",job openings in clarksville arkansas,jobs in clarksville arkansas area,4,1,google,2025-10-29 17:39:04.266206,,jobs in clarksville arkansas
35,jobs in clarksville arkansas,"('job openings in clarksville arkansas', 'clarksville arkansas jobs')",job openings in clarksville arkansas,clarksville arkansas jobs,5,1,google,2025-10-29 17:39:04.266206,,jobs in clarksville arkansas
36,jobs in clarksville arkansas,"('part time jobs in clarksville arkansas', 'full time jobs in clarksville arkansas')",part time jobs in clarksville arkansas,full time jobs in clarksville arkansas,1,1,google,2025-10-29 17:39:05.578501,,jobs in clarksville arkansas
37,jobs in clarksville arkansas,"('part time jobs in clarksville arkansas', 'part time jobs in clarksville ar')",part time jobs in clarksville arkansas,part time jobs in clarksville ar,2,1,google,2025-10-29 17:39:05.578501,,jobs in clarksville arkansas
38,jobs in clarksville arkansas,"('part time jobs in clarksville arkansas', 'full time jobs in clarksville ar no experience')",part time jobs in clarksville arkansas,full time jobs in clarksville ar no experience,3,1,google,2025-10-29 17:39:05.578501,,jobs in clarksville arkansas
39,jobs in clarksville arkansas,"('part time jobs in clarksville arkansas', 'part time jobs hiring clarksville ar')",part time jobs in clarksville arkansas,part time jobs hiring clarksville ar,4,1,google,2025-10-29 17:39:05.578501,,jobs in clarksville arkansas
40,jobs in clarksville arkansas,"('part time jobs in clarksville arkansas', 'part-time jobs in clarksville tn')",part time jobs in clarksville arkansas,part-time jobs in clarksville tn,5,1,google,2025-10-29 17:39:05.578501,,jobs in clarksville arkansas
41,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'tyson foods careers clarksville arkansas')",tyson foods jobs in clarksville arkansas,tyson foods careers clarksville arkansas,1,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
42,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'tyson jobs in arkansas')",tyson foods jobs in clarksville arkansas,tyson jobs in arkansas,2,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
43,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'tyson foods temperanceville va jobs')",tyson foods jobs in clarksville arkansas,tyson foods temperanceville va jobs,3,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
44,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'tyson clarksville ar jobs')",tyson foods jobs in clarksville arkansas,tyson clarksville ar jobs,4,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
45,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'tyson foods in clarksville arkansas')",tyson foods jobs in clarksville arkansas,tyson foods in clarksville arkansas,5,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
46,jobs in clarksville arkansas,"('tyson foods jobs in clarksville arkansas', 'clarksville arkansas tyson')",tyson foods jobs in clarksville arkansas,clarksville arkansas tyson,6,1,google,2025-10-29 17:39:06.973941,,jobs in clarksville arkansas
47,jobs in clarksville arkansas,"('full time jobs in clarksville arkansas', 'part time jobs in clarksville arkansas')",full time jobs in clarksville arkansas,part time jobs in clarksville arkansas,1,1,google,2025-10-29 17:39:08.230951,,jobs in clarksville arkansas
48,jobs in clarksville arkansas,"('full time jobs in clarksville arkansas', 'full time jobs in clarksville ar no experience')",full time jobs in clarksville arkansas,full time jobs in clarksville ar no experience,2,1,google,2025-10-29 17:39:08.230951,,jobs in clarksville arkansas
49,jobs in clarksville arkansas,"('full time jobs in clarksville arkansas', 'part time jobs in clarksville ar')",full time jobs in clarksville arkansas,part time jobs in clarksville ar,3,1,google,2025-10-29 17:39:08.230951,,jobs in clarksville arkansas
50,jobs in clarksville arkansas,"('full time jobs in clarksville arkansas', 'part time jobs hiring clarksville ar')",full time jobs in clarksville arkansas,part time jobs hiring clarksville ar,4,1,google,2025-10-29 17:39:08.230951,,jobs in clarksville arkansas
51,jobs in clarksville arkansas,"('full time jobs in clarksville arkansas', 'full time jobs in clarksville ar')",full time jobs in clarksville arkansas,full time jobs in clarksville ar,5,1,google,2025-10-29 17:39:08.230951,,jobs in clarksville arkansas
