,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in clayton alabama,"('jobs in clayton alabama', 'clanton alabama jobs')",jobs in clayton alabama,clanton alabama jobs,1,0,google,2025-10-28 19:35:57.875767,,
1,jobs in clayton alabama,"('jobs in clayton alabama', 'jobs in clayton al')",jobs in clayton alabama,jobs in clayton al,2,0,google,2025-10-28 19:35:57.875767,,
2,jobs in clayton alabama,"('jobs in clayton alabama', 'jobs in clayton georgia')",jobs in clayton alabama,jobs in clayton georgia,3,0,google,2025-10-28 19:35:57.875767,,
3,jobs in clayton alabama,"('jobs in clayton alabama', 'jobs in clayton county')",jobs in clayton alabama,jobs in clayton county,4,0,google,2025-10-28 19:35:57.875767,,
4,jobs in clayton alabama,"('clanton alabama jobs', 'clanton jobs')",clanton alabama jobs,clanton jobs,1,1,google,2025-10-28 19:35:58.755542,,jobs in clayton alabama
5,jobs in clayton alabama,"('clanton alabama jobs', 'clanton city jobs')",clanton alabama jobs,clanton city jobs,2,1,google,2025-10-28 19:35:58.755542,,jobs in clayton alabama
6,jobs in clayton alabama,"('clanton alabama jobs', 'clanton career center')",clanton alabama jobs,clanton career center,3,1,google,2025-10-28 19:35:58.755542,,jobs in clayton alabama
7,jobs in clayton alabama,"('jobs in clayton al', 'jobs in clayton alabama')",jobs in clayton al,jobs in clayton alabama,1,1,google,2025-10-28 19:35:59.733282,,jobs in clayton alabama
8,jobs in clayton alabama,"('jobs in clayton al', 'jobs in clayton county')",jobs in clayton al,jobs in clayton county,2,1,google,2025-10-28 19:35:59.733282,,jobs in clayton alabama
9,jobs in clayton alabama,"('jobs in clayton al', 'jobs in clayton georgia')",jobs in clayton al,jobs in clayton georgia,3,1,google,2025-10-28 19:35:59.733282,,jobs in clayton alabama
10,jobs in clayton alabama,"('jobs in clayton al', 'jobs in clayton ga')",jobs in clayton al,jobs in clayton ga,4,1,google,2025-10-28 19:35:59.733282,,jobs in clayton alabama
11,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs in clayton ga 30525')",jobs in clayton georgia,jobs in clayton ga 30525,1,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
12,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs in clayton county georgia')",jobs in clayton georgia,jobs in clayton county georgia,2,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
13,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs hiring in clayton ga')",jobs in clayton georgia,jobs hiring in clayton ga,3,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
14,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs in clayton ga in the last 3 days')",jobs in clayton georgia,jobs in clayton ga in the last 3 days,4,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
15,jobs in clayton alabama,"('jobs in clayton georgia', 'indeed jobs in clayton ga')",jobs in clayton georgia,indeed jobs in clayton ga,5,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
16,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs available in clayton ga')",jobs in clayton georgia,jobs available in clayton ga,6,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
17,jobs in clayton alabama,"('jobs in clayton georgia', 'what jobs are in georgia')",jobs in clayton georgia,what jobs are in georgia,7,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
18,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs in clayton county')",jobs in clayton georgia,jobs in clayton county,8,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
19,jobs in clayton alabama,"('jobs in clayton georgia', 'jobs in clayton ga')",jobs in clayton georgia,jobs in clayton ga,9,1,google,2025-10-28 19:36:00.683884,,jobs in clayton alabama
20,jobs in clayton alabama,"('jobs in clayton county', 'jobs in clayton county ga')",jobs in clayton county,jobs in clayton county ga,1,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
21,jobs in clayton alabama,"('jobs in clayton county', 'jobs in clayton county iowa')",jobs in clayton county,jobs in clayton county iowa,2,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
22,jobs in clayton alabama,"('jobs in clayton county', 'jobs in clayton county schools')",jobs in clayton county,jobs in clayton county schools,3,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
23,jobs in clayton alabama,"('jobs in clayton county', 'hiring in clayton county')",jobs in clayton county,hiring in clayton county,4,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
24,jobs in clayton alabama,"('jobs in clayton county', 'jobs hiring in clayton county')",jobs in clayton county,jobs hiring in clayton county,5,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
25,jobs in clayton alabama,"('jobs in clayton county', 'warehouse jobs in clayton county')",jobs in clayton county,warehouse jobs in clayton county,6,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
26,jobs in clayton alabama,"('jobs in clayton county', 'paraprofessional jobs in clayton county schools')",jobs in clayton county,paraprofessional jobs in clayton county schools,7,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
27,jobs in clayton alabama,"('jobs in clayton county', 'security jobs in clayton county')",jobs in clayton county,security jobs in clayton county,8,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
28,jobs in clayton alabama,"('jobs in clayton county', 'government jobs in clayton county')",jobs in clayton county,government jobs in clayton county,9,1,google,2025-10-28 19:36:01.559593,,jobs in clayton alabama
29,jobs in clayton alabama,"('clanton jobs', 'jobs clanton al')",clanton jobs,jobs clanton al,1,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
30,jobs in clayton alabama,"('clanton jobs', 'jobs clanton al no degree')",clanton jobs,jobs clanton al no degree,2,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
31,jobs in clayton alabama,"('clanton jobs', 'jobs clanton al remote')",clanton jobs,jobs clanton al remote,3,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
32,jobs in clayton alabama,"('clanton jobs', 'jobs clanton al in the last 3 days')",clanton jobs,jobs clanton al in the last 3 days,4,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
33,jobs in clayton alabama,"('clanton jobs', 'clanton jobs hiring')",clanton jobs,clanton jobs hiring,5,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
34,jobs in clayton alabama,"('clanton jobs', 'adient clanton jobs')",clanton jobs,adient clanton jobs,6,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
35,jobs in clayton alabama,"('clanton jobs', 'clanton city jobs')",clanton jobs,clanton city jobs,7,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
36,jobs in clayton alabama,"('clanton jobs', 'clanton hospital jobs')",clanton jobs,clanton hospital jobs,8,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
37,jobs in clayton alabama,"('clanton jobs', 'clanton walmart jobs')",clanton jobs,clanton walmart jobs,9,2,google,2025-10-28 19:36:02.930702,jobs in clayton alabama,clanton alabama jobs
38,jobs in clayton alabama,"('clanton city jobs', 'clanton al city jobs')",clanton city jobs,clanton al city jobs,1,2,google,2025-10-28 19:36:03.999431,jobs in clayton alabama,clanton alabama jobs
39,jobs in clayton alabama,"('clanton city jobs', 'clemmons city jobs')",clanton city jobs,clemmons city jobs,2,2,google,2025-10-28 19:36:03.999431,jobs in clayton alabama,clanton alabama jobs
40,jobs in clayton alabama,"('clanton city jobs', 'action city jobs')",clanton city jobs,action city jobs,3,2,google,2025-10-28 19:36:03.999431,jobs in clayton alabama,clanton alabama jobs
41,jobs in clayton alabama,"('clanton city jobs', 'clanton jobs')",clanton city jobs,clanton jobs,4,2,google,2025-10-28 19:36:03.999431,jobs in clayton alabama,clanton alabama jobs
42,jobs in clayton alabama,"('clanton city jobs', 'clanton alabama jobs')",clanton city jobs,clanton alabama jobs,5,2,google,2025-10-28 19:36:03.999431,jobs in clayton alabama,clanton alabama jobs
43,jobs in clayton alabama,"('clanton career center', 'clanton jobs')",clanton career center,clanton jobs,1,2,google,2025-10-28 19:36:04.960166,jobs in clayton alabama,clanton alabama jobs
44,jobs in clayton alabama,"('clanton career center', 'clanton city jobs')",clanton career center,clanton city jobs,2,2,google,2025-10-28 19:36:04.960166,jobs in clayton alabama,clanton alabama jobs
45,jobs in clayton alabama,"('clanton career center', 'clanton job fair')",clanton career center,clanton job fair,3,2,google,2025-10-28 19:36:04.960166,jobs in clayton alabama,clanton alabama jobs
46,jobs in clayton alabama,"('jobs in clayton ga', 'jobs in clayton ga 30525')",jobs in clayton ga,jobs in clayton ga 30525,1,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
47,jobs in clayton alabama,"('jobs in clayton ga', 'hiring in clayton ga')",jobs in clayton ga,hiring in clayton ga,2,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
48,jobs in clayton alabama,"('jobs in clayton ga', 'jobs in clayton county ga')",jobs in clayton ga,jobs in clayton county ga,3,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
49,jobs in clayton alabama,"('jobs in clayton ga', 'jobs hiring in clayton ga')",jobs in clayton ga,jobs hiring in clayton ga,4,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
50,jobs in clayton alabama,"('jobs in clayton ga', 'jobs in clayton ga in the last 3 days')",jobs in clayton ga,jobs in clayton ga in the last 3 days,5,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
51,jobs in clayton alabama,"('jobs in clayton ga', 'indeed jobs in clayton ga')",jobs in clayton ga,indeed jobs in clayton ga,6,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
52,jobs in clayton alabama,"('jobs in clayton ga', 'jobs available in clayton ga')",jobs in clayton ga,jobs available in clayton ga,7,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
53,jobs in clayton alabama,"('jobs in clayton ga', 'jobs in clayton county')",jobs in clayton ga,jobs in clayton county,8,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
54,jobs in clayton alabama,"('jobs in clayton ga', 'jobs in clayton county iowa')",jobs in clayton ga,jobs in clayton county iowa,9,2,google,2025-10-28 19:36:06.328152,jobs in clayton alabama jobs in clayton alabama,jobs in clayton al jobs in clayton georgia
55,jobs in clayton alabama,"('jobs in clayton ga 30525', 'is clayton ga a good place to live')",jobs in clayton ga 30525,is clayton ga a good place to live,1,2,google,2025-10-28 19:36:07.085753,jobs in clayton alabama,jobs in clayton georgia
56,jobs in clayton alabama,"('jobs in clayton ga 30525', 'current in georgia')",jobs in clayton ga 30525,current in georgia,2,2,google,2025-10-28 19:36:07.085753,jobs in clayton alabama,jobs in clayton georgia
57,jobs in clayton alabama,"('jobs in clayton ga 30525', 'jobs in clayton georgia')",jobs in clayton ga 30525,jobs in clayton georgia,3,2,google,2025-10-28 19:36:07.085753,jobs in clayton alabama,jobs in clayton georgia
58,jobs in clayton alabama,"('jobs in clayton ga 30525', 'jobs in clayton ga')",jobs in clayton ga 30525,jobs in clayton ga,4,2,google,2025-10-28 19:36:07.085753,jobs in clayton alabama,jobs in clayton georgia
