,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in clinton arkansas,"('jobs in clinton arkansas', 'jobs in clinton arkansas area')",jobs in clinton arkansas,jobs in clinton arkansas area,1,0,google,2025-10-29 17:42:42.925866,,
1,jobs in clinton arkansas,"('jobs in clinton arkansas', 'hiring in clinton arkansas')",jobs in clinton arkansas,hiring in clinton arkansas,2,0,google,2025-10-29 17:42:42.925866,,
2,jobs in clinton arkansas,"('jobs in clinton arkansas', 'jobs hiring in clinton arkansas')",jobs in clinton arkansas,jobs hiring in clinton arkansas,3,0,google,2025-10-29 17:42:42.925866,,
3,jobs in clinton arkansas,"('jobs in clinton arkansas', 'cdl jobs in clinton arkansas')",jobs in clinton arkansas,cdl jobs in clinton arkansas,4,0,google,2025-10-29 17:42:42.925866,,
4,jobs in clinton arkansas,"('jobs in clinton arkansas', 'part time jobs in clinton arkansas')",jobs in clinton arkansas,part time jobs in clinton arkansas,5,0,google,2025-10-29 17:42:42.925866,,
5,jobs in clinton arkansas,"('jobs in clinton arkansas', 'equipment operator jobs in clinton arkansas')",jobs in clinton arkansas,equipment operator jobs in clinton arkansas,6,0,google,2025-10-29 17:42:42.925866,,
6,jobs in clinton arkansas,"('jobs in clinton arkansas', 'full time jobs in clinton arkansas')",jobs in clinton arkansas,full time jobs in clinton arkansas,7,0,google,2025-10-29 17:42:42.925866,,
7,jobs in clinton arkansas,"('jobs in clinton arkansas', 'construction jobs in clinton ar')",jobs in clinton arkansas,construction jobs in clinton ar,8,0,google,2025-10-29 17:42:42.925866,,
8,jobs in clinton arkansas,"('jobs in clinton arkansas', 'walmart jobs in clinton ar')",jobs in clinton arkansas,walmart jobs in clinton ar,9,0,google,2025-10-29 17:42:42.925866,,
9,jobs in clinton arkansas,"('jobs in clinton arkansas area', 'what kind of jobs are in arkansas')",jobs in clinton arkansas area,what kind of jobs are in arkansas,1,1,google,2025-10-29 17:42:43.943346,,jobs in clinton arkansas
10,jobs in clinton arkansas,"('jobs in clinton arkansas area', 'what jobs are in arkansas')",jobs in clinton arkansas area,what jobs are in arkansas,2,1,google,2025-10-29 17:42:43.943346,,jobs in clinton arkansas
11,jobs in clinton arkansas,"('jobs in clinton arkansas area', 'jobs in clinton arkansas')",jobs in clinton arkansas area,jobs in clinton arkansas,3,1,google,2025-10-29 17:42:43.943346,,jobs in clinton arkansas
12,jobs in clinton arkansas,"('jobs in clinton arkansas area', 'jobs in clinton ar')",jobs in clinton arkansas area,jobs in clinton ar,4,1,google,2025-10-29 17:42:43.943346,,jobs in clinton arkansas
13,jobs in clinton arkansas,"('hiring in clinton arkansas', 'jobs in clinton arkansas')",hiring in clinton arkansas,jobs in clinton arkansas,1,1,google,2025-10-29 17:42:44.960153,,jobs in clinton arkansas
14,jobs in clinton arkansas,"('hiring in clinton arkansas', 'jobs in clinton arkansas area')",hiring in clinton arkansas,jobs in clinton arkansas area,2,1,google,2025-10-29 17:42:44.960153,,jobs in clinton arkansas
15,jobs in clinton arkansas,"('hiring in clinton arkansas', 'jobs hiring in clinton arkansas')",hiring in clinton arkansas,jobs hiring in clinton arkansas,3,1,google,2025-10-29 17:42:44.960153,,jobs in clinton arkansas
