,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in clio alabama,"('jobs in clio alabama', 'jobs clio al')",jobs in clio alabama,jobs clio al,1,0,google,2025-10-28 19:37:43.884508,,
1,jobs in clio alabama,"('jobs in clio alabama', 'jobs in clio sc')",jobs in clio alabama,jobs in clio sc,2,0,google,2025-10-28 19:37:43.884508,,
2,jobs in clio alabama,"('jobs in clio alabama', 'jobs in clio')",jobs in clio alabama,jobs in clio,3,0,google,2025-10-28 19:37:43.884508,,
3,jobs in clio alabama,"('jobs in clio alabama', 'jobs in clio mi')",jobs in clio alabama,jobs in clio mi,4,0,google,2025-10-28 19:37:43.884508,,
4,jobs in clio alabama,"('jobs clio al', 'aldi jobs clio mi')",jobs clio al,aldi jobs clio mi,1,1,google,2025-10-28 19:37:44.875236,,jobs in clio alabama
5,jobs in clio alabama,"('jobs clio al', 'aldi jobs clio')",jobs clio al,aldi jobs clio,2,1,google,2025-10-28 19:37:44.875236,,jobs in clio alabama
6,jobs in clio alabama,"('jobs clio al', 'jobs clio michigan')",jobs clio al,jobs clio michigan,3,1,google,2025-10-28 19:37:44.875236,,jobs in clio alabama
7,jobs in clio alabama,"('jobs clio al', 'jobs clio mi')",jobs clio al,jobs clio mi,4,1,google,2025-10-28 19:37:44.875236,,jobs in clio alabama
8,jobs in clio alabama,"('jobs clio al', 'jobs clio')",jobs clio al,jobs clio,5,1,google,2025-10-28 19:37:44.875236,,jobs in clio alabama
9,jobs in clio alabama,"('jobs in clio sc', 'jobs in clio')",jobs in clio sc,jobs in clio,1,1,google,2025-10-28 19:37:46.192567,,jobs in clio alabama
10,jobs in clio alabama,"('jobs in clio sc', 'jobs in clio mi')",jobs in clio sc,jobs in clio mi,2,1,google,2025-10-28 19:37:46.192567,,jobs in clio alabama
11,jobs in clio alabama,"('jobs in clio sc', 'jobs in clio michigan')",jobs in clio sc,jobs in clio michigan,3,1,google,2025-10-28 19:37:46.192567,,jobs in clio alabama
12,jobs in clio alabama,"('jobs in clio sc', 'jobs clio al')",jobs in clio sc,jobs clio al,4,1,google,2025-10-28 19:37:46.192567,,jobs in clio alabama
13,jobs in clio alabama,"('jobs in clio', 'jobs in clio mi')",jobs in clio,jobs in clio mi,1,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
14,jobs in clio alabama,"('jobs in clio', 'jobs in clio sc')",jobs in clio,jobs in clio sc,2,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
15,jobs in clio alabama,"('jobs in clio', 'jobs in clio al')",jobs in clio,jobs in clio al,3,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
16,jobs in clio alabama,"('jobs in clio', 'jobs hiring in clio mi')",jobs in clio,jobs hiring in clio mi,4,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
17,jobs in clio alabama,"('jobs in clio', 'jobs hiring in clio')",jobs in clio,jobs hiring in clio,5,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
18,jobs in clio alabama,"('jobs in clio', 'part time jobs in clio mi')",jobs in clio,part time jobs in clio mi,6,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
19,jobs in clio alabama,"('jobs in clio', 'full time jobs in clio mi')",jobs in clio,full time jobs in clio mi,7,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
20,jobs in clio alabama,"('jobs in clio', 'part time jobs in clio')",jobs in clio,part time jobs in clio,8,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
21,jobs in clio alabama,"('jobs in clio', 'clio jobs in the last 3 days')",jobs in clio,clio jobs in the last 3 days,9,1,google,2025-10-28 19:37:47.589803,,jobs in clio alabama
22,jobs in clio alabama,"('jobs in clio mi', 'hiring in clio mi')",jobs in clio mi,hiring in clio mi,1,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
23,jobs in clio alabama,"('jobs in clio mi', 'jobs hiring in clio mi')",jobs in clio mi,jobs hiring in clio mi,2,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
24,jobs in clio alabama,"('jobs in clio mi', 'job openings in clio michigan')",jobs in clio mi,job openings in clio michigan,3,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
25,jobs in clio alabama,"('jobs in clio mi', 'part time jobs in clio mi')",jobs in clio mi,part time jobs in clio mi,4,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
26,jobs in clio alabama,"('jobs in clio mi', 'full time jobs in clio mi')",jobs in clio mi,full time jobs in clio mi,5,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
27,jobs in clio alabama,"('jobs in clio mi', 'places hiring in clio mi')",jobs in clio mi,places hiring in clio mi,6,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
28,jobs in clio alabama,"('jobs in clio mi', 'jobs in clio michigan')",jobs in clio mi,jobs in clio michigan,7,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
29,jobs in clio alabama,"('jobs in clio mi', 'jobs in clio')",jobs in clio mi,jobs in clio,8,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
30,jobs in clio alabama,"('jobs in clio mi', 'jobs in clio sc')",jobs in clio mi,jobs in clio sc,9,1,google,2025-10-28 19:37:48.363340,,jobs in clio alabama
31,jobs in clio alabama,"('aldi jobs clio mi', 'aldi assistant jobs')",aldi jobs clio mi,aldi assistant jobs,1,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
32,jobs in clio alabama,"('aldi jobs clio mi', 'aldi customer assistant jobs')",aldi jobs clio mi,aldi customer assistant jobs,2,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
33,jobs in clio alabama,"('aldi jobs clio mi', 'aldi job roles')",aldi jobs clio mi,aldi job roles,3,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
34,jobs in clio alabama,"('aldi jobs clio mi', 'aldi clio hiring')",aldi jobs clio mi,aldi clio hiring,4,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
35,jobs in clio alabama,"('aldi jobs clio mi', 'aldi jobs clinton md')",aldi jobs clio mi,aldi jobs clinton md,5,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
36,jobs in clio alabama,"('aldi jobs clio mi', 'aldi jobs caro mi')",aldi jobs clio mi,aldi jobs caro mi,6,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
37,jobs in clio alabama,"('aldi jobs clio mi', 'aldi jobs cleburne tx')",aldi jobs clio mi,aldi jobs cleburne tx,7,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
38,jobs in clio alabama,"('aldi jobs clio mi', 'aldi jobs cleburne')",aldi jobs clio mi,aldi jobs cleburne,8,2,google,2025-10-28 19:37:49.447479,jobs in clio alabama,jobs clio al
39,jobs in clio alabama,"('aldi jobs clio', 'aldi jobs clio mi')",aldi jobs clio,aldi jobs clio mi,1,2,google,2025-10-28 19:37:50.393085,jobs in clio alabama,jobs clio al
40,jobs in clio alabama,"('aldi jobs clio', 'aldi wine jobs')",aldi jobs clio,aldi wine jobs,2,2,google,2025-10-28 19:37:50.393085,jobs in clio alabama,jobs clio al
