,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in columbia alabama,"('jobs in columbia alabama', 'jobs in columbiana alabama')",jobs in columbia alabama,jobs in columbiana alabama,1,0,google,2025-10-28 19:39:45.060941,,
1,jobs in columbia alabama,"('jobs in columbia alabama', 'part time jobs in columbiana alabama')",jobs in columbia alabama,part time jobs in columbiana alabama,2,0,google,2025-10-28 19:39:45.060941,,
2,jobs in columbia alabama,"('jobs in columbia alabama', 'jobs in columbiana al')",jobs in columbia alabama,jobs in columbiana al,3,0,google,2025-10-28 19:39:45.060941,,
3,jobs in columbia alabama,"('jobs in columbiana alabama', 'jobs in columbiana al')",jobs in columbiana alabama,jobs in columbiana al,1,1,google,2025-10-28 19:39:46.269841,,jobs in columbia alabama
4,jobs in columbia alabama,"('jobs in columbiana alabama', 'part time jobs in columbiana alabama')",jobs in columbiana alabama,part time jobs in columbiana alabama,2,1,google,2025-10-28 19:39:46.269841,,jobs in columbia alabama
5,jobs in columbia alabama,"('jobs in columbiana alabama', 'jobs hiring in columbiana al')",jobs in columbiana alabama,jobs hiring in columbiana al,3,1,google,2025-10-28 19:39:46.269841,,jobs in columbia alabama
6,jobs in columbia alabama,"('part time jobs in columbiana alabama', 'part time jobs columbiana al')",part time jobs in columbiana alabama,part time jobs columbiana al,1,1,google,2025-10-28 19:39:47.129402,,jobs in columbia alabama
7,jobs in columbia alabama,"('part time jobs in columbiana alabama', 'part-time jobs in cullman al')",part time jobs in columbiana alabama,part-time jobs in cullman al,2,1,google,2025-10-28 19:39:47.129402,,jobs in columbia alabama
8,jobs in columbia alabama,"('part time jobs in columbiana alabama', 'part time jobs in cullman alabama')",part time jobs in columbiana alabama,part time jobs in cullman alabama,3,1,google,2025-10-28 19:39:47.129402,,jobs in columbia alabama
9,jobs in columbia alabama,"('part time jobs in columbiana alabama', 'part time jobs in columbiana ohio')",part time jobs in columbiana alabama,part time jobs in columbiana ohio,4,1,google,2025-10-28 19:39:47.129402,,jobs in columbia alabama
10,jobs in columbia alabama,"('part time jobs in columbiana alabama', 'part-time jobs in alabaster al')",part time jobs in columbiana alabama,part-time jobs in alabaster al,5,1,google,2025-10-28 19:39:47.129402,,jobs in columbia alabama
11,jobs in columbia alabama,"('jobs in columbiana al', 'jobs hiring in columbiana al')",jobs in columbiana al,jobs hiring in columbiana al,1,1,google,2025-10-28 19:39:48.322742,,jobs in columbia alabama
12,jobs in columbia alabama,"('jobs in columbiana al', 'part time jobs in columbiana al')",jobs in columbiana al,part time jobs in columbiana al,2,1,google,2025-10-28 19:39:48.322742,,jobs in columbia alabama
13,jobs in columbia alabama,"('jobs in columbiana al', 'jobs in columbiana alabama')",jobs in columbiana al,jobs in columbiana alabama,3,1,google,2025-10-28 19:39:48.322742,,jobs in columbia alabama
14,jobs in columbia alabama,"('jobs in columbiana al', 'jobs in columbiana county')",jobs in columbiana al,jobs in columbiana county,4,1,google,2025-10-28 19:39:48.322742,,jobs in columbia alabama
15,jobs in columbia alabama,"('jobs hiring in columbiana al', 'jobs near columbiana al')",jobs hiring in columbiana al,jobs near columbiana al,1,2,google,2025-10-28 19:39:49.707436,jobs in columbia alabama jobs in columbia alabama,jobs in columbiana alabama jobs in columbiana al
16,jobs in columbia alabama,"('jobs hiring in columbiana al', 'jobs hiring in columbiana ohio')",jobs hiring in columbiana al,jobs hiring in columbiana ohio,2,2,google,2025-10-28 19:39:49.707436,jobs in columbia alabama jobs in columbia alabama,jobs in columbiana alabama jobs in columbiana al
17,jobs in columbia alabama,"('jobs hiring in columbiana al', 'jobs in columbiana alabama')",jobs hiring in columbiana al,jobs in columbiana alabama,3,2,google,2025-10-28 19:39:49.707436,jobs in columbia alabama jobs in columbia alabama,jobs in columbiana alabama jobs in columbiana al
18,jobs in columbia alabama,"('part time jobs columbiana al', 'part time jobs chelsea al')",part time jobs columbiana al,part time jobs chelsea al,1,2,google,2025-10-28 19:39:50.869644,jobs in columbia alabama,part time jobs in columbiana alabama
19,jobs in columbia alabama,"('part time jobs columbiana al', 'full time jobs chelsea al')",part time jobs columbiana al,full time jobs chelsea al,2,2,google,2025-10-28 19:39:50.869644,jobs in columbia alabama,part time jobs in columbiana alabama
20,jobs in columbia alabama,"('part time jobs columbiana al', 'part time jobs columbiana ohio')",part time jobs columbiana al,part time jobs columbiana ohio,3,2,google,2025-10-28 19:39:50.869644,jobs in columbia alabama,part time jobs in columbiana alabama
21,jobs in columbia alabama,"('part time jobs columbiana al', 'part-time jobs columbia pa')",part time jobs columbiana al,part-time jobs columbia pa,4,2,google,2025-10-28 19:39:50.869644,jobs in columbia alabama,part time jobs in columbiana alabama
