,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in columbiana alabama,"('jobs in columbiana alabama', 'jobs in columbiana al')",jobs in columbiana alabama,jobs in columbiana al,1,0,google,2025-10-28 19:40:42.594903,,
1,jobs in columbiana alabama,"('jobs in columbiana alabama', 'part time jobs in columbiana alabama')",jobs in columbiana alabama,part time jobs in columbiana alabama,2,0,google,2025-10-28 19:40:42.594903,,
2,jobs in columbiana alabama,"('jobs in columbiana alabama', 'jobs hiring in columbiana al')",jobs in columbiana alabama,jobs hiring in columbiana al,3,0,google,2025-10-28 19:40:42.594903,,
3,jobs in columbiana alabama,"('jobs in columbiana al', 'jobs hiring in columbiana al')",jobs in columbiana al,jobs hiring in columbiana al,1,1,google,2025-10-28 19:40:43.936684,,jobs in columbiana alabama
4,jobs in columbiana alabama,"('jobs in columbiana al', 'part time jobs in columbiana al')",jobs in columbiana al,part time jobs in columbiana al,2,1,google,2025-10-28 19:40:43.936684,,jobs in columbiana alabama
5,jobs in columbiana alabama,"('jobs in columbiana al', 'jobs in columbiana alabama')",jobs in columbiana al,jobs in columbiana alabama,3,1,google,2025-10-28 19:40:43.936684,,jobs in columbiana alabama
6,jobs in columbiana alabama,"('jobs in columbiana al', 'jobs in columbiana county')",jobs in columbiana al,jobs in columbiana county,4,1,google,2025-10-28 19:40:43.936684,,jobs in columbiana alabama
7,jobs in columbiana alabama,"('part time jobs in columbiana alabama', 'part time jobs columbiana al')",part time jobs in columbiana alabama,part time jobs columbiana al,1,1,google,2025-10-28 19:40:44.800097,,jobs in columbiana alabama
8,jobs in columbiana alabama,"('part time jobs in columbiana alabama', 'part-time jobs in cullman al')",part time jobs in columbiana alabama,part-time jobs in cullman al,2,1,google,2025-10-28 19:40:44.800097,,jobs in columbiana alabama
9,jobs in columbiana alabama,"('part time jobs in columbiana alabama', 'part time jobs in cullman alabama')",part time jobs in columbiana alabama,part time jobs in cullman alabama,3,1,google,2025-10-28 19:40:44.800097,,jobs in columbiana alabama
10,jobs in columbiana alabama,"('part time jobs in columbiana alabama', 'part time jobs in columbiana ohio')",part time jobs in columbiana alabama,part time jobs in columbiana ohio,4,1,google,2025-10-28 19:40:44.800097,,jobs in columbiana alabama
11,jobs in columbiana alabama,"('part time jobs in columbiana alabama', 'part-time jobs in alabaster al')",part time jobs in columbiana alabama,part-time jobs in alabaster al,5,1,google,2025-10-28 19:40:44.800097,,jobs in columbiana alabama
12,jobs in columbiana alabama,"('jobs hiring in columbiana al', 'jobs near columbiana al')",jobs hiring in columbiana al,jobs near columbiana al,1,1,google,2025-10-28 19:40:46.141110,,jobs in columbiana alabama
13,jobs in columbiana alabama,"('jobs hiring in columbiana al', 'jobs hiring in columbiana ohio')",jobs hiring in columbiana al,jobs hiring in columbiana ohio,2,1,google,2025-10-28 19:40:46.141110,,jobs in columbiana alabama
14,jobs in columbiana alabama,"('jobs hiring in columbiana al', 'jobs in columbiana alabama')",jobs hiring in columbiana al,jobs in columbiana alabama,3,1,google,2025-10-28 19:40:46.141110,,jobs in columbiana alabama
15,jobs in columbiana alabama,"('part time jobs in columbiana al', 'part time jobs in columbiana ohio')",part time jobs in columbiana al,part time jobs in columbiana ohio,1,2,google,2025-10-28 19:40:46.974429,jobs in columbiana alabama,jobs in columbiana al
16,jobs in columbiana alabama,"('part time jobs in columbiana al', 'part time jobs in columbia ms')",part time jobs in columbiana al,part time jobs in columbia ms,2,2,google,2025-10-28 19:40:46.974429,jobs in columbiana alabama,jobs in columbiana al
17,jobs in columbiana alabama,"('part time jobs in columbiana al', 'part-time jobs in columbia city indiana')",part time jobs in columbiana al,part-time jobs in columbia city indiana,3,2,google,2025-10-28 19:40:46.974429,jobs in columbiana alabama,jobs in columbiana al
18,jobs in columbiana alabama,"('part time jobs in columbiana al', 'part time jobs in columbia ky')",part time jobs in columbiana al,part time jobs in columbia ky,4,2,google,2025-10-28 19:40:46.974429,jobs in columbiana alabama,jobs in columbiana al
19,jobs in columbiana alabama,"('jobs in columbiana county', 'jobs in columbiana county ohio')",jobs in columbiana county,jobs in columbiana county ohio,1,2,google,2025-10-28 19:40:47.878361,jobs in columbiana alabama,jobs in columbiana al
20,jobs in columbiana alabama,"('jobs in columbiana county', 'jobs in columbiana ohio')",jobs in columbiana county,jobs in columbiana ohio,2,2,google,2025-10-28 19:40:47.878361,jobs in columbiana alabama,jobs in columbiana al
21,jobs in columbiana alabama,"('jobs in columbiana county', 'part time jobs in columbiana county')",jobs in columbiana county,part time jobs in columbiana county,3,2,google,2025-10-28 19:40:47.878361,jobs in columbiana alabama,jobs in columbiana al
