,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas area')",jobs in compton arkansas,jobs in compton arkansas area,1,0,google,2025-10-29 17:46:06.948118,,
1,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas hiring')",jobs in compton arkansas,jobs in compton arkansas hiring,2,0,google,2025-10-29 17:46:06.948118,,
2,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas hiring now')",jobs in compton arkansas,jobs in compton arkansas hiring now,3,0,google,2025-10-29 17:46:06.948118,,
3,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas 2024')",jobs in compton arkansas,jobs in compton arkansas 2024,4,0,google,2025-10-29 17:46:06.948118,,
4,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas for 16 year olds')",jobs in compton arkansas,jobs in compton arkansas for 16 year olds,5,0,google,2025-10-29 17:46:06.948118,,
5,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas cabins')",jobs in compton arkansas,jobs in compton arkansas cabins,6,0,google,2025-10-29 17:46:06.948118,,
6,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas cabin rentals')",jobs in compton arkansas,jobs in compton arkansas cabin rentals,7,0,google,2025-10-29 17:46:06.948118,,
7,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas camping')",jobs in compton arkansas,jobs in compton arkansas camping,8,0,google,2025-10-29 17:46:06.948118,,
8,jobs in compton arkansas,"('jobs in compton arkansas', 'jobs in compton arkansas homes for sale')",jobs in compton arkansas,jobs in compton arkansas homes for sale,9,0,google,2025-10-29 17:46:06.948118,,
9,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area area')",jobs in compton arkansas area,jobs in compton arkansas area area,1,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
10,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area for 16 year olds')",jobs in compton arkansas area,jobs in compton arkansas area for 16 year olds,2,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
11,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area for felons')",jobs in compton arkansas area,jobs in compton arkansas area for felons,3,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
12,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area 2024')",jobs in compton arkansas area,jobs in compton arkansas area 2024,4,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
13,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area for 17 year olds')",jobs in compton arkansas area,jobs in compton arkansas area for 17 year olds,5,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
14,jobs in compton arkansas,"('jobs in compton arkansas area', 'jobs in compton arkansas area time')",jobs in compton arkansas area,jobs in compton arkansas area time,6,1,google,2025-10-29 17:46:08.077698,,jobs in compton arkansas
15,jobs in compton arkansas,"('jobs in compton arkansas hiring', 'jobs in compton arkansas hiring now')",jobs in compton arkansas hiring,jobs in compton arkansas hiring now,1,1,google,2025-10-29 17:46:09.221755,,jobs in compton arkansas
16,jobs in compton arkansas,"('jobs in compton arkansas hiring', 'jobs in compton arkansas hiring immediately')",jobs in compton arkansas hiring,jobs in compton arkansas hiring immediately,2,1,google,2025-10-29 17:46:09.221755,,jobs in compton arkansas
17,jobs in compton arkansas,"('jobs in compton arkansas hiring', 'jobs in compton arkansas hiring right now')",jobs in compton arkansas hiring,jobs in compton arkansas hiring right now,3,1,google,2025-10-29 17:46:09.221755,,jobs in compton arkansas
18,jobs in compton arkansas,"('jobs in compton arkansas hiring', 'jobs in compton arkansas hiring 16 year olds')",jobs in compton arkansas hiring,jobs in compton arkansas hiring 16 year olds,4,1,google,2025-10-29 17:46:09.221755,,jobs in compton arkansas
19,jobs in compton arkansas,"('jobs in compton arkansas hiring', 'jobs in compton arkansas hiring 15 year olds')",jobs in compton arkansas hiring,jobs in compton arkansas hiring 15 year olds,5,1,google,2025-10-29 17:46:09.221755,,jobs in compton arkansas
20,jobs in compton arkansas,"('jobs in compton arkansas hiring now', 'jobs in compton arkansas hiring now 2024')",jobs in compton arkansas hiring now,jobs in compton arkansas hiring now 2024,1,1,google,2025-10-29 17:46:10.658540,,jobs in compton arkansas
21,jobs in compton arkansas,"('jobs in compton arkansas hiring now', 'jobs in compton arkansas hiring now part time')",jobs in compton arkansas hiring now,jobs in compton arkansas hiring now part time,2,1,google,2025-10-29 17:46:10.658540,,jobs in compton arkansas
22,jobs in compton arkansas,"('jobs in compton arkansas hiring now', 'jobs in compton arkansas hiring now in compton arkansas')",jobs in compton arkansas hiring now,jobs in compton arkansas hiring now in compton arkansas,3,1,google,2025-10-29 17:46:10.658540,,jobs in compton arkansas
