,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in corning arkansas,"('jobs in corning arkansas', 'jobs hiring in corning arkansas')",jobs in corning arkansas,jobs hiring in corning arkansas,1,0,google,2025-10-29 17:56:03.047730,,
1,jobs in corning arkansas,"('jobs in corning arkansas', 'places hiring in corning arkansas')",jobs in corning arkansas,places hiring in corning arkansas,2,0,google,2025-10-29 17:56:03.047730,,
2,jobs in corning arkansas,"('jobs in corning arkansas', 'jobs in corning ar')",jobs in corning arkansas,jobs in corning ar,3,0,google,2025-10-29 17:56:03.047730,,
3,jobs in corning arkansas,"('jobs hiring in corning arkansas', 'jobs near corning arkansas')",jobs hiring in corning arkansas,jobs near corning arkansas,1,1,google,2025-10-29 17:56:04.290554,,jobs in corning arkansas
4,jobs in corning arkansas,"('jobs hiring in corning arkansas', 'jobs hiring near corning ar')",jobs hiring in corning arkansas,jobs hiring near corning ar,2,1,google,2025-10-29 17:56:04.290554,,jobs in corning arkansas
5,jobs in corning arkansas,"('jobs hiring in corning arkansas', 'jobs corning ar')",jobs hiring in corning arkansas,jobs corning ar,3,1,google,2025-10-29 17:56:04.290554,,jobs in corning arkansas
6,jobs in corning arkansas,"('places hiring in corning arkansas', 'jobs hiring in corning arkansas')",places hiring in corning arkansas,jobs hiring in corning arkansas,1,1,google,2025-10-29 17:56:05.497908,,jobs in corning arkansas
7,jobs in corning arkansas,"('places hiring in corning arkansas', 'places hiring in corning ar')",places hiring in corning arkansas,places hiring in corning ar,2,1,google,2025-10-29 17:56:05.497908,,jobs in corning arkansas
8,jobs in corning arkansas,"('places hiring in corning arkansas', 'places hiring in corning ca')",places hiring in corning arkansas,places hiring in corning ca,3,1,google,2025-10-29 17:56:05.497908,,jobs in corning arkansas
9,jobs in corning arkansas,"('places hiring in corning arkansas', 'corning arkansas jobs')",places hiring in corning arkansas,corning arkansas jobs,4,1,google,2025-10-29 17:56:05.497908,,jobs in corning arkansas
