,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in cottonwood alabama,"('jobs in cottonwood alabama', 'jobs hiring in cottonwood al')",jobs in cottonwood alabama,jobs hiring in cottonwood al,1,0,google,2025-10-28 19:42:19.989245,,
1,jobs in cottonwood alabama,"('jobs in cottonwood alabama', 'jobs in cottonwood al')",jobs in cottonwood alabama,jobs in cottonwood al,2,0,google,2025-10-28 19:42:19.989245,,
2,jobs in cottonwood alabama,"('jobs in cottonwood alabama', 'jobs in cottondale al')",jobs in cottonwood alabama,jobs in cottondale al,3,0,google,2025-10-28 19:42:19.989245,,
3,jobs in cottonwood alabama,"('jobs in cottonwood alabama', 'jobs in cottonwood idaho')",jobs in cottonwood alabama,jobs in cottonwood idaho,4,0,google,2025-10-28 19:42:19.989245,,
4,jobs in cottonwood alabama,"('jobs in cottonwood alabama', 'jobs in cottonwood arizona')",jobs in cottonwood alabama,jobs in cottonwood arizona,5,0,google,2025-10-28 19:42:19.989245,,
5,jobs in cottonwood alabama,"('jobs hiring in cottonwood al', 'jobs near cottonwood al')",jobs hiring in cottonwood al,jobs near cottonwood al,1,1,google,2025-10-28 19:42:21.106908,,jobs in cottonwood alabama
6,jobs in cottonwood alabama,"('jobs hiring in cottonwood al', 'jobs hiring in cottonwood az')",jobs hiring in cottonwood al,jobs hiring in cottonwood az,2,1,google,2025-10-28 19:42:21.106908,,jobs in cottonwood alabama
7,jobs in cottonwood alabama,"('jobs hiring in cottonwood al', 'jobs hiring in cottonwood ca')",jobs hiring in cottonwood al,jobs hiring in cottonwood ca,3,1,google,2025-10-28 19:42:21.106908,,jobs in cottonwood alabama
8,jobs in cottonwood alabama,"('jobs hiring in cottonwood al', 'jobs hiring at cottonwood mall')",jobs hiring in cottonwood al,jobs hiring at cottonwood mall,4,1,google,2025-10-28 19:42:21.106908,,jobs in cottonwood alabama
9,jobs in cottonwood alabama,"('jobs in cottonwood al', 'jobs hiring in cottonwood al')",jobs in cottonwood al,jobs hiring in cottonwood al,1,1,google,2025-10-28 19:42:22.015421,,jobs in cottonwood alabama
10,jobs in cottonwood alabama,"('jobs in cottonwood al', 'jobs in cottonwood idaho')",jobs in cottonwood al,jobs in cottonwood idaho,2,1,google,2025-10-28 19:42:22.015421,,jobs in cottonwood alabama
11,jobs in cottonwood alabama,"('jobs in cottonwood al', 'jobs in cottonwood arizona')",jobs in cottonwood al,jobs in cottonwood arizona,3,1,google,2025-10-28 19:42:22.015421,,jobs in cottonwood alabama
12,jobs in cottonwood alabama,"('jobs in cottonwood al', 'jobs in cottonwood az')",jobs in cottonwood al,jobs in cottonwood az,4,1,google,2025-10-28 19:42:22.015421,,jobs in cottonwood alabama
13,jobs in cottonwood alabama,"('jobs in cottondale al', 'jobs in cottondale fl')",jobs in cottondale al,jobs in cottondale fl,1,1,google,2025-10-28 19:42:23.034219,,jobs in cottonwood alabama
14,jobs in cottonwood alabama,"('jobs in cottondale al', 'jobs in cottondale florida')",jobs in cottondale al,jobs in cottondale florida,2,1,google,2025-10-28 19:42:23.034219,,jobs in cottonwood alabama
15,jobs in cottonwood alabama,"('jobs in cottondale al', 'jobs in cottonwood al')",jobs in cottondale al,jobs in cottonwood al,3,1,google,2025-10-28 19:42:23.034219,,jobs in cottonwood alabama
16,jobs in cottonwood alabama,"('jobs in cottonwood idaho', 'jobs in cottonwood arizona')",jobs in cottonwood idaho,jobs in cottonwood arizona,1,1,google,2025-10-28 19:42:23.805631,,jobs in cottonwood alabama
17,jobs in cottonwood alabama,"('jobs in cottonwood idaho', 'jobs in cottonwood')",jobs in cottonwood idaho,jobs in cottonwood,2,1,google,2025-10-28 19:42:23.805631,,jobs in cottonwood alabama
18,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'employment in cottonwood arizona')",jobs in cottonwood arizona,employment in cottonwood arizona,1,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
19,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az 86326')",jobs in cottonwood arizona,jobs in cottonwood az 86326,2,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
20,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az remote')",jobs in cottonwood arizona,jobs in cottonwood az remote,3,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
21,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az no degree')",jobs in cottonwood arizona,jobs in cottonwood az no degree,4,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
22,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az part time')",jobs in cottonwood arizona,jobs in cottonwood az part time,5,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
23,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az full time')",jobs in cottonwood arizona,jobs in cottonwood az full time,6,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
24,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs hiring in cottonwood arizona')",jobs in cottonwood arizona,jobs hiring in cottonwood arizona,7,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
25,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'construction jobs in cottonwood arizona')",jobs in cottonwood arizona,construction jobs in cottonwood arizona,8,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
26,jobs in cottonwood alabama,"('jobs in cottonwood arizona', 'jobs in cottonwood az in the last week')",jobs in cottonwood arizona,jobs in cottonwood az in the last week,9,1,google,2025-10-28 19:42:24.897828,,jobs in cottonwood alabama
27,jobs in cottonwood alabama,"('jobs near cottonwood al', 'jobs near cottonwood az')",jobs near cottonwood al,jobs near cottonwood az,1,2,google,2025-10-28 19:42:26.020202,jobs in cottonwood alabama,jobs hiring in cottonwood al
28,jobs in cottonwood alabama,"('jobs near cottonwood al', 'jobs near cottonwood ca')",jobs near cottonwood al,jobs near cottonwood ca,2,2,google,2025-10-28 19:42:26.020202,jobs in cottonwood alabama,jobs hiring in cottonwood al
29,jobs in cottonwood alabama,"('jobs near cottonwood al', 'jobs near cottonwood mn')",jobs near cottonwood al,jobs near cottonwood mn,3,2,google,2025-10-28 19:42:26.020202,jobs in cottonwood alabama,jobs hiring in cottonwood al
