,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in cowarts al')",jobs in cowarts alabama,jobs in cowarts al,1,0,google,2025-10-28 19:43:31.928325,,
1,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in coosa county al')",jobs in cowarts alabama,jobs in coosa county al,2,0,google,2025-10-28 19:43:31.928325,,
2,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in walker county alabama')",jobs in cowarts alabama,jobs in walker county alabama,3,0,google,2025-10-28 19:43:31.928325,,
3,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in lawrence county alabama')",jobs in cowarts alabama,jobs in lawrence county alabama,4,0,google,2025-10-28 19:43:31.928325,,
4,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in cowpens')",jobs in cowarts alabama,jobs in cowpens,5,0,google,2025-10-28 19:43:31.928325,,
5,jobs in cowarts alabama,"('jobs in cowarts alabama', 'jobs in coweta')",jobs in cowarts alabama,jobs in coweta,6,0,google,2025-10-28 19:43:31.928325,,
6,jobs in cowarts alabama,"('jobs in cowarts al', 'jobs in cowley county')",jobs in cowarts al,jobs in cowley county,1,1,google,2025-10-28 19:43:33.145122,,jobs in cowarts alabama
7,jobs in cowarts alabama,"('jobs in cowarts al', 'jobs in cowpens')",jobs in cowarts al,jobs in cowpens,2,1,google,2025-10-28 19:43:33.145122,,jobs in cowarts alabama
8,jobs in cowarts alabama,"('jobs in cowarts al', 'jobs in coosa county al')",jobs in cowarts al,jobs in coosa county al,3,1,google,2025-10-28 19:43:33.145122,,jobs in cowarts alabama
9,jobs in cowarts alabama,"('jobs in cowarts al', 'jobs in coweta')",jobs in cowarts al,jobs in coweta,4,1,google,2025-10-28 19:43:33.145122,,jobs in cowarts alabama
10,jobs in cowarts alabama,"('jobs in cowarts al', 'jobs in cowpens sc')",jobs in cowarts al,jobs in cowpens sc,5,1,google,2025-10-28 19:43:33.145122,,jobs in cowarts alabama
11,jobs in cowarts alabama,"('jobs in coosa county al', 'coosa county jobs')",jobs in coosa county al,coosa county jobs,1,1,google,2025-10-28 19:43:34.292022,,jobs in cowarts alabama
12,jobs in cowarts alabama,"('jobs in coosa county al', 'jobs in alamosa county colorado')",jobs in coosa county al,jobs in alamosa county colorado,2,1,google,2025-10-28 19:43:34.292022,,jobs in cowarts alabama
13,jobs in cowarts alabama,"('jobs in coosa county al', 'jobs in coffee county al')",jobs in coosa county al,jobs in coffee county al,3,1,google,2025-10-28 19:43:34.292022,,jobs in cowarts alabama
14,jobs in cowarts alabama,"('jobs in coosa county al', 'jobs in costilla county colorado')",jobs in coosa county al,jobs in costilla county colorado,4,1,google,2025-10-28 19:43:34.292022,,jobs in cowarts alabama
15,jobs in cowarts alabama,"('jobs in walker county alabama', 'full time jobs in walker county alabama')",jobs in walker county alabama,full time jobs in walker county alabama,1,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
16,jobs in cowarts alabama,"('jobs in walker county alabama', 'jobs hiring in walker county al')",jobs in walker county alabama,jobs hiring in walker county al,2,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
17,jobs in cowarts alabama,"('jobs in walker county alabama', 'work from home jobs in walker county alabama')",jobs in walker county alabama,work from home jobs in walker county alabama,3,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
18,jobs in cowarts alabama,"('jobs in walker county alabama', 'jobs near walker county al')",jobs in walker county alabama,jobs near walker county al,4,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
19,jobs in cowarts alabama,"('jobs in walker county alabama', 'jobs in walker county')",jobs in walker county alabama,jobs in walker county,5,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
20,jobs in cowarts alabama,"('jobs in walker county alabama', 'jobs in walker county ga')",jobs in walker county alabama,jobs in walker county ga,6,1,google,2025-10-28 19:43:35.415968,,jobs in cowarts alabama
21,jobs in cowarts alabama,"('jobs in lawrence county alabama', 'jobs lawrence county al schools')",jobs in lawrence county alabama,jobs lawrence county al schools,1,1,google,2025-10-28 19:43:36.585818,,jobs in cowarts alabama
22,jobs in cowarts alabama,"('jobs in lawrence county alabama', 'jobs near lawrence county al')",jobs in lawrence county alabama,jobs near lawrence county al,2,1,google,2025-10-28 19:43:36.585818,,jobs in cowarts alabama
23,jobs in cowarts alabama,"('jobs in lawrence county alabama', 'jobs in lawrence county ms')",jobs in lawrence county alabama,jobs in lawrence county ms,3,1,google,2025-10-28 19:43:36.585818,,jobs in cowarts alabama
24,jobs in cowarts alabama,"('jobs in lawrence county alabama', 'lawrence county alabama job openings')",jobs in lawrence county alabama,lawrence county alabama job openings,4,1,google,2025-10-28 19:43:36.585818,,jobs in cowarts alabama
25,jobs in cowarts alabama,"('jobs in lawrence county alabama', 'jobs in lawrence county ky')",jobs in lawrence county alabama,jobs in lawrence county ky,5,1,google,2025-10-28 19:43:36.585818,,jobs in cowarts alabama
26,jobs in cowarts alabama,"('jobs in cowpens', 'jobs in cowpens sc')",jobs in cowpens,jobs in cowpens sc,1,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
27,jobs in cowarts alabama,"('jobs in cowpens', 'jobs hiring in cowpens sc')",jobs in cowpens,jobs hiring in cowpens sc,2,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
28,jobs in cowarts alabama,"('jobs in cowpens', 'warehouse jobs in cowpens sc')",jobs in cowpens,warehouse jobs in cowpens sc,3,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
29,jobs in cowarts alabama,"('jobs in cowpens', 'jobs hiring in cowpens')",jobs in cowpens,jobs hiring in cowpens,4,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
30,jobs in cowarts alabama,"('jobs in cowpens', 'dhl jobs in cowpens sc')",jobs in cowpens,dhl jobs in cowpens sc,5,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
31,jobs in cowarts alabama,"('jobs in cowpens', 'part time jobs in cowpens sc')",jobs in cowpens,part time jobs in cowpens sc,6,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
32,jobs in cowarts alabama,"('jobs in cowpens', 'jobs in cowen wv')",jobs in cowpens,jobs in cowen wv,7,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
33,jobs in cowarts alabama,"('jobs in cowpens', 'jobs in cowley county')",jobs in cowpens,jobs in cowley county,8,1,google,2025-10-28 19:43:37.789759,,jobs in cowarts alabama
34,jobs in cowarts alabama,"('jobs in coweta', 'jobs in coweta ok')",jobs in coweta,jobs in coweta ok,1,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
35,jobs in cowarts alabama,"('jobs in coweta', 'jobs in coweta county')",jobs in coweta,jobs in coweta county,2,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
36,jobs in cowarts alabama,"('jobs in coweta', 'jobs in coweta county ga')",jobs in coweta,jobs in coweta county ga,3,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
37,jobs in cowarts alabama,"('jobs in coweta', 'jobs in coweta county school system')",jobs in coweta,jobs in coweta county school system,4,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
38,jobs in cowarts alabama,"('jobs in coweta', 'jobs in coweta ok no degree')",jobs in coweta,jobs in coweta ok no degree,5,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
39,jobs in cowarts alabama,"('jobs in coweta', 'jobs hiring in coweta ok')",jobs in coweta,jobs hiring in coweta ok,6,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
40,jobs in cowarts alabama,"('jobs in coweta', 'jobs hiring in coweta')",jobs in coweta,jobs hiring in coweta,7,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
41,jobs in cowarts alabama,"('jobs in coweta', 'teaching jobs in coweta county ga')",jobs in coweta,teaching jobs in coweta county ga,8,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
42,jobs in cowarts alabama,"('jobs in coweta', 'jobs hiring in coweta county')",jobs in coweta,jobs hiring in coweta county,9,1,google,2025-10-28 19:43:39.197209,,jobs in cowarts alabama
43,jobs in cowarts alabama,"('jobs in cowley county', 'jobs in cowley county ks')",jobs in cowley county,jobs in cowley county ks,1,2,google,2025-10-28 19:43:40.277108,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
44,jobs in cowarts alabama,"('jobs in cowley county', 'part time jobs in cowley county')",jobs in cowley county,part time jobs in cowley county,2,2,google,2025-10-28 19:43:40.277108,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
45,jobs in cowarts alabama,"('jobs in cowley county', 'jobs in cowley county kansas')",jobs in cowley county,jobs in cowley county kansas,3,2,google,2025-10-28 19:43:40.277108,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
46,jobs in cowarts alabama,"('jobs in cowpens sc', 'jobs hiring in cowpens sc')",jobs in cowpens sc,jobs hiring in cowpens sc,1,2,google,2025-10-28 19:43:41.248519,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
47,jobs in cowarts alabama,"('jobs in cowpens sc', 'warehouse jobs in cowpens sc')",jobs in cowpens sc,warehouse jobs in cowpens sc,2,2,google,2025-10-28 19:43:41.248519,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
48,jobs in cowarts alabama,"('jobs in cowpens sc', 'dhl jobs in cowpens sc')",jobs in cowpens sc,dhl jobs in cowpens sc,3,2,google,2025-10-28 19:43:41.248519,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
49,jobs in cowarts alabama,"('jobs in cowpens sc', 'part time jobs in cowpens sc')",jobs in cowpens sc,part time jobs in cowpens sc,4,2,google,2025-10-28 19:43:41.248519,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
50,jobs in cowarts alabama,"('jobs in cowpens sc', 'jobs in cowpens')",jobs in cowpens sc,jobs in cowpens,5,2,google,2025-10-28 19:43:41.248519,jobs in cowarts alabama jobs in cowarts alabama,jobs in cowarts al jobs in cowpens
51,jobs in cowarts alabama,"('coosa county jobs', 'coosa county job openings')",coosa county jobs,coosa county job openings,1,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
52,jobs in cowarts alabama,"('coosa county jobs', 'coosa county careers')",coosa county jobs,coosa county careers,2,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
53,jobs in cowarts alabama,"('coosa county jobs', 'coosa county schools jobs')",coosa county jobs,coosa county schools jobs,3,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
54,jobs in cowarts alabama,"('coosa county jobs', 'coosa county al jobs')",coosa county jobs,coosa county al jobs,4,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
55,jobs in cowarts alabama,"('coosa county jobs', 'coosa county board of education jobs')",coosa county jobs,coosa county board of education jobs,5,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
56,jobs in cowarts alabama,"('coosa county jobs', 'coosa country club jobs')",coosa county jobs,coosa country club jobs,6,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
57,jobs in cowarts alabama,"('coosa county jobs', 'coosa county boe jobs')",coosa county jobs,coosa county boe jobs,7,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
58,jobs in cowarts alabama,"('coosa county jobs', 'coosa county courthouse jobs')",coosa county jobs,coosa county courthouse jobs,8,2,google,2025-10-28 19:43:42.664435,jobs in cowarts alabama,jobs in coosa county al
59,jobs in cowarts alabama,"('jobs in alamosa county colorado', 'jobs near alamosa county co')",jobs in alamosa county colorado,jobs near alamosa county co,1,2,google,2025-10-28 19:43:44.129596,jobs in cowarts alabama,jobs in coosa county al
60,jobs in cowarts alabama,"('jobs in alamosa county colorado', 'what jobs are in high demand in colorado')",jobs in alamosa county colorado,what jobs are in high demand in colorado,2,2,google,2025-10-28 19:43:44.129596,jobs in cowarts alabama,jobs in coosa county al
61,jobs in cowarts alabama,"('jobs in alamosa county colorado', 'stuff to do in alamosa colorado')",jobs in alamosa county colorado,stuff to do in alamosa colorado,3,2,google,2025-10-28 19:43:44.129596,jobs in cowarts alabama,jobs in coosa county al
