,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in crossville alabama,"('jobs in crossville alabama', 'jobs in crossville al')",jobs in crossville alabama,jobs in crossville al,1,0,google,2025-10-28 19:48:17.063191,,
1,jobs in crossville alabama,"('jobs in crossville al', 'jobs in boaz al')",jobs in crossville al,jobs in boaz al,1,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
2,jobs in crossville alabama,"('jobs in crossville al', 'jobs hiring in boaz al')",jobs in crossville al,jobs hiring in boaz al,2,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
3,jobs in crossville alabama,"('jobs in crossville al', 'jobs in boaz albertville al')",jobs in crossville al,jobs in boaz albertville al,3,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
4,jobs in crossville alabama,"('jobs in crossville al', 'accounting jobs in boaz al')",jobs in crossville al,accounting jobs in boaz al,4,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
5,jobs in crossville alabama,"('jobs in crossville al', 'bank jobs in boaz al')",jobs in crossville al,bank jobs in boaz al,5,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
6,jobs in crossville alabama,"('jobs in crossville al', 'office jobs in boaz al')",jobs in crossville al,office jobs in boaz al,6,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
7,jobs in crossville alabama,"('jobs in crossville al', 'jobs boaz al since yesterday')",jobs in crossville al,jobs boaz al since yesterday,7,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
8,jobs in crossville alabama,"('jobs in crossville al', 'jobs boaz al remote')",jobs in crossville al,jobs boaz al remote,8,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
9,jobs in crossville alabama,"('jobs in crossville al', 'jobs boaz al no experience')",jobs in crossville al,jobs boaz al no experience,9,1,google,2025-10-28 19:48:18.546006,,jobs in crossville alabama
10,jobs in crossville alabama,"('jobs in boaz al', 'jobs in boaz alabama')",jobs in boaz al,jobs in boaz alabama,1,2,google,2025-10-28 19:48:19.708106,jobs in crossville alabama,jobs in crossville al
