,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in danville arkansas,"('jobs in danville arkansas', 'jobs hiring in danville ar')",jobs in danville arkansas,jobs hiring in danville ar,1,0,google,2025-10-29 18:00:01.502332,,
1,jobs in danville arkansas,"('jobs in danville arkansas', 'jobs in danville ar')",jobs in danville arkansas,jobs in danville ar,2,0,google,2025-10-29 18:00:01.502332,,
2,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs hiring in danville arkansas')",jobs hiring in danville ar,jobs hiring in danville arkansas,1,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
3,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs near danville ar')",jobs hiring in danville ar,jobs near danville ar,2,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
4,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs that are hiring in danville virginia')",jobs hiring in danville ar,jobs that are hiring in danville virginia,3,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
5,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs that are hiring in danville')",jobs hiring in danville ar,jobs that are hiring in danville,4,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
6,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs hiring in danville ca')",jobs hiring in danville ar,jobs hiring in danville ca,5,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
7,jobs in danville arkansas,"('jobs hiring in danville ar', 'jobs hiring in danville va')",jobs hiring in danville ar,jobs hiring in danville va,6,1,google,2025-10-29 18:00:02.924634,,jobs in danville arkansas
8,jobs in danville arkansas,"('jobs in danville ar', 'jobs in danville area')",jobs in danville ar,jobs in danville area,1,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
9,jobs in danville arkansas,"('jobs in danville ar', 'jobs hiring in danville ar')",jobs in danville ar,jobs hiring in danville ar,2,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
10,jobs in danville arkansas,"('jobs in danville ar', 'jobs in danville il area')",jobs in danville ar,jobs in danville il area,3,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
11,jobs in danville arkansas,"('jobs in danville ar', 'part time jobs in danville ar')",jobs in danville ar,part time jobs in danville ar,4,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
12,jobs in danville arkansas,"('jobs in danville ar', 'jobs at danville area community college')",jobs in danville ar,jobs at danville area community college,5,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
13,jobs in danville arkansas,"('jobs in danville ar', 'jobs around danville ky')",jobs in danville ar,jobs around danville ky,6,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
14,jobs in danville arkansas,"('jobs in danville ar', 'jobs around danville va')",jobs in danville ar,jobs around danville va,7,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
15,jobs in danville arkansas,"('jobs in danville ar', 'jobs at danville area school district')",jobs in danville ar,jobs at danville area school district,8,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
16,jobs in danville arkansas,"('jobs in danville ar', 'jobs around danville')",jobs in danville ar,jobs around danville,9,1,google,2025-10-29 18:00:04.324069,,jobs in danville arkansas
17,jobs in danville arkansas,"('jobs hiring in danville arkansas', 'jobs hiring in danville ar')",jobs hiring in danville arkansas,jobs hiring in danville ar,1,2,google,2025-10-29 18:00:05.705875,jobs in danville arkansas,jobs hiring in danville ar
18,jobs in danville arkansas,"('jobs hiring in danville arkansas', 'jobs near danville arkansas')",jobs hiring in danville arkansas,jobs near danville arkansas,2,2,google,2025-10-29 18:00:05.705875,jobs in danville arkansas,jobs hiring in danville ar
19,jobs in danville arkansas,"('jobs hiring in danville arkansas', 'danville ar jobs')",jobs hiring in danville arkansas,danville ar jobs,3,2,google,2025-10-29 18:00:05.705875,jobs in danville arkansas,jobs hiring in danville ar
20,jobs in danville arkansas,"('jobs near danville ar', 'jobs in danville area')",jobs near danville ar,jobs in danville area,1,2,google,2025-10-29 18:00:06.505878,jobs in danville arkansas,jobs hiring in danville ar
21,jobs in danville arkansas,"('jobs near danville ar', 'jobs hiring near danville ar')",jobs near danville ar,jobs hiring near danville ar,2,2,google,2025-10-29 18:00:06.505878,jobs in danville arkansas,jobs hiring in danville ar
22,jobs in danville arkansas,"('jobs near danville ar', 'jobs in danville il area')",jobs near danville ar,jobs in danville il area,3,2,google,2025-10-29 18:00:06.505878,jobs in danville arkansas,jobs hiring in danville ar
23,jobs in danville arkansas,"('jobs near danville ar', 'jobs near danville')",jobs near danville ar,jobs near danville,4,2,google,2025-10-29 18:00:06.505878,jobs in danville arkansas,jobs hiring in danville ar
