,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in daphne alabama,"('jobs in daphne alabama', 'hiring in daphne alabama')",jobs in daphne alabama,hiring in daphne alabama,1,0,google,2025-10-28 19:51:29.266056,,
1,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs in daphne al full time')",jobs in daphne alabama,jobs in daphne al full time,2,0,google,2025-10-28 19:51:29.266056,,
2,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs in daphne al part time')",jobs in daphne alabama,jobs in daphne al part time,3,0,google,2025-10-28 19:51:29.266056,,
3,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs in daphne al remote')",jobs in daphne alabama,jobs in daphne al remote,4,0,google,2025-10-28 19:51:29.266056,,
4,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs in daphne al no degree')",jobs in daphne alabama,jobs in daphne al no degree,5,0,google,2025-10-28 19:51:29.266056,,
5,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs in daphne al since yesterday')",jobs in daphne alabama,jobs in daphne al since yesterday,6,0,google,2025-10-28 19:51:29.266056,,
6,jobs in daphne alabama,"('jobs in daphne alabama', 'jobs hiring in daphne alabama')",jobs in daphne alabama,jobs hiring in daphne alabama,7,0,google,2025-10-28 19:51:29.266056,,
7,jobs in daphne alabama,"('jobs in daphne alabama', 'government jobs in daphne alabama')",jobs in daphne alabama,government jobs in daphne alabama,8,0,google,2025-10-28 19:51:29.266056,,
8,jobs in daphne alabama,"('jobs in daphne alabama', 'job openings in daphne alabama')",jobs in daphne alabama,job openings in daphne alabama,9,0,google,2025-10-28 19:51:29.266056,,
9,jobs in daphne alabama,"('hiring in daphne alabama', 'jobs in daphne alabama')",hiring in daphne alabama,jobs in daphne alabama,1,1,google,2025-10-28 19:51:30.080360,,jobs in daphne alabama
10,jobs in daphne alabama,"('hiring in daphne alabama', 'jobs hiring in daphne alabama')",hiring in daphne alabama,jobs hiring in daphne alabama,2,1,google,2025-10-28 19:51:30.080360,,jobs in daphne alabama
