,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dardanelle arkansas,"('jobs in dardanelle arkansas', 'jobs hiring in dardanelle arkansas')",jobs in dardanelle arkansas,jobs hiring in dardanelle arkansas,1,0,google,2025-10-29 18:01:46.417385,,
1,jobs in dardanelle arkansas,"('jobs in dardanelle arkansas', 'part time jobs in dardanelle arkansas')",jobs in dardanelle arkansas,part time jobs in dardanelle arkansas,2,0,google,2025-10-29 18:01:46.417385,,
2,jobs in dardanelle arkansas,"('jobs in dardanelle arkansas', 'jobs in dardanelle ar')",jobs in dardanelle arkansas,jobs in dardanelle ar,3,0,google,2025-10-29 18:01:46.417385,,
3,jobs in dardanelle arkansas,"('jobs in dardanelle arkansas', 'jobs in dardanelle')",jobs in dardanelle arkansas,jobs in dardanelle,4,0,google,2025-10-29 18:01:46.417385,,
4,jobs in dardanelle arkansas,"('jobs hiring in dardanelle arkansas', 'jobs hiring near dardanelle ar')",jobs hiring in dardanelle arkansas,jobs hiring near dardanelle ar,1,1,google,2025-10-29 18:01:47.764209,,jobs in dardanelle arkansas
5,jobs in dardanelle arkansas,"('jobs hiring in dardanelle arkansas', 'dardanelle arkansas jobs')",jobs hiring in dardanelle arkansas,dardanelle arkansas jobs,2,1,google,2025-10-29 18:01:47.764209,,jobs in dardanelle arkansas
6,jobs in dardanelle arkansas,"('jobs hiring in dardanelle arkansas', 'dardanelle ar jobs')",jobs hiring in dardanelle arkansas,dardanelle ar jobs,3,1,google,2025-10-29 18:01:47.764209,,jobs in dardanelle arkansas
7,jobs in dardanelle arkansas,"('part time jobs in dardanelle arkansas', 'full time jobs dardanelle ar')",part time jobs in dardanelle arkansas,full time jobs dardanelle ar,1,1,google,2025-10-29 18:01:48.932303,,jobs in dardanelle arkansas
8,jobs in dardanelle arkansas,"('part time jobs in dardanelle arkansas', 'part time jobs in dardanelle ar')",part time jobs in dardanelle arkansas,part time jobs in dardanelle ar,2,1,google,2025-10-29 18:01:48.932303,,jobs in dardanelle arkansas
9,jobs in dardanelle arkansas,"('part time jobs in dardanelle arkansas', 'dardanelle arkansas jobs')",part time jobs in dardanelle arkansas,dardanelle arkansas jobs,3,1,google,2025-10-29 18:01:48.932303,,jobs in dardanelle arkansas
10,jobs in dardanelle arkansas,"('part time jobs in dardanelle arkansas', 'dardanelle ar jobs')",part time jobs in dardanelle arkansas,dardanelle ar jobs,4,1,google,2025-10-29 18:01:48.932303,,jobs in dardanelle arkansas
11,jobs in dardanelle arkansas,"('part time jobs in dardanelle arkansas', 'dardanelle jobs')",part time jobs in dardanelle arkansas,dardanelle jobs,5,1,google,2025-10-29 18:01:48.932303,,jobs in dardanelle arkansas
12,jobs in dardanelle arkansas,"('jobs in dardanelle ar', 'jobs hiring in dardanelle ar')",jobs in dardanelle ar,jobs hiring in dardanelle ar,1,1,google,2025-10-29 18:01:49.706400,,jobs in dardanelle arkansas
13,jobs in dardanelle arkansas,"('jobs in dardanelle ar', 'part time jobs in dardanelle ar')",jobs in dardanelle ar,part time jobs in dardanelle ar,2,1,google,2025-10-29 18:01:49.706400,,jobs in dardanelle arkansas
14,jobs in dardanelle arkansas,"('jobs in dardanelle ar', 'jobs in dardanelle arkansas')",jobs in dardanelle ar,jobs in dardanelle arkansas,3,1,google,2025-10-29 18:01:49.706400,,jobs in dardanelle arkansas
