,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dauphin island alabama,"('jobs in dauphin island alabama', 'jobs near dauphin island al')",jobs in dauphin island alabama,jobs near dauphin island al,1,0,google,2025-10-28 19:52:54.288031,,
1,jobs in dauphin island alabama,"('jobs near dauphin island al', 'aldi near dauphin island')",jobs near dauphin island al,aldi near dauphin island,1,1,google,2025-10-28 19:52:55.216270,,jobs in dauphin island alabama
2,jobs in dauphin island alabama,"('aldi near dauphin island', 'closest grocery store to dauphin island')",aldi near dauphin island,closest grocery store to dauphin island,1,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
3,jobs in dauphin island alabama,"('aldi near dauphin island', 'where to buy groceries on dauphin island')",aldi near dauphin island,where to buy groceries on dauphin island,2,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
4,jobs in dauphin island alabama,"('aldi near dauphin island', 'closest publix to dauphin island')",aldi near dauphin island,closest publix to dauphin island,3,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
5,jobs in dauphin island alabama,"('aldi near dauphin island', 'does dauphin island have a grocery store')",aldi near dauphin island,does dauphin island have a grocery store,4,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
6,jobs in dauphin island alabama,"('aldi near dauphin island', 'aldi near daphne al')",aldi near dauphin island,aldi near daphne al,5,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
7,jobs in dauphin island alabama,"('aldi near dauphin island', 'aldi near dahlonega ga')",aldi near dauphin island,aldi near dahlonega ga,6,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
8,jobs in dauphin island alabama,"('aldi near dauphin island', 'aldi near danville pa')",aldi near dauphin island,aldi near danville pa,7,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
9,jobs in dauphin island alabama,"('aldi near dauphin island', 'aldi near doylestown pa')",aldi near dauphin island,aldi near doylestown pa,8,2,google,2025-10-28 19:52:56.462203,jobs in dauphin island alabama,jobs near dauphin island al
10,jobs in dauphin island alabama,"('closest grocery store to dauphin island', 'closest grocery store to dauphin island alabama')",closest grocery store to dauphin island,closest grocery store to dauphin island alabama,1,3,google,2025-10-28 19:52:57.695511,jobs near dauphin island al,aldi near dauphin island
