,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in de queen arkansas,"('jobs in de queen arkansas', 'jobs hiring in dequeen arkansas')",jobs in de queen arkansas,jobs hiring in dequeen arkansas,1,0,google,2025-10-29 18:02:23.020739,,
1,jobs in de queen arkansas,"('jobs in de queen arkansas', 'job openings in de queen arkansas')",jobs in de queen arkansas,job openings in de queen arkansas,2,0,google,2025-10-29 18:02:23.020739,,
2,jobs in de queen arkansas,"('jobs in de queen arkansas', 'jobs in de queen ar')",jobs in de queen arkansas,jobs in de queen ar,3,0,google,2025-10-29 18:02:23.020739,,
3,jobs in de queen arkansas,"('jobs in de queen arkansas', 'jobs in de queen')",jobs in de queen arkansas,jobs in de queen,4,0,google,2025-10-29 18:02:23.020739,,
4,jobs in de queen arkansas,"('jobs hiring in dequeen arkansas', 'job openings in de queen arkansas')",jobs hiring in dequeen arkansas,job openings in de queen arkansas,1,1,google,2025-10-29 18:02:23.849416,,jobs in de queen arkansas
5,jobs in de queen arkansas,"('jobs hiring in dequeen arkansas', 'jobs near dequeen arkansas')",jobs hiring in dequeen arkansas,jobs near dequeen arkansas,2,1,google,2025-10-29 18:02:23.849416,,jobs in de queen arkansas
6,jobs in de queen arkansas,"('jobs hiring in dequeen arkansas', 'jobs hiring in de queen ar')",jobs hiring in dequeen arkansas,jobs hiring in de queen ar,3,1,google,2025-10-29 18:02:23.849416,,jobs in de queen arkansas
7,jobs in de queen arkansas,"('job openings in de queen arkansas', 'jobs hiring in dequeen arkansas')",job openings in de queen arkansas,jobs hiring in dequeen arkansas,1,1,google,2025-10-29 18:02:24.730717,,jobs in de queen arkansas
8,jobs in de queen arkansas,"('job openings in de queen arkansas', 'job openings de queen ar')",job openings in de queen arkansas,job openings de queen ar,2,1,google,2025-10-29 18:02:24.730717,,jobs in de queen arkansas
9,jobs in de queen arkansas,"('job openings in de queen arkansas', 'jobs hiring in de queen ar')",job openings in de queen arkansas,jobs hiring in de queen ar,3,1,google,2025-10-29 18:02:24.730717,,jobs in de queen arkansas
10,jobs in de queen arkansas,"('job openings in de queen arkansas', 'jobs in de queen ar')",job openings in de queen arkansas,jobs in de queen ar,4,1,google,2025-10-29 18:02:24.730717,,jobs in de queen arkansas
11,jobs in de queen arkansas,"('job openings in de queen arkansas', 'dequeen arkansas jobs')",job openings in de queen arkansas,dequeen arkansas jobs,5,1,google,2025-10-29 18:02:24.730717,,jobs in de queen arkansas
12,jobs in de queen arkansas,"('jobs in de queen ar', 'jobs in de queen arkansas')",jobs in de queen ar,jobs in de queen arkansas,1,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
13,jobs in de queen arkansas,"('jobs in de queen ar', 'jobs hiring in de queen ar')",jobs in de queen ar,jobs hiring in de queen ar,2,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
14,jobs in de queen arkansas,"('jobs in de queen ar', 'job openings in de queen arkansas')",jobs in de queen ar,job openings in de queen arkansas,3,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
15,jobs in de queen arkansas,"('jobs in de queen ar', 'jobs near de queen ar')",jobs in de queen ar,jobs near de queen ar,4,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
16,jobs in de queen arkansas,"('jobs in de queen ar', 'walmart jobs de queen ar')",jobs in de queen ar,walmart jobs de queen ar,5,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
17,jobs in de queen arkansas,"('jobs in de queen ar', 'indeed jobs de queen ar')",jobs in de queen ar,indeed jobs de queen ar,6,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
18,jobs in de queen arkansas,"('jobs in de queen ar', 'rn jobs dequeen ar')",jobs in de queen ar,rn jobs dequeen ar,7,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
19,jobs in de queen arkansas,"('jobs in de queen ar', 'de queen ar jobs in the last 3 days')",jobs in de queen ar,de queen ar jobs in the last 3 days,8,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
20,jobs in de queen arkansas,"('jobs in de queen ar', 'jobs in de queen')",jobs in de queen ar,jobs in de queen,9,1,google,2025-10-29 18:02:25.754844,,jobs in de queen arkansas
21,jobs in de queen arkansas,"('jobs in de queen', 'jobs in de queen arkansas')",jobs in de queen,jobs in de queen arkansas,1,1,google,2025-10-29 18:02:26.804100,,jobs in de queen arkansas
22,jobs in de queen arkansas,"('jobs in de queen', 'jobs in the queensland government')",jobs in de queen,jobs in the queensland government,2,1,google,2025-10-29 18:02:26.804100,,jobs in de queen arkansas
